model,input_trajectory,rank,method,residual_relative_l2,output_relative_l2,captured_residual_energy,residual_to_output_scale,worst_output_relative_l2,rows
teacher,native4,16,capacity,0.28228737347602617,0.13177437779863607,0.9203138387760065,0.46680932333598435,0.18514117635088764,120
teacher,native4,16,drift,0.45369285756452504,0.21178805584206506,0.7941627909949356,0.46680932333598435,0.5756512397890645,120
teacher,native4,32,capacity,0.2554204073776937,0.11923262753418268,0.934760415495013,0.46680932333598435,0.17379113571539095,120
teacher,native4,32,drift,0.4454444278330107,0.20793761194051244,0.8015792617125217,0.46680932333598435,0.5753366239045514,120
teacher,native4,64,capacity,0.2296627010543973,0.10720869007471766,0.9472550437443985,0.46680932333598435,0.16035555257718234,120
teacher,native4,64,drift,0.4385661146199956,0.20472675120385192,0.8076597631071208,0.46680932333598435,0.5752237954375126,120
teacher,rcm4,16,capacity,0.3379841101329749,0.1589599253427159,0.8857667412976211,0.4703177474236154,0.3219781230298775,120
teacher,rcm4,16,drift,0.502265946788344,0.23622458870108345,0.7477289186968084,0.4703177474236154,0.6130888910814635,120
teacher,rcm4,32,capacity,0.3090679650456933,0.14536014912109116,0.9044769929825142,0.4703177474236154,0.2975995628811323,120
teacher,rcm4,32,drift,0.49278965074792647,0.23176771849343492,0.7571583601157367,0.4703177474236154,0.6127621389670381,120
teacher,rcm4,64,capacity,0.27550683330790154,0.12957575324118573,0.9240959848006521,0.4703177474236154,0.2631657612790792,120
teacher,rcm4,64,drift,0.48601559798822463,0.22858176125856325,0.7637888385121484,0.4703177474236154,0.6124879624614602,120
rcm,native4,16,capacity,0.4714019867992978,0.2610905885786126,0.7777801668416746,0.5538597542860453,0.4316514616450275,120
rcm,native4,16,drift,0.5823719786094202,0.32255240097569154,0.6608428785305489,0.5538597542860453,0.609455345920084,120
rcm,native4,32,capacity,0.4426349553988195,0.24515768763560478,0.8040742962590851,0.5538597542860453,0.4108980914132878,120
rcm,native4,32,drift,0.5772631017979165,0.3197227997201944,0.6667673113026483,0.5538597542860453,0.607124676081358,120
rcm,native4,64,capacity,0.4074848495759789,0.2256894586614378,0.8339560973660418,0.5538597542860453,0.3827631574548385,120
rcm,native4,64,drift,0.5732960417944907,0.317525604841459,0.6713316484627696,0.5538597542860453,0.6046195514341883,120
rcm,rcm4,16,capacity,0.4878472699856214,0.26288325308034205,0.7620050411675763,0.5388638396768934,0.39147890581826017,120
rcm,rcm4,16,drift,0.5899724567894086,0.31791482336915083,0.6519325002298694,0.5388638396768934,0.5748545905295397,120
rcm,rcm4,32,capacity,0.4556174674381742,0.24551577792759652,0.7924127233652243,0.5388638396768934,0.36394350895443817,120
rcm,rcm4,32,drift,0.5798755077725604,0.3124739426529101,0.6637443954855153,0.5388638396768934,0.5737018865610366,120
rcm,rcm4,64,capacity,0.4168057131664436,0.2246015269961357,0.8262729974718124,0.5388638396768934,0.3302971753135433,120
rcm,rcm4,64,drift,0.5723730804741198,0.3084311558719757,0.6723890567485669,0.5388638396768934,0.5727812606497641,120
