prompt_index,seed,method,reference_method,status,reference_video,candidate_video,reference_seconds,candidate_seconds,paired_speedup,cached_model_forward_fraction,hybrid_residual_calls,peak_allocated_mib,frames,height,width,pixel_mae,pixel_rmse,pixel_psnr_db,pixel_max_abs,exact_pixel_fraction,frame_psnr_mean_db,frame_psnr_p05_db,frame_ssim_mean,frame_ssim_p05,frame_ssim_min,temporal_delta_mae,reference_frame_delta_mae,candidate_frame_delta_mae
0,20260723,dense_cache008,dense,ok,p00_dense_seed20260723.mp4,p00_dense_cache008_seed20260723.mp4,5.789246539992746,5.701784035016317,1.0153394980306683,0.05,0,21581.087890625,17,480,832,3.220552197241076,5.237853455488489,33.74773673706285,210.0,0.15842190642282555,33.751473353687196,33.415649272524774,0.9680570954439053,0.9646394833534643,0.9643798956003713,3.6802271133814104,16.231849292200856,16.105081985343215
0,20260723,fp8,dense,ok,p00_dense_seed20260723.mp4,p00_fp8_seed20260723.mp4,5.789246539992746,5.7325448830088135,1.0098911841321985,0.0,0,21535.474609375,17,480,832,16.46778212787519,28.003958784863897,19.186415012625684,255.0,0.054520124355832075,19.269330920070523,17.815692072287035,0.6768883808339677,0.604653712849608,0.5793471602843853,13.897735908703927,16.231849292200856,16.198065602881275
0,20260723,fp8_middle1,dense,ok,p00_dense_seed20260723.mp4,p00_fp8_middle1_seed20260723.mp4,5.789246539992746,5.906203754013404,0.9801975653242265,0.0,0,21534.474609375,17,480,832,3.4226248271744595,5.727601579040545,32.971347605791415,208.0,0.15658774627639518,32.98152549157428,32.52453065579275,0.9652432647293165,0.9622402699247139,0.961017351755689,3.9560975686097755,16.231849292200856,16.2357902852898
0,20260723,hybrid_middle1,dense,ok,p00_dense_seed20260723.mp4,p00_hybrid_middle1_seed20260723.mp4,5.789246539992746,6.028486939991126,0.9603150172871184,0.0,120,21536.349609375,17,480,832,3.3212285735608345,5.492210630704395,33.33585992012863,201.0,0.159092587355455,33.34283712240416,32.9340414309068,0.9663733023507094,0.962994936478219,0.9629095791669565,3.8681395441038995,16.231849292200856,16.242030269264156
0,20260723,hybrid_middle1_cache008,dense,ok,p00_dense_seed20260723.mp4,p00_hybrid_middle1_cache008_seed20260723.mp4,5.789246539992746,5.80727982299868,0.9968947108533471,0.05,120,21580.212890625,17,480,832,3.523951214099422,5.686713421062511,33.03357675345523,200.0,0.1498993978601056,33.03988313936854,32.66348801724345,0.9645183681335858,0.961211975866265,0.9598270023282294,3.989196255675748,16.231849292200856,16.095868076422274
0,20260724,dense_cache008,dense,ok,p00_dense_seed20260724.mp4,p00_dense_cache008_seed20260724.mp4,6.60643505200278,5.801463803014485,1.1387531278864527,0.05,0,21581.087890625,17,480,832,3.1961214904631725,5.187417632737873,33.831779330156316,197.0,0.1657458305838361,33.843123908038955,33.29361525885365,0.9630548374516595,0.9593935093352702,0.9581739160814582,3.5642693935296474,13.198185325687767,13.107641497228899
0,20260724,fp8,dense,ok,p00_dense_seed20260724.mp4,p00_fp8_seed20260724.mp4,6.60643505200278,6.304863951983862,1.047831499984076,0.0,0,21535.474609375,17,480,832,10.048823166085345,19.213824974059243,22.458527004033527,255.0,0.07208538563662645,22.559273769148966,21.52512541454463,0.8201592848106171,0.7836983432281992,0.7724849134962826,8.936977184328258,13.198185325687767,13.40326428535657
0,20260724,fp8_middle1,dense,ok,p00_dense_seed20260724.mp4,p00_fp8_middle1_seed20260724.mp4,6.60643505200278,6.835476009000558,0.9664923179166761,0.0,0,21534.474609375,17,480,832,3.571794331715058,5.994713124786062,32.57543551070212,207.0,0.16001327614379085,32.59777102768737,32.02633633261773,0.9561855379628642,0.9507796695888697,0.9453848481607942,3.9220409425914795,13.198185325687767,13.186653280665732
0,20260724,hybrid_middle1,dense,ok,p00_dense_seed20260724.mp4,p00_hybrid_middle1_seed20260724.mp4,6.60643505200278,6.779641408997122,0.9744519884540673,0.0,120,21536.349609375,17,480,832,3.65732441514266,6.21848520179091,32.25711150529351,205.0,0.1582227151677979,32.307366494699274,31.17579564556022,0.9533042471570153,0.9446409421812577,0.9415578202845287,4.04133050380609,13.198185325687767,13.165140161758814
0,20260724,hybrid_middle1_cache008,dense,ok,p00_dense_seed20260724.mp4,p00_hybrid_middle1_cache008_seed20260724.mp4,6.60643505200278,6.228805212012958,1.0606263684825976,0.05,120,21580.212890625,17,480,832,3.777119273190045,6.70642401518306,31.600983442114632,216.0,0.15564103546065863,31.638834414505776,30.985040901783368,0.9513290599186883,0.9451831359693512,0.9413677268589309,4.118197605752537,13.198185325687767,13.132624960353231
