index,offset,noise_mode,method,mean,std
0,1,aligned,flow_rank8_oracle,0.021709402605544364,0.023033811802027203
1,1,aligned,flow_reuse,0.03545897705935657,0.03833225126162096
2,1,aligned,flow_toeplitz_r2,0.028542317683884225,0.030177597528034433
3,1,aligned,raw_reuse,0.6027041663535155,0.30119415794172155
4,1,aligned,shift_circular_r2,0.0846180371462169,0.04572593973704554
5,1,aligned,shift_rank8_feature,0.0705130135335433,0.04506147503351426
6,1,aligned,shift_rank8_oracle,0.05711204371518421,0.03266844018176326
7,1,aligned,shift_rank8_prev_flow,0.057243781111691566,0.03272669093062177
8,1,aligned,shift_reuse,0.1020105016618619,0.04554411801761535
9,1,aligned,shift_toeplitz_r2,0.08481275739135376,0.04572440118944496
10,1,independent,flow_rank8_oracle,0.021999443887876353,0.023481062680236243
11,1,independent,flow_reuse,0.03567491157101358,0.038686154369105885
12,1,independent,flow_toeplitz_r2,0.028746822236115323,0.030333448793075878
13,1,independent,raw_reuse,0.5970465695256854,0.302615329810929
14,1,independent,shift_circular_r2,0.6670750029529954,0.31597737787258495
15,1,independent,shift_rank8_feature,1.227302958420345,0.5267553788002687
16,1,independent,shift_rank8_oracle,0.5750098095021008,0.2949036405603162
17,1,independent,shift_rank8_prev_flow,0.5752081832736349,0.29469730815496503
18,1,independent,shift_reuse,0.609773491796458,0.30335712438101464
19,1,independent,shift_toeplitz_r2,0.6708213979738565,0.3165012687240059
20,8,aligned,flow_rank8_oracle,0.022374694927522212,0.024160457379214757
21,8,aligned,flow_reuse,0.03665098598649838,0.04058957730451617
22,8,aligned,flow_toeplitz_r2,0.029416723343193407,0.031937416214777054
23,8,aligned,raw_reuse,0.33050211618563086,0.14064782116581587
24,8,aligned,shift_circular_r2,0.1961189464288837,0.11150723870853423
25,8,aligned,shift_rank8_feature,0.15822894793143186,0.11090550500940313
26,8,aligned,shift_rank8_oracle,0.10973331745495855,0.07557781759390579
27,8,aligned,shift_rank8_prev_flow,0.11019345318354629,0.07580235345574854
28,8,aligned,shift_reuse,0.28563773702629025,0.10913884008823915
29,8,aligned,shift_toeplitz_r2,0.1961189464288837,0.11150723870853423
30,8,independent,flow_rank8_oracle,0.022034011247512746,0.02387065328179647
31,8,independent,flow_reuse,0.03621402490323496,0.04016037314027362
32,8,independent,flow_toeplitz_r2,0.02897861685595943,0.031228307681722262
33,8,independent,raw_reuse,0.3296422291194089,0.13933484745935326
34,8,independent,shift_circular_r2,0.39567915692373135,0.15033601515183975
35,8,independent,shift_rank8_feature,0.7621449524097896,0.37101005166848056
36,8,independent,shift_rank8_oracle,0.2632958233420681,0.12321363851007901
37,8,independent,shift_rank8_prev_flow,0.26383859259685283,0.12285024028077388
38,8,independent,shift_reuse,0.4012957015617545,0.11917603855729014
39,8,independent,shift_toeplitz_r2,0.39567915692373135,0.15033601515183975
