checkpoint,candidate,metric,value
train0_m8_v1,layer_0,executed_relative_l2_percent,3.0003122985363007
train0_m8_v1,layer_0,executed_p95_percent,5.245270188897847
train0_m8_v1,layer_1,executed_relative_l2_percent,0.5985310766845942
train0_m8_v1,layer_1,executed_p95_percent,0.7695979904383421
train0_m8_v1,layer_2,executed_relative_l2_percent,0.3458477323874831
train0_m8_v1,layer_2,executed_p95_percent,0.684249794576317
train0_m8_v1,layer_3,executed_relative_l2_percent,0.7354415953159332
train0_m8_v1,layer_3,executed_p95_percent,1.425219867378473
train0_m8_v1,layer_4,executed_relative_l2_percent,0.7821225561201572
train0_m8_v1,layer_4,executed_p95_percent,1.868106815963983
train0_m8_v1,layer_5,executed_relative_l2_percent,1.0683986358344555
train0_m8_v1,layer_5,executed_p95_percent,1.4194916374981401
train0_m8_v1,layer_6,executed_relative_l2_percent,0.6390178576111794
train0_m8_v1,layer_6,executed_p95_percent,1.405322318896651
train0_m8_v1,layer_7,executed_relative_l2_percent,0.6259022280573845
train0_m8_v1,layer_7,executed_p95_percent,1.2586214439943433
train1_m8_v1,layers_1_2,executed_relative_l2_percent,0.9813529439270496
train2_m8_v1,layers_1_2,executed_relative_l2_percent,0.7125969976186752
train1_m8_v1,layers_1_7,executed_relative_l2_percent,2.4090807884931564
train2_m8_v1,layers_1_7,executed_relative_l2_percent,2.3095637559890747
