method,bucket,sample_count,denoiser_output_relative_l2,defect_residual_relative_l2,run,teacher_improvement_pct
w4_plain,0,640,0.0106984904563517,0.9999999999992224,train-0,0.0
w4_plain,1,640,0.0101627741236047,0.9999999999991545,train-0,0.0
w4_plain,2,640,0.0118262498179449,0.9999999999992508,train-0,0.0
w4_plain,3,640,0.0122202604199374,0.999999999999274,train-0,0.0
w4_plain,4,640,0.0130599795783239,0.9999999999993192,train-0,0.0
w4_plain,5,640,0.0161880468498538,0.9999999999994446,train-0,0.0
w4_plain,6,640,0.0184034677596102,0.9999999999995132,train-0,0.0
w4_plain,7,640,0.0221238866940242,0.9999999999995904,train-0,0.0
w4_plain,8,640,0.0322295989697533,0.9999999999997108,train-0,0.0
w4_plain,9,640,0.0520253526623004,0.9999999999998088,train-0,0.0
bucket_mean,0,640,0.0077558372073677,0.724946919839054,train-0,27.505312651253
bucket_mean,1,640,0.0088534335131936,0.8711630707822783,train-0,12.883692921698852
bucket_mean,2,640,0.0099159556525913,0.8384699079782969,train-0,16.15300027279113
bucket_mean,3,640,0.0111629651947569,0.9134801396324084,train-0,8.65198603669295
bucket_mean,4,640,0.0122270915893764,0.9362259348140084,train-0,6.377406518536
bucket_mean,5,640,0.0149971705259855,0.926434769630327,train-0,7.356516415561609
bucket_mean,6,640,0.0175391286545026,0.9530339001102208,train-0,4.6966099889312884
bucket_mean,7,640,0.0206853638809896,0.9349788455894116,train-0,6.502125204895193
bucket_mean,8,640,0.031219486917916,0.9686588699786732,train-0,3.1341130021048658
bucket_mean,9,640,0.0504228986694469,0.969198594322564,train-0,3.080140567724965
channel_affine,0,640,0.0074925743837471,0.7003393996853917,train-0,29.966060031406073
channel_affine,1,640,0.0075908936594707,0.746931257857359,train-0,25.306874214200914
channel_affine,2,640,0.0081363128579639,0.6879875686045422,train-0,31.201243139494384
channel_affine,3,640,0.010313563874387,0.8439725112202111,train-0,15.602748877917671
channel_affine,4,640,0.0104045670370642,0.7966755977418171,train-0,20.33244022576406
channel_affine,5,640,0.0127147350143605,0.7854397218073443,train-0,21.456027819221855
channel_affine,6,640,0.0154088111106682,0.837277588763907,train-0,16.27224112356871
channel_affine,7,640,0.0195910002476046,0.8855134958220661,train-0,11.448650417757511
channel_affine,8,640,0.0303954182733911,0.9430901793692084,train-0,5.69098206305183
channel_affine,9,640,0.0505354277519156,0.9713615605824788,train-0,2.863843941733535
circulant_r2,0,640,0.0069883968755601,0.6532134042614977,train-0,34.67866420901385
circulant_r2,1,640,0.0070940869269365,0.6980463555295454,train-0,30.195369486178713
circulant_r2,2,640,0.0072642320524209,0.6142463678882877,train-0,38.575354281808686
circulant_r2,3,640,0.0088612249732146,0.7251257067117028,train-0,27.48742932877699
circulant_r2,4,640,0.0097189023972445,0.7441743946804237,train-0,25.58256053190697
circulant_r2,5,640,0.0119099358621685,0.7357240791695331,train-0,26.427592083006214
circulant_r2,6,640,0.0148529627239469,0.8070741296125304,train-0,19.292587038707666
circulant_r2,7,640,0.0189084322036181,0.854661410317097,train-0,14.533858968255409
circulant_r2,8,640,0.0298704306909429,0.926801190389212,train-0,7.319880961052039
circulant_r2,9,640,0.0475118332290048,0.9132438474256538,train-0,8.675615257417125
toeplitz_r2,0,640,0.0069888714499415,0.6532576705612531,train-0,34.67422830860962
