run,checkpoint,offset,method,velocity_relative_l2,velocity_mean_relative_l2,velocity_p95_relative_l2,activation_mean_relative_l2,activation_p95_relative_l2
train0_m1_v1,0,1,raw_reuse,0.4666891617443265,0.21616996824741364,1.3542341351509093,0.6145368218421936,1.2333348393440242
train0_m1_v1,0,1,shift_reuse,0.028494405339649923,0.018698053434491158,0.07356337532401083,0.10663914680480957,0.20590995103120796
train0_m1_v1,0,1,shift_toeplitz_r2,0.019383411812761202,0.014485159888863564,0.0603886816650629,0.08856990933418274,0.19213711395859712
train0_m1_v1,0,1,shift_circular_r2,0.01927259397357324,0.014443919062614441,0.06010858081281184,0.08838300406932831,0.1918952219188213
train0_m1_v1,0,1,shift_rank8_feature,0.016785080732863403,0.012875051237642765,0.05498708710074424,0.07451219856739044,0.1841650649905201
train0_m1_v1,0,1,shift_rank8_prev_flow,0.011203252141105515,0.009178710170090199,0.03868489321321248,0.059787530452013016,0.13850367963314053
train0_m1_v1,0,1,shift_rank8_oracle,0.011158788000441741,0.009141924791038036,0.03831518050283193,0.05964576080441475,0.13790833204984665
train0_m1_v1,0,1,flow_reuse,0.027894812962849274,0.014056185260415077,0.0663200706243515,0.038350675255060196,0.15090271160006516
train0_m1_v1,0,1,flow_toeplitz_r2,0.016987446851698902,0.00926494412124157,0.04260982777923345,0.030738163739442825,0.12190804518759248
train0_m1_v1,0,1,flow_rank8_oracle,0.02165636756896894,0.010521462187170982,0.052470147795975204,0.022602569311857224,0.08572337590157983
train0_m8_v1,0,8,raw_reuse,0.23458103144857123,0.11599384248256683,0.6862195461988447,0.33278170228004456,0.677979901432991
train0_m8_v1,0,8,shift_reuse,0.07416890216347868,0.0442529134452343,0.19245706424117084,0.29692429304122925,0.5355089545249937
train0_m8_v1,0,8,shift_toeplitz_r2,0.04308069968168144,0.031714584678411484,0.14127404242753983,0.20265081524848938,0.47114424705505353
train0_m8_v1,0,8,shift_circular_r2,0.04308069968168144,0.031714584678411484,0.14127404242753983,0.20265081524848938,0.47114424705505353
train0_m8_v1,0,8,shift_rank8_feature,0.0342985695305276,0.02561025880277157,0.113229502364993,0.16814808547496796,0.45422485172748556
train0_m8_v1,0,8,shift_rank8_prev_flow,0.018161917957959312,0.01412846241146326,0.06473125033080569,0.11695173382759094,0.30694185346364966
train0_m8_v1,0,8,shift_rank8_oracle,0.017912530413211412,0.013974792324006557,0.06196785550564524,0.11644558608531952,0.3061394795775412
train0_m8_v1,0,8,flow_reuse,0.029354188326633567,0.014536142349243164,0.0697966270148754,0.03925962373614311,0.15705290287733076
train0_m8_v1,0,8,flow_toeplitz_r2,0.01746344037905699,0.00932216551154852,0.041915756836533466,0.03146009519696236,0.12436278723180291
train0_m8_v1,0,8,flow_rank8_oracle,0.023853774439351036,0.011108634062111378,0.05411124005913727,0.023126672953367233,0.08750750571489328
train1_m1_v1,1,1,raw_reuse,0.4659454833077523,0.2150087058544159,1.3546065270900727,0.6090068817138672,1.239526903629303
train1_m1_v1,1,1,shift_reuse,0.0285760686764298,0.018583081662654877,0.07500600330531591,0.10473383218050003,0.20737293511629096
train1_m1_v1,1,1,shift_toeplitz_r2,0.019439817088288843,0.014320007525384426,0.06071252617984999,0.08764657378196716,0.19454617351293557
train1_m1_v1,1,1,shift_circular_r2,0.019383752767989235,0.014306127093732357,0.06039098650217046,0.08747132867574692,0.19459595903754232
train1_m1_v1,1,1,shift_rank8_feature,0.017520143502680705,0.013110984116792679,0.056664122454821914,0.07427951693534851,0.1837440416216848
train1_m1_v1,1,1,shift_rank8_prev_flow,0.011282761272709779,0.0089922696352005,0.03781425561755886,0.06032728776335716,0.1398243345320224
train1_m1_v1,1,1,shift_rank8_oracle,0.011280155404254647,0.008989127352833748,0.0374500125646591,0.06019340455532074,0.13945654183626174
train1_m1_v1,1,1,flow_reuse,0.028343607219757323,0.013785351067781448,0.06492981426417826,0.03803826868534088,0.1465869113802908
train1_m1_v1,1,1,flow_toeplitz_r2,0.018131141195332583,0.00937816221266985,0.042751583084464036,0.031017355620861053,0.11800784729421139
train1_m1_v1,1,1,flow_rank8_oracle,0.021996976197635444,0.010401478968560696,0.051671422831714026,0.023487817496061325,0.09286010786890972
train1_m8_v1,1,8,raw_reuse,0.23485813342534548,0.11641653627157211,0.6867983311414716,0.33439138531684875,0.6874935001134872
train1_m8_v1,1,8,shift_reuse,0.07694050022853025,0.044962648302316666,0.18706761375069603,0.28872814774513245,0.5336726665496826
train1_m8_v1,1,8,shift_toeplitz_r2,0.04408850953219933,0.03154445067048073,0.13694023489952079,0.2028103768825531,0.4667374864220618
train1_m8_v1,1,8,shift_circular_r2,0.04408850953219933,0.03154445067048073,0.13694023489952079,0.2028103768825531,0.4667374864220618
train1_m8_v1,1,8,shift_rank8_feature,0.0379043582295433,0.02684570476412773,0.1154879167675971,0.17184939980506897,0.4511712744832038
