checkpoint,offset,layer,flow_point,shift_risk,toeplitz_risk,toeplitz_improvement
0,1,0,0,0.0099263488541995,0.0097168667011167,0.021103646079713934
0,1,1,0,0.0021757270158663,0.0020928020582127,0.03811367742776428
0,1,2,0,0.0012547559228631,0.0017560168690398,-0.3994888065823381
0,1,3,0,0.0009316503683403,0.0013771303722998,-0.47816221524508795
0,1,4,0,0.0010936843078752,0.001192912425455,-0.09072829962476048
0,1,5,0,0.0015695688921643,0.001368151546578,0.12832654023141532
0,1,6,0,0.0030790565731004,0.0024046607381188,0.21902677621234146
0,1,7,0,0.0048489442893138,0.004425550114538,0.08731677443869268
0,1,0,1,0.0101133623340691,0.0093781088800407,0.07270118776932732
0,1,1,1,0.0022289093980531,0.0020759615655813,0.06862003121589255
0,1,2,1,0.0012650607861608,0.0017003117411895,-0.3440553685563186
0,1,3,1,0.0011158793328382,0.0014189209008913,-0.271571987342327
0,1,4,1,0.0012482054083852,0.001234425150704,0.011040056058583825
0,1,5,1,0.0018692223231724,0.0016276633907026,0.12922964244286994
0,1,6,1,0.0038961211175242,0.00311062037411,0.20161096632266617
0,1,7,1,0.0061865657115568,0.0056842172555595,0.08119989011979445
0,1,0,2,0.012149555137816,0.0095430135627837,0.21453802591663051
0,1,1,2,0.0025537338361522,0.0022113377895,0.13407663782538126
0,1,2,2,0.001528540385242,0.0019001674232103,-0.2431254296951164
0,1,3,2,0.0016920769892771,0.00170999476847,-0.010589222184597569
0,1,4,2,0.001715712232121,0.0017305069258194,-0.008623062435190842
0,1,5,2,0.0025161852659913,0.0023869496191708,0.051361737375719474
0,1,6,2,0.0053020513211162,0.0044202331760806,0.1663164106925238
0,1,7,2,0.0067084146399724,0.0062058317439893,0.07491828143544321
0,1,0,3,0.0160627237346855,0.0100594523765886,0.3737393145306711
0,1,1,3,0.0031694299569878,0.0024233892834361,0.23538638924859878
0,1,2,3,0.0020678603449181,0.0020893620505358,-0.010398045337317807
0,1,3,3,0.0025107176053644,0.0022016564950115,0.12309672330036647
0,1,4,3,0.0028648154621419,0.0028028091806268,0.021644075276227692
0,1,5,3,0.0037741988579412,0.0035028524663471,0.07189509663041915
0,1,6,3,0.0070235713358959,0.0060339984098854,0.1408931266851401
0,1,7,3,0.0078694297924346,0.00728393839113,0.07440074017401754
0,1,0,4,0.0221258680332385,0.0114738568465102,0.4814279453681255
0,1,1,4,0.0039704962367163,0.002796054629619,0.29579214714697544
0,1,2,4,0.0027517003409503,0.0023367281495443,0.15080573463267777
0,1,3,4,0.003529473393072,0.003109052216531,0.11911725340280066
0,1,4,4,0.0051078318311977,0.0048849611339109,0.04363313136613989
0,1,5,4,0.0061554289451183,0.0058218591876754,0.05419114742725517
0,1,6,4,0.0095655898285569,0.0086745438588792,0.09315117892862079
0,1,7,4,0.0096503994543821,0.0092191496582912,0.04468724824598591
0,1,0,5,0.0319092085301245,0.0150898210162545,0.5271013694367046
0,1,1,5,0.0051502607079404,0.0033826651715728,0.3432050602103335
0,1,2,5,0.0036237588072352,0.0029389710601291,0.18897166824095812
0,1,3,5,0.0048785810348646,0.0044403160030769,0.08983452947807047
0,1,4,5,0.0081881214199695,0.0078154885760531,0.04550895435033597
0,1,5,5,0.0098684237348586,0.0094628601317865,0.04109710060782179
0,1,6,5,0.013222671725254,0.0123930734082221,0.06274059692848977
0,1,7,5,0.0128493235887743,0.0123861507230704,0.036046478439421215
0,1,0,6,0.0467478816513315,0.0225659051736252,0.5172849682915532
0,1,1,6,0.0071326909111848,0.004153916798947,0.417622766684979
0,1,2,6,0.0049130973129691,0.0037540657396604,0.2359064963458397
0,1,3,6,0.007009967110961,0.0065876570520498,0.06024422828615883
0,1,4,6,0.0124717303281969,0.011547920641284,0.07407229491037759
0,1,5,6,0.015258540539269,0.0144108574844159,0.05555466151376165
0,1,6,6,0.0187663511727051,0.0179395224911072,0.04405910738793428
0,1,7,6,0.0180264497148667,0.0174742902345925,0.03063051732359834
0,1,0,7,0.0700122453315434,0.0333546768646195,0.5235879565543395
0,1,1,7,0.0109047330075201,0.0064612635038937,0.407480815950478
0,1,2,7,0.0068584368551135,0.0053653461166537,0.21770131737038367
0,1,3,7,0.010561902154211,0.0102012802497336,0.03414365132455055
0,1,4,7,0.0174741739145736,0.0159404609603764,0.08777026952433331
0,1,5,7,0.023617130023606,0.0222236902776112,0.05900123108108468
0,1,6,7,0.028165790585607,0.0273349888933559,0.029496835522012543
0,1,7,7,0.0269893808444487,0.0263452949401581,0.02386441941750128
0,1,0,8,0.1146607920841282,0.0628658205328455,0.45172347591389406
0,1,1,8,0.019472862040694,0.0119259503034201,0.38756047886040146
0,1,2,8,0.0115786598891074,0.0099160609778051,0.1435916528532276
0,1,3,8,0.0171558032320543,0.0164482691082553,0.04124167864533612
0,1,4,8,0.0224066427844531,0.0213582139047792,0.04679098469858034
0,1,5,8,0.0342275049468757,0.0320421851747656,0.06384689084120865
0,1,6,8,0.0458972204889756,0.0446418191189167,0.02735244872530873
0,1,7,8,0.0467559717880614,0.0462431266347669,0.010968548694039737
0,1,0,9,0.2580977212213066,0.1310351199492731,0.49230423527483724
0,1,1,9,0.0549767534575107,0.0389415704006382,0.2916720622520106
0,1,2,9,0.0355284535969326,0.031593535440701,0.11075399455526336
