method,mean,min,max
bucket_mean,0.16321653972323397,0.1010222745116226,0.240117515686197
channel_affine,0.255253350718923,0.1686416462497131,0.316991378527351
circulant_r2,0.3663652947099607,0.2503884851118388,0.4730389814763659
toeplitz_r2,0.3748922246612289,0.265885800768132,0.4768693731761818
reduced_rank_r4,0.22149467030470937,0.1079542771794072,0.2825420865969946
toeplitz_r2_rank4,0.3438491139302262,0.1751514307379168,0.4893192648019951
