stage,checkpoint,method,metric,value
multi-skip,train2_m8_v1,state_noise,late_skip4_coefficient_r2,0.9353608331452269
B1a sampler,train0_m8_v1,all_interval5,executed_relative_l2_percent,3.413214534521103
B1a sampler,train1_m8_v1,all_interval5,executed_relative_l2_percent,3.734138235449791
B1a sampler,train2_m8_v1,all_interval5,executed_relative_l2_percent,3.3872421830892563
B1a sampler,train0_m8_v1,all_interval5,executed_p95_relative_l2_percent,6.556492410600185
B1a sampler,train1_m8_v1,all_interval5,executed_p95_relative_l2_percent,7.297812476754187
B1a sampler,train2_m8_v1,all_interval5,executed_p95_relative_l2_percent,5.985785033553838
B1a sampler,train0_m8_v1,late20_interval5,executed_relative_l2_percent,3.370732069015503
B1a sampler,train1_m8_v1,late20_interval5,executed_relative_l2_percent,3.590531647205353
B1a sampler,train2_m8_v1,late20_interval5,executed_relative_l2_percent,3.3724378794431686
B1a sampler,train0_m8_v1,late20_interval5,executed_p95_relative_l2_percent,6.191098000854254
B1a sampler,train1_m8_v1,late20_interval5,executed_p95_relative_l2_percent,6.941000055521725
B1a sampler,train2_m8_v1,late20_interval5,executed_p95_relative_l2_percent,5.436696372926235
