method,action_relative_l2,p95_sample_relative_l2,velocity_relative_l2,acceleration_relative_l2,mean_endpoint_l2,executed_action_mae_raw_units,run,mean_improvement_pct,p95_improvement_pct
full_precision,0.0,0.0,0.0,0.0,0.0,0.0,train-0,100.0,100.0
w4_plain,0.027741708205159,0.0579613363370299,0.0605396407142999,0.061379140947806,0.0123413521796464,1.463384985923767,train-0,0.0,0.0
w8_plain,0.0013201844030715,0.0031625047093257,0.003647801338231,0.0039652543476107,0.0006789030740037,0.0753708630800247,train-0,95.2411567690486,94.5437684684553
bucket_mean,0.0262289858162199,0.050690577737987,0.0585523870583929,0.0597258609428289,0.011339858174324,1.4261027574539185,train-0,5.452881191569114,12.54415280690796
channel_affine,0.0262658689865404,0.0500518981367349,0.059619584783959,0.0616254207467193,0.0113172642886638,1.4287382364273071,train-0,5.319929139562307,13.646059080321582
circulant_r2,0.0264999962383368,0.0527817692607641,0.062609903717758,0.0659834515242447,0.0122707867994904,1.434478998184204,train-0,4.475975154952017,8.936245096469108
toeplitz_r2,0.0264143862907293,0.0542165020480751,0.0626865671204754,0.0669407541916927,0.0118756275624036,1.4351708889007568,train-0,4.78457168035119,6.460917786952969
reduced_rank_r4,0.0257354847775191,0.0628017708659171,0.0603707764024366,0.0645403768519366,0.011142449453473,1.4590141773223877,train-0,7.231794858496898,-8.351143770635904
toeplitz_r2_rank4,0.0257141867812114,0.0609385211020708,0.0601722159948355,0.0641171095161723,0.0109001621603965,1.46197509765625,train-0,7.308567334619109,-5.136501249262704
dense_ridge_ceiling,0.0259840136464055,0.0628870606422424,0.0618165106517349,0.0660461842468619,0.0112339938059449,1.4633314609527588,train-0,6.335927642792494,-8.498293201127582
full_precision,0.0,0.0,0.0,0.0,0.0,0.0,train-1,100.0,100.0
w4_plain,0.026764281329817,0.0488879738375544,0.0875824952059927,0.1069791969652552,0.0126056121662259,1.6803216934204102,train-1,0.0,0.0
w8_plain,0.0011370031133132,0.0021310177980922,0.0027216692878543,0.0029464882390202,0.0006135515868663,0.0746040642261505,train-1,95.75178911287817,95.64101837156686
bucket_mean,0.0228330951729192,0.0430799085646867,0.0817736982448266,0.0992217967377759,0.0113573959097266,1.4245529174804688,train-1,14.688181268361667,11.880355876819149
channel_affine,0.0225592047164998,0.0407451378181576,0.0775642316811682,0.0903373237206454,0.0110885873436927,1.4046076536178589,train-1,15.71152448107208,16.65611270054661
circulant_r2,0.0221661483128401,0.039119204133749,0.0760278749453188,0.0904113238161481,0.0108150951564311,1.3380262851715088,train-1,17.18011016366917,19.98194839545855
toeplitz_r2,0.0221903053238807,0.0396204654127359,0.0758595018067779,0.0895899857142645,0.0107515109702944,1.3455557823181152,train-1,17.08985176762665,18.956622042903028
reduced_rank_r4,0.0190055000220122,0.0398221135139465,0.0767255350231453,0.0930357483419096,0.0102004408836364,1.205272197723389,train-1,28.989313078102562,18.544152297520156
toeplitz_r2_rank4,0.0188840768947059,0.0395813675597309,0.0708635913152055,0.0851975981738289,0.0097900219261646,1.2173681259155271,train-1,29.442989101792495,19.036596420926777
dense_ridge_ceiling,0.0190113583215117,0.0400324217975139,0.0716170583845156,0.0864802685137669,0.0099944407120347,1.2196834087371826,train-1,28.96742457892222,18.113968211212526
full_precision,0.0,0.0,0.0,0.0,0.0,0.0,train-2,100.0,100.0
w4_plain,0.0240687955052426,0.0505111584439873,0.0624326139668015,0.06787021630919,0.0125267598778009,1.2739874124526978,train-2,0.0,0.0
w8_plain,0.0012912387410784,0.0038746290141716,0.0033725089033489,0.0039785323721572,0.0007449275581166,0.096231609582901,train-2,94.6352166198049,92.32916224151097
bucket_mean,0.0240005083215448,0.0491440758109092,0.0619896435786289,0.0667139741935867,0.0120671149343252,1.214183688163757,train-2,0.2837166641052935,2.7064962974351015
channel_affine,0.0227922285839553,0.0513962123543023,0.0593506237063347,0.0642753626086465,0.0118589587509632,1.2158074378967283,train-2,5.3038255321469885,-1.7521948369021212
circulant_r2,0.0226153831115207,0.0495059987530112,0.0591254660473829,0.0642846376928877,0.0116131454706192,1.1220810413360596,train-2,6.038575521593181,1.9899755260824992
toeplitz_r2,0.0230040399378181,0.0500418622046708,0.0599508868562234,0.0651545532457164,0.0114580998197197,1.131260633468628,train-2,4.423800797146571,0.92909419180498
reduced_rank_r4,0.0271813613623044,0.0439458087086677,0.0685817144910703,0.0729678175494334,0.0118143912404775,1.1893436908721924,train-2,-12.931955221372938,12.99782055602632
toeplitz_r2_rank4,0.0268914335024218,0.0427988391369581,0.0671576783881005,0.070338802391901,0.0117792319506406,1.190498113632202,train-2,-11.72737537515902,15.268545692891845
dense_ridge_ceiling,0.0271178352252307,0.0419072967022657,0.0689525242896429,0.071650519974757,0.0119464099407196,1.1938241720199585,train-2,-12.668019549727628,17.03358625453536
