sample_id,method,teacher_index,competitor_index,baseline_margin,exact_shift,exact_final_margin,normalized_adverse_shift
vsi_question_3132,source_pca_r456,0,1,0.75,-0.25,0.5,0.3333333432674408
vsi_question_3132,source_pca_r456,0,2,0.75,0.0,0.75,0.0
vsi_question_3132,source_pca_r456,0,3,0.0,0.0,0.0,0.0
vsi_question_3132,target_pca_r456,0,1,0.75,-0.125,0.625,0.1666666716337204
vsi_question_3132,target_pca_r456,0,2,0.75,0.125,0.875,0.0
vsi_question_3132,target_pca_r456,0,3,0.0,0.0,0.0,0.0
vsi_question_3132,vsi_pca_train96_r456,0,1,0.75,-0.25,0.5,0.3333333432674408
vsi_question_3132,vsi_pca_train96_r456,0,2,0.75,0.0,0.75,0.0
vsi_question_3132,vsi_pca_train96_r456,0,3,0.0,-0.125,-0.125,2.5
vsi_question_3132,pooled3_pca_r456,0,1,0.75,-0.125,0.625,0.1666666716337204
vsi_question_3132,pooled3_pca_r456,0,2,0.75,0.125,0.875,0.0
vsi_question_3132,pooled3_pca_r456,0,3,0.0,0.0,0.0,0.0
vsi_question_3132,cmrq_risk_atoms32_r456,0,1,0.75,-0.125,0.625,0.1666666716337204
vsi_question_3132,cmrq_risk_atoms32_r456,0,2,0.75,0.0,0.75,0.0
vsi_question_3132,cmrq_risk_atoms32_r456,0,3,0.0,0.0,0.0,0.0
vsi_question_3132,feature_only_null_atoms32_r456,0,1,0.75,-0.125,0.625,0.1666666716337204
vsi_question_3132,feature_only_null_atoms32_r456,0,2,0.75,0.125,0.875,0.0
vsi_question_3132,feature_only_null_atoms32_r456,0,3,0.0,0.0,0.0,0.0
vsi_question_3132,random_null_atoms32_r456,0,1,0.75,-0.25,0.5,0.3333333432674408
vsi_question_3132,random_null_atoms32_r456,0,2,0.75,0.0,0.75,0.0
vsi_question_3132,random_null_atoms32_r456,0,3,0.0,0.0,0.0,0.0
vsi_question_3132,permuted_risk_null_atoms32_r456,0,1,0.75,-0.125,0.625,0.1666666716337204
vsi_question_3132,permuted_risk_null_atoms32_r456,0,2,0.75,0.125,0.875,0.0
vsi_question_3132,permuted_risk_null_atoms32_r456,0,3,0.0,0.0,0.0,0.0
vsi_question_3132,risk_only_r456,0,1,0.75,-1.0,-0.25,1.3333333730697632
vsi_question_3132,risk_only_r456,0,2,0.75,-0.5,0.25,0.6666666865348816
vsi_question_3132,risk_only_r456,0,3,0.0,-0.125,-0.125,2.5
vsi_question_5084,source_pca_r456,0,1,2.625,0.0,2.625,0.0
vsi_question_5084,source_pca_r456,0,2,0.625,-0.125,0.5,0.20000000298023224
vsi_question_5084,target_pca_r456,0,1,2.625,0.125,2.75,0.0
vsi_question_5084,target_pca_r456,0,2,0.625,0.0,0.625,0.0
vsi_question_5084,vsi_pca_train96_r456,0,1,2.625,0.0,2.625,0.0
vsi_question_5084,vsi_pca_train96_r456,0,2,0.625,-0.125,0.5,0.20000000298023224
vsi_question_5084,pooled3_pca_r456,0,1,2.625,0.125,2.75,0.0
vsi_question_5084,pooled3_pca_r456,0,2,0.625,-0.125,0.5,0.20000000298023224
vsi_question_5084,cmrq_risk_atoms32_r456,0,1,2.625,0.125,2.75,0.0
vsi_question_5084,cmrq_risk_atoms32_r456,0,2,0.625,-0.125,0.5,0.20000000298023224
vsi_question_5084,feature_only_null_atoms32_r456,0,1,2.625,0.0,2.625,0.0
vsi_question_5084,feature_only_null_atoms32_r456,0,2,0.625,-0.125,0.5,0.20000000298023224
vsi_question_5084,random_null_atoms32_r456,0,1,2.625,0.125,2.75,0.0
vsi_question_5084,random_null_atoms32_r456,0,2,0.625,0.0,0.625,0.0
vsi_question_5084,permuted_risk_null_atoms32_r456,0,1,2.625,0.125,2.75,0.0
vsi_question_5084,permuted_risk_null_atoms32_r456,0,2,0.625,0.0,0.625,0.0
