layer,frame,history_start,history_frames,rank,relative_projection_error
0,1,0,1,1,0.8738461814876977
0,1,0,1,2,0.7831591809662657
0,1,0,1,4,0.6102176107156416
0,1,0,1,8,0.29118394616428483
0,2,0,2,1,0.8744667642509375
0,2,0,2,2,0.7847504353743985
0,2,0,2,4,0.6157532488039671
0,2,0,2,8,0.2956491497617175
0,3,1,2,1,0.8766368544278177
0,3,1,2,2,0.7821358137426647
0,3,1,2,4,0.6114762538153785
0,3,1,2,8,0.2824663264924328
2,1,0,1,1,0.8738605619019268
2,1,0,1,2,0.7831855603654722
2,1,0,1,4,0.6102196424549272
2,1,0,1,8,0.2911815098667491
2,2,0,2,1,0.874471265885737
2,2,0,2,2,0.7847529114909607
2,2,0,2,4,0.6157587427103224
2,2,0,2,8,0.29568212452966186
2,3,1,2,1,0.8766391325160117
2,3,1,2,2,0.7821439931074613
2,3,1,2,4,0.6114690242495451
2,3,1,2,8,0.2824483020898711
