protocol,split,candidate_class,method,landmark_mode,landmarks,pinv_rtol,density,records,aggregate_output_relative_l2,record_error_max,projected_attention_work_ratio_mean,arithmetic_speedup_upper_bound
seed_holdout,calibration,deployable,nystrom_signed,segment,32,0.0001,0.0,12,1.65408795342088,4.882356481994298,0.0019536019536019536,511.875
seed_holdout,calibration,deployable,landmark_linear,segment,32,0.0001,0.0,12,1.0847836366563743,1.8071511859299212,0.0019536019536019536,511.875
seed_holdout,calibration,diagnostic_only,nystrom_nonnegative_clamped,segment,32,0.0001,0.0,12,1.0183191457369123,1.807151387260819,0.626953601953602,1.5950143629193243
seed_holdout,calibration,deployable,proxy_mass_nystrom_mixture,segment,32,0.0001,0.125,12,0.6672963915209132,2.2591007400450045,0.13479663443288814,7.418582846724373
seed_holdout,calibration,diagnostic_only,dense_mass_nystrom_mixture_diagnostic,segment,32,0.0001,0.125,12,0.5696460826253096,1.9356361331932257,0.13479663443288814,7.418582846724373
seed_holdout,calibration,deployable,proxy_mass_landmark_partition,segment,32,0.0001,0.125,12,0.3690556235966095,0.7213543061418629,0.16654266804111018,6.00446727413515
seed_holdout,calibration,diagnostic_only,dense_mass_landmark_partition_diagnostic,segment,32,0.0001,0.125,12,0.2970617194222516,0.5767142577676496,0.16654266804111018,6.00446727413515
seed_holdout,calibration,deployable,proxy_mass_nystrom_mixture,segment,32,0.0001,0.25,12,0.47333728173942324,1.580421340316352,0.25982716691217433,3.8487122493161605
seed_holdout,calibration,diagnostic_only,dense_mass_nystrom_mixture_diagnostic,segment,32,0.0001,0.25,12,0.3875336214793675,1.3817587762936696,0.25982716691217433,3.8487122493161605
seed_holdout,calibration,deployable,proxy_mass_landmark_partition,segment,32,0.0001,0.25,12,0.27130272161490193,0.4481290775401772,0.3228308336402179,3.097597552018405
seed_holdout,calibration,diagnostic_only,dense_mass_landmark_partition_diagnostic,segment,32,0.0001,0.25,12,0.19286158930385228,0.35274882773015825,0.3228308336402179,3.097597552018405
seed_holdout,calibration,deployable,nystrom_signed,segment,64,0.0001,0.0,12,0.9832614611250257,1.6810041164590586,0.003907203907203907,255.9375
seed_holdout,calibration,deployable,landmark_linear,segment,64,0.0001,0.0,12,1.010577717909216,1.6853505323928542,0.003907203907203907,255.9375
seed_holdout,calibration,diagnostic_only,nystrom_nonnegative_clamped,segment,64,0.0001,0.0,12,0.9352312937413384,1.679634972697001,0.7539072039072039,1.3264231921613086
seed_holdout,calibration,deployable,proxy_mass_nystrom_mixture,segment,64,0.0001,0.125,12,0.3500330428187727,0.7256233386496606,0.1367502363864901,7.312601619011114
seed_holdout,calibration,diagnostic_only,dense_mass_nystrom_mixture_diagnostic,segment,64,0.0001,0.125,12,0.2944459254294383,0.6352593401303283,0.1367502363864901,7.312601619011114
seed_holdout,calibration,deployable,proxy_mass_landmark_partition,segment,64,0.0001,0.125,12,0.35698857700643927,0.6235501219766983,0.20024230360293416,4.9939497399257196
seed_holdout,calibration,diagnostic_only,dense_mass_landmark_partition_diagnostic,segment,64,0.0001,0.125,12,0.285315934943855,0.4928473329741283,0.20024230360293416,4.9939497399257196
seed_holdout,calibration,deployable,proxy_mass_nystrom_mixture,segment,64,0.0001,0.25,12,0.2632012910622646,0.5464884745563447,0.2617807688657763,3.8199903084276343
seed_holdout,calibration,diagnostic_only,dense_mass_nystrom_mixture_diagnostic,segment,64,0.0001,0.25,12,0.2047144826022356,0.4806846695282254,0.2617807688657763,3.8199903084276343
seed_holdout,calibration,deployable,proxy_mass_landmark_partition,segment,64,0.0001,0.25,12,0.265666322640734,0.41820872079367577,0.38778810232186345,2.5787279032351584
seed_holdout,calibration,diagnostic_only,dense_mass_landmark_partition_diagnostic,segment,64,0.0001,0.25,12,0.18688860333198445,0.3423230355618054,0.38778810232186345,2.5787279032351584
seed_holdout,calibration,deployable,nystrom_signed,segment,128,0.0001,0.0,12,1.0550547579428686,2.0011605407412354,0.007814407814407814,127.96875
seed_holdout,calibration,deployable,landmark_linear,segment,128,0.0001,0.0,12,0.9347078933564488,1.5386541534686975,0.007814407814407814,127.96875
seed_holdout,calibration,diagnostic_only,nystrom_nonnegative_clamped,segment,128,0.0001,0.0,12,0.8554794512642085,1.3043647850942544,1.0078144078144078,0.9922461836685244
seed_holdout,calibration,deployable,proxy_mass_nystrom_mixture,segment,128,0.0001,0.125,12,0.39556288491230274,0.953714959332094,0.140657440293694,7.109471051883149
seed_holdout,calibration,diagnostic_only,dense_mass_nystrom_mixture_diagnostic,segment,128,0.0001,0.125,12,0.33550917017614673,0.8510693029261046,0.140657440293694,7.109471051883149
seed_holdout,calibration,deployable,proxy_mass_landmark_partition,segment,128,0.0001,0.125,12,0.35045800734999244,0.5530742014114031,0.2676415747265821,3.7363402939979795
seed_holdout,calibration,diagnostic_only,dense_mass_landmark_partition_diagnostic,segment,128,0.0001,0.125,12,0.27886223774852037,0.4386097202833363,0.2676415747265821,3.7363402939979795
seed_holdout,calibration,deployable,proxy_mass_nystrom_mixture,segment,128,0.0001,0.25,12,0.29798570003850416,0.7337387315545492,0.2656879727729802,3.763813580129426
seed_holdout,calibration,diagnostic_only,dense_mass_nystrom_mixture_diagnostic,segment,128,0.0001,0.25,12,0.23525072611946382,0.6543262415185775,0.2656879727729802,3.763813580129426
seed_holdout,calibration,deployable,proxy_mass_landmark_partition,segment,128,0.0001,0.25,12,0.26297863067712823,0.4181413750802773,0.5177026396851545,1.9316107806754839
seed_holdout,calibration,diagnostic_only,dense_mass_landmark_partition_diagnostic,segment,128,0.0001,0.25,12,0.18362503154588822,0.3424583989023835,0.5177026396851545,1.9316107806754839
seed_holdout,validation,deployable,nystrom_signed,segment,32,0.0001,0.0,12,1.3098915955767594,3.0081914639057246,0.0019536019536019536,511.875
seed_holdout,validation,deployable,landmark_linear,segment,32,0.0001,0.0,12,1.2628389348741975,2.7037638250089158,0.0019536019536019536,511.875
seed_holdout,validation,diagnostic_only,nystrom_nonnegative_clamped,segment,32,0.0001,0.0,12,1.1648988469699708,1.8622461560929284,0.626953601953602,1.5950143629193243
seed_holdout,validation,deployable,proxy_mass_nystrom_mixture,segment,32,0.0001,0.125,12,0.31209788681912415,0.8131088319352067,0.13479663443288814,7.418582846724373
seed_holdout,validation,diagnostic_only,dense_mass_nystrom_mixture_diagnostic,segment,32,0.0001,0.125,12,0.3645393920369,1.0060232181163222,0.13479663443288814,7.418582846724373
seed_holdout,validation,deployable,proxy_mass_landmark_partition,segment,32,0.0001,0.125,12,0.2945230308997911,0.5865230285055584,0.16654266804111018,6.00446727413515
seed_holdout,validation,diagnostic_only,dense_mass_landmark_partition_diagnostic,segment,32,0.0001,0.125,12,0.3372043293205502,0.7537731900552733,0.16654266804111018,6.00446727413515
seed_holdout,validation,deployable,proxy_mass_nystrom_mixture,segment,32,0.0001,0.25,12,0.2026489553918377,0.4217945423357369,0.2597864668739002,3.8493152165828475
seed_holdout,validation,diagnostic_only,dense_mass_nystrom_mixture_diagnostic,segment,32,0.0001,0.25,12,0.20894642866786858,0.5235441094563825,0.2597864668739002,3.8493152165828475
seed_holdout,validation,deployable,proxy_mass_landmark_partition,segment,32,0.0001,0.25,12,0.19790838888187154,0.3415893765047475,0.32277995859237524,3.0980857806691042
seed_holdout,validation,diagnostic_only,dense_mass_landmark_partition_diagnostic,segment,32,0.0001,0.25,12,0.1935425624326386,0.3873953841209584,0.32277995859237524,3.0980857806691042
seed_holdout,validation,deployable,nystrom_signed,segment,64,0.0001,0.0,12,1.2105848654236748,1.9564774596138899,0.003907203907203907,255.9375
seed_holdout,validation,deployable,landmark_linear,segment,64,0.0001,0.0,12,1.186750435180089,2.4366617015929757,0.003907203907203907,255.9375
seed_holdout,validation,diagnostic_only,nystrom_nonnegative_clamped,segment,64,0.0001,0.0,12,1.075347066902354,1.6537432854962615,0.7539072039072039,1.3264231921613086
