weight_key,shape,activation_source,rows,method,measurement_scope,latency_ms_median,latency_ms_min,latency_ms_max,output_relative_l2,output_cosine,main_weight_bits,high_precision_params,metadata_bits,speedup_vs_bf16,status
blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,512,bf16_dense,measured,0.0190986673037211,0.0190645337104797,0.0192106664180755,0.0,1.0000001192092896,16,0,0,1.0,ok
blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,512,fp8_dynamic_main,measured,0.1244309345881144,0.123469869295756,0.1256095965703328,0.0404638424515724,0.9991809725761414,8,0,0,0.1534880965648987,ok
blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,512,fp8_static_input_main,lower_bound,0.0233034670352935,0.0227647999922434,0.0235071996847788,0.0404638424515724,0.9991809725761414,8,0,0,0.8195633411455809,ok
blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,512,fp8_dynamic_svd_r16,measured,0.2204949378967285,0.2199893315633138,0.2213866710662841,0.0398114956915378,0.9992072582244872,8,49152,0,0.0866172597244214,ok
blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,512,fp8_static_input_svd_r16,lower_bound,0.1150346676508585,0.1140074650446573,0.2136127948760986,0.0398114956915378,0.9992072582244872,8,49152,0,0.1660253182256972,ok
blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,512,fp8_dynamic_cached_bcm_b128_svd_r10,measured,0.421180788675944,0.4196074803670247,0.4230709393819173,0.0399796031415462,0.9992005825042723,8,49152,0,0.0453455328856787,ok
blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,512,fp8_static_input_cached_bcm_b128_svd_r10,lower_bound,0.2938677469889323,0.2915424029032389,0.3512149175008138,0.0399796031415462,0.9992005825042723,8,49152,0,0.0649906888367725,ok
blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,512,fp8_dynamic_svd_r8_rowsparse_b16,measured,0.2728053410847982,0.2719680150349935,0.2751445452372233,0.0398884564638137,0.999204158782959,8,49152,7,0.0700084068287523,ok
blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,512,fp8_static_input_svd_r8_rowsparse_b16,lower_bound,0.1645834604899088,0.1638986587524414,0.1652138710021972,0.0398884564638137,0.999204158782959,8,49152,7,0.1160424458622445,ok
blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,2048,bf16_dense,measured,0.0187178671360015,0.0185760001341501,0.0188287993272145,0.0,1.0,16,0,0,1.0,ok
blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,2048,fp8_dynamic_main,measured,0.1251840035120646,0.1250901301701863,0.1265887975692749,0.0400200448930263,0.9991989135742188,8,0,0,0.1495228352734193,ok
blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,2048,fp8_static_input_main,lower_bound,0.0233141342798868,0.0227317333221435,0.0241461336612701,0.0400200448930263,0.9991989135742188,8,0,0,0.8028549081554147,ok
blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,2048,fp8_dynamic_svd_r16,measured,0.2216938654581705,0.2208031972249348,0.2253461360931396,0.0393460802733898,0.9992257356643676,8,49152,0,0.0844311460640452,ok
blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,2048,fp8_static_input_svd_r16,lower_bound,0.1142666657765706,0.1139957348505655,0.1155232032140096,0.0393460802733898,0.9992257356643676,8,49152,0,0.1638086401558373,ok
blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,2048,fp8_dynamic_cached_bcm_b128_svd_r10,measured,0.4251605351765951,0.4237525304158528,0.4277738571166992,0.0394854098558425,0.9992201924324036,8,49152,0,0.0440254106092582,ok
