rows,scope,on_demand_ms,cached_ms,cached_speedup
512,measured,0.4410261472066243,0.421180788675944,1.0471183849412213
512,lower_bound,0.3099007924397786,0.2938677469889323,1.0545587109001455
2048,measured,0.4441439946492513,0.4251605351765951,1.0446500977913467
2048,lower_bound,0.31168425877889,0.298311456044515,1.0448283244354502
7800,measured,0.6762442906697591,0.6755552291870117,1.0010199928192054
7800,lower_bound,0.4596938769022624,0.4570645332336426,1.0057526749013268
32760,measured,2.6866495768229166,2.675614929199219,1.0041241538546057
32760,lower_bound,1.8867679595947269,1.8841835021972655,1.0013716590737831
