instant_frames,capacity,long_term_capacity,layer,delay,method,mean_cosine,cosine_std,coverage,cosine_gain_vs_recent,run_count
1,64,48,0,0,instant_adaptive,1.0,0.0,1.0,0.0,30
1,64,48,0,1,instant_adaptive,0.9864829665359426,0.020816878829373237,0.9765277777777778,-0.013517033464057415,30
1,64,48,0,2,instant_adaptive,0.9761732834773952,0.03304746593988966,0.9409226190476191,-0.02382671652260482,30
1,64,48,0,4,instant_adaptive,0.960114350217665,0.04501765254871777,0.8671875,0.06142742855113581,30
1,64,48,0,8,instant_adaptive,0.9377162112943986,0.05819863312393764,0.75390625,0.14668132434674475,30
1,64,48,0,0,instant_oja,1.0,0.0,1.0,0.0,30
1,64,48,0,1,instant_oja,0.9482826974763494,0.06009676097389688,0.8020833333333334,-0.05171730252365059,30
1,64,48,0,2,instant_oja,0.9428603728353946,0.06051030791092535,0.7703869047619047,-0.05713962716460541,30
1,64,48,0,4,instant_oja,0.9399820858037132,0.06043816683524152,0.7618055555555555,0.04129516413718404,30
1,64,48,0,8,instant_oja,0.9457034661057653,0.05398711922940946,0.7864583333333334,0.15466857915811139,30
1,64,48,15,0,instant_adaptive,1.0,0.0,1.0,0.0,30
1,64,48,15,1,instant_adaptive,0.9834911459654883,0.024009703855618222,0.9701388888888889,-0.016508854034511744,30
1,64,48,15,2,instant_adaptive,0.9721395343277436,0.03638974973620464,0.9366071428571429,-0.027860465672256418,30
1,64,48,15,4,instant_adaptive,0.9536999169021972,0.049330805692816754,0.8510416666666667,0.07077907324216204,30
1,64,48,15,8,instant_adaptive,0.9332260080422353,0.06407173532729664,0.7690104166666667,0.18371260160383562,30
1,64,48,15,0,instant_oja,1.0,1.0134903240813529e-17,1.0,0.0,30
1,64,48,15,1,instant_oja,0.92003262333841,0.08737331153799018,0.7261111111111112,-0.07996737666159004,30
1,64,48,15,2,instant_oja,0.9020139919908476,0.10232061213958994,0.6665178571428572,-0.09798600800915236,30
1,64,48,15,4,instant_oja,0.8865069524616984,0.11401363492672263,0.6192708333333333,0.0035861088016632126,30
1,64,48,15,8,instant_oja,0.8873441315656202,0.11747404307922031,0.6325520833333333,0.1378307251272205,30
1,64,48,22,0,instant_adaptive,1.0,0.0,1.0,0.0,30
