layer,endpoint,scheduler_index,timestep,method,velocity_relative_l2,velocity_mean_relative_l2,velocity_p95_relative_l2,activation_relative_l2,rank8_energy,coefficient_r2
0,0,11,88,raw_reuse,0.5797811886978019,0.5555441379547119,0.8522782891988754,0.548871715600371,0.9441508655813555,nan
0,0,11,88,shift_reuse,0.5579622412921185,0.5364335179328918,0.8642044216394423,0.5405224230692318,0.9441508655813555,nan
0,0,11,88,shift_local_r2,0.290438012702519,0.2661413848400116,0.5269907772541046,0.39942496596883476,0.9441508655813555,nan
0,0,11,88,shift_rank8_oracle,0.02546494425031322,0.02213040180504322,0.04748238362371921,0.12773853711963445,0.9441508655813555,nan
0,0,11,88,state_skip1,0.02561017757967182,0.022308344021439552,0.04725019503384829,0.12775112353955154,0.9441508655813555,0.9999875742866233
0,0,11,88,state_skip2,0.025871017519831917,0.02263568341732025,0.04726959783583879,0.12779085070860577,0.9441508655813555,0.9999483748118138
0,0,11,88,state_skip4,0.026450407911679102,0.023329392075538635,0.04688154198229313,0.12795256092237212,0.9441508655813555,0.9997886215647266
0,0,11,88,state_noise_skip1,0.02566190743506068,0.022372031584382057,0.047252253815531726,0.12775130119803027,0.9441508655813555,0.9999873969007113
0,0,11,88,state_noise_skip2,0.025982508449409063,0.022770853713154793,0.04729514922946691,0.1277922173122884,0.9441508655813555,0.9999470141812548
0,0,11,88,state_noise_skip4,0.02670319661867485,0.023635635152459145,0.0468343136832118,0.12796078787654158,0.9441508655813555,0.9997804801583451
1,0,11,88,raw_reuse,0.04809049057697352,0.04740336909890175,0.07250272445380687,0.4511300815895219,0.8045810225391777,nan
1,0,11,88,shift_reuse,0.036407709119981674,0.03456650674343109,0.06409966684877873,0.45351152747359197,0.8045810225391777,nan
1,0,11,88,shift_local_r2,0.017087882683390447,0.015964174643158913,0.030925270821899175,0.29982028182375386,0.8045810225391777,nan
1,0,11,88,shift_rank8_oracle,0.0060460357904004195,0.005570015404373407,0.00909279459156096,0.2004802978111848,0.8045810225391777,nan
1,0,11,88,state_skip1,0.006034522072103464,0.005566501524299383,0.009142067469656467,0.20049943507697185,0.8045810225391777,0.9999402335071377
1,0,11,88,state_skip2,0.006042352237509745,0.005579298362135887,0.009244551649317145,0.2005724964017399,0.8045810225391777,0.9997117860129364
1,0,11,88,state_skip4,0.0060808312187002585,0.005624640267342329,0.009469137620180845,0.2009708006542804,0.8045810225391777,0.9984650952643481
1,0,11,88,state_noise_skip1,0.00603323660402875,0.005563059356063604,0.009137890255078673,0.20050047686895553,0.8045810225391777,0.9999369633648935
1,0,11,88,state_noise_skip2,0.006039540219237314,0.005572097841650248,0.009236220503225923,0.20057636915020094,0.8045810225391777,0.9996996657842954
