endpoint,scheduler_index,timestep,method,activation_relative_l2,velocity_relative_l2,velocity_p95_relative_l2,coefficient_r2
0,11,88,raw_reuse,0.28486596184975693,0.08861584005471235,0.13175826109945774,nan
0,11,88,shift_reuse,0.34212038586082205,0.0877590124694343,0.13880359973991288,nan
0,11,88,shift_local_r2,0.23667613414167504,0.04567038944786282,0.08276675453525968,nan
0,11,88,shift_rank8_oracle,0.11343248521011465,0.00821320214176678,0.014348167509888297,nan
0,11,88,state_skip1,0.11362612009903307,0.008244680245938739,0.014355397137114779,0.9991068832394039
0,11,88,state_skip2,0.11416534984441369,0.00830244230014132,0.01444721177977044,0.9965003156060428
0,11,88,state_skip4,0.11638004019113812,0.008548229788964563,0.014696668586111628,0.9848153657849884
0,11,88,state_noise_skip1,0.11362113238813826,0.008243415417677855,0.01433656684530433,0.9991329610904303
0,11,88,state_noise_skip2,0.11415142918511109,0.008301200784066858,0.014422888564877211,0.9965713659054706
0,11,88,state_noise_skip4,0.11639654154036905,0.008555933357826773,0.014681180022307672,0.9846918929957869
1,22,77,raw_reuse,0.28881832404121854,0.08883556815528201,0.1325760720355902,nan
1,22,77,shift_reuse,0.3522522308831809,0.08836382558704656,0.1396685387357138,nan
1,22,77,shift_local_r2,0.24832351842839845,0.04705000372654791,0.08672329224646091,nan
1,22,77,shift_rank8_oracle,0.13317110234451876,0.00927906351269734,0.016503361385548483,nan
1,22,77,state_skip1,0.1332417377320866,0.009304358908721697,0.01648013027734123,0.9995898766243265
1,22,77,state_skip2,0.1334705933136202,0.00935170345002102,0.016459554008906703,0.9982284196771722
1,22,77,state_skip4,0.1344315281506441,0.009473508686315746,0.016270147915929553,0.9923174216056602
1,22,77,state_noise_skip1,0.13323791007199776,0.009312837473822728,0.016522876376984637,0.9996161132713411
1,22,77,state_noise_skip2,0.13345238922713956,0.00936677516981837,0.0165710501227295,0.9983559780937454
1,22,77,state_noise_skip4,0.134359724979704,0.009496190858746442,0.016471409299992953,0.992855557194284
