split,sample_id,cell,layer,sampling_step,method,density,head,tile_index,query_start,family,generators,oracle_access,residual_sq,reference_sq,output_relative_l2,critical_output_relative_l2,adaptive_output_relative_l2,subspace_overlap,selected_attention_mass_mean,dynamic_scalars,dynamic_scalar_ratio_to_rank_basis,rotation_macs,tail_macs,dense_attention_macs,extra_work_ratio,record_quality_gate
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.25,0,0,0,frozen,0,source_only,0.28703557156913445,388.6896057128906,0.027174802539712332,0.17646869188574194,0.0010206466646310497,0.7329876980829286,0.663489043712616,0,0.0,0,262144,536739840,0.0004884004884004884,False
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.25,0,0,0,adaptive,0,heldout_defect_posthoc,0.0004049047191476752,388.6896057128906,0.00102064557204428,0.17646869188574194,0.0010206466646310497,1.0,0.663489043712616,2048,1.0,524288,262144,536739840,0.0014652014652014652,True
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.25,0,0,0,full_procrustes,128,heldout_defect_posthoc,0.0004049047191476752,388.6896057128906,0.00102064557204428,0.17646869188574194,0.0010206466646310497,1.0,0.663489043712616,2048,1.0,524288,262144,536739840,0.0014652014652014652,True
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.25,0,1,16320,frozen,0,source_only,0.47584012471793463,344.428466796875,0.037169011484312946,0.22356461079704867,0.0012622401886348653,0.7316007391841376,0.5537364482879639,0,0.0,0,262144,536739840,0.0004884004884004884,False
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.25,0,1,16320,adaptive,0,heldout_defect_posthoc,0.000548759635896011,344.428466796875,0.0012622389005155583,0.22356461079704867,0.0012622401886348653,1.0,0.5537364482879639,2048,1.0,524288,262144,536739840,0.0014652014652014652,True
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.25,0,1,16320,full_procrustes,128,heldout_defect_posthoc,0.000548759635896011,344.428466796875,0.0012622389005155583,0.22356461079704867,0.0012622401886348653,1.0,0.5537364482879639,2048,1.0,524288,262144,536739840,0.0014652014652014652,True
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.25,0,2,32640,frozen,0,source_only,0.5914618697356011,536.2006225585938,0.033212358641538944,0.13407958098495018,0.0010995239082382297,0.7256384402819237,0.6264646053314209,0,0.0,0,262144,536739840,0.0004884004884004884,False
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.25,0,2,32640,adaptive,0,heldout_defect_posthoc,0.0006482405538800271,536.2006225585938,0.00109952331168425,0.13407958098495018,0.0010995239082382297,1.0000000000000002,0.6264646053314209,2048,1.0,524288,262144,536739840,0.0014652014652014652,True
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.25,0,2,32640,full_procrustes,128,heldout_defect_posthoc,0.0006482405538800271,536.2006225585938,0.00109952331168425,0.13407958098495018,0.0010995239082382297,1.0000000000000002,0.6264646053314209,2048,1.0,524288,262144,536739840,0.0014652014652014652,True
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.25,1,0,0,frozen,0,source_only,0.23042057842231967,2353.151611328125,0.009895452914015328,0.021845710456908612,0.002302200417930722,0.6242964614989206,0.9558866024017334,0,0.0,0,262144,536739840,0.0004884004884004884,True
