stage,step,sample_id,tile_index,post_rank_objective,learning_rate,loss,objective_loss,raw_output_loss,partition_loss,gradient_norm,kernel_scale_min,kernel_scale_max,best_full_training_objective
calibration_frozen_proxy_support,1,s00_p00_seed20260740,0,0,0.002,0.05475326627492905,0.05460646003484726,0.05460646003484726,0.14680497348308563,0.048637960106134415,0.9980019927024841,1.0020020008087158,0.02814965695142746
calibration_frozen_proxy_support,50,s00_p00_seed20260740,1,0,0.002,0.0193388182669878,0.0192638598382473,0.0192638598382473,0.07495822757482529,0.0010449698893353343,0.9647480249404907,1.0988807678222656,0.015533503144979477
calibration_frozen_proxy_support,100,s01_p01_seed20260740,0,0,0.002,0.017512647435069084,0.017465081065893173,0.017465081065893173,0.047566067427396774,0.0006194664165377617,0.9617815613746643,1.2501150369644165,0.013974825851619244
calibration_frozen_proxy_support,150,s01_p01_seed20260740,2,0,0.002,0.0053974324837327,0.005389267113059759,0.005389267113059759,0.008165593259036541,0.0007807304500602186,0.9614203572273254,1.3371905088424683,0.012924714013934135
calibration_frozen_proxy_support,200,s00_p00_seed20260740,1,0,0.002,0.01623154804110527,0.016169004142284393,0.016169004142284393,0.06254413723945618,0.0005074160872027278,0.9605554938316345,1.3826476335525513,0.01245254185050726
calibration_frozen_proxy_support,250,s01_p01_seed20260740,0,0,0.002,0.015523242764174938,0.015480369329452515,0.015480369329452515,0.04287341237068176,0.0004112148308195174,0.9596507549285889,1.4254885911941528,0.012081131339073181
calibration_frozen_proxy_support,300,s01_p01_seed20260740,2,0,0.002,0.004819860681891441,0.004812977742403746,0.004812977742403746,0.006882846355438232,0.0004018217441625893,0.95880126953125,1.4654836654663086,0.011697478592395782
calibration_frozen_trajectory_support,1,s00_p00_seed20260740,0,16,0.0002,0.00041197327664121985,0.0003646407276391983,0.010867765173316002,0.047332555055618286,4.746296690427698e-05,0.9586104154586792,1.4657758474349976,0.00040733604691922665
calibration_frozen_trajectory_support,50,s00_p00_seed20260740,1,16,0.0002,0.0004997930955141783,0.00044293710379861295,0.015285549685359001,0.05685599893331528,2.977375334012322e-05,0.9594212770462036,1.473833680152893,0.0003998400061391294
calibration_frozen_trajectory_support,100,s01_p01_seed20260740,0,16,0.0002,0.00039155708509497344,0.00035330140963196754,0.015306994318962097,0.03825568035244942,3.4755976230371743e-05,0.9599577784538269,1.4832066297531128,0.0003939351299777627
calibration_frozen_trajectory_support,150,s01_p01_seed20260740,2,16,0.0002,0.00012011788930976763,0.00011427387653384358,0.0048575024120509624,0.0058440095745027065,8.365160283574369e-06,0.9605644941329956,1.4934645891189575,0.0003884080215357244
transductive_capacity_proxy_support,1,s00_p00_seed20260740,0,0,0.002,0.04732329398393631,0.04719185829162598,0.04719185829162598,0.13143390417099,0.04495055228471756,0.9980019927024841,1.0020020008087158,0.02653813734650612
transductive_capacity_proxy_support,50,s00_p00_seed20260740,1,0,0.002,0.019658297300338745,0.01958427019417286,0.01958427019417286,0.07402743399143219,0.001128793810494244,0.9653733372688293,1.0856620073318481,0.015050499700009823
transductive_capacity_proxy_support,100,s01_p01_seed20260740,0,0,0.002,0.01808556169271469,0.018037879839539528,0.018037879839539528,0.04768195375800133,0.000829129945486784,0.9625421762466431,1.1878373622894287,0.013732160441577435
transductive_capacity_proxy_support,150,s01_p01_seed20260740,2,0,0.002,0.005513124633580446,0.005504738539457321,0.005504738539457321,0.008386228233575821,0.0009117737645283341,0.9620739817619324,1.3269273042678833,0.012852182611823082
transductive_capacity_proxy_support,200,s02_p00_seed20260741,1,0,0.002,0.013347461819648743,0.01327938586473465,0.01327938586473465,0.06807635724544525,0.0010769190266728401,0.9615176916122437,1.4090913534164429,0.012325863353908062
transductive_capacity_proxy_support,250,s03_p01_seed20260741,0,0,0.002,0.010098826140165329,0.010054010897874832,0.010054010897874832,0.0448150597512722,0.0008249158854596317,0.960258424282074,1.4507611989974976,0.011976562440395355
transductive_capacity_proxy_support,300,s03_p01_seed20260741,2,0,0.002,0.008961494080722332,0.008954229764640331,0.008954229764640331,0.007264373358339071,0.0006629324634559453,0.9593034982681274,1.4880378246307373,0.011611014604568481
transductive_capacity_trajectory_support,1,s00_p00_seed20260740,0,16,0.0002,0.00041400897316634655,0.0003650129947345704,0.01148928515613079,0.0489959642291069,4.5624376070918515e-05,0.9591125845909119,1.488334059715271,0.00041656880057416856
transductive_capacity_trajectory_support,50,s00_p00_seed20260740,1,16,0.0002,0.000510507554281503,0.00045277399476617575,0.015897704288363457,0.05773356556892395,3.8825168303446844e-05,0.9602639079093933,1.490405559539795,0.00041038281051442027
transductive_capacity_trajectory_support,100,s01_p01_seed20260740,0,16,0.0002,0.00039562996244058013,0.0003568657557480037,0.016156986355781555,0.038764193654060364,3.551687768776901e-05,0.9614047408103943,1.4933000802993774,0.00040599703788757324
transductive_capacity_trajectory_support,150,s01_p01_seed20260740,2,16,0.0002,0.0001230266789207235,0.00011687483493005857,0.004993187263607979,0.006151841953396797,8.864219125825912e-06,0.9625968337059021,1.49674391746521,0.0004020111809950322
