sample_id,sample_position,layer_index,topology,method,quantization,dense_state_bytes_per_head,state_bytes_per_head,state_byte_ratio,attention_arithmetic_ratio,visual_relative_l2,visual_worst_head_relative_l2,full_relative_l2,member_key_relative_l2,member_value_relative_l2
vsi_question_3132,73,0,flat_contiguous_4,centroid,fp32,802816,401408,2.0,4.0,0.24845227599143982,0.7537298798561096,0.03551695495843887,0.01919700764119625,0.5651994347572327
vsi_question_3132,73,0,flat_contiguous_4,centroid,symmetric_int8,802816,101920,7.876923076923077,4.0,0.27847978472709656,1.0041877031326294,0.038896072655916214,0.02202458493411541,0.5654014348983765
vsi_question_3132,73,0,flat_contiguous_4,key_secant,fp32,802816,805952,0.9961089494163424,2.0,0.08805038779973984,0.2248760163784027,0.015232983976602554,0.010503658093512058,0.4214083254337311
vsi_question_3132,73,0,flat_contiguous_4,key_secant,symmetric_int8,802816,206976,3.878787878787879,2.0,0.16138707101345062,0.7691162824630737,0.025305623188614845,0.015065048821270466,0.42168933153152466
vsi_question_3132,73,0,flat_contiguous_4,joint_secant,fp32,802816,805952,0.9961089494163424,2.0,0.13049085438251495,0.3051186800003052,0.013126205652952194,0.011059422045946121,0.3883856534957886
vsi_question_3132,73,0,flat_contiguous_4,joint_secant,symmetric_int8,802816,206976,3.878787878787879,2.0,0.2255471795797348,0.776395320892334,0.024084316566586494,0.01545749232172966,0.3886938989162445
vsi_question_3132,73,0,flat_contiguous_4,independent_secant,fp32,802816,809088,0.9922480620155039,2.0,0.09416314959526062,0.2800818383693695,0.01572243683040142,0.010503658093512058,0.3645455837249756
vsi_question_3132,73,0,flat_contiguous_4,independent_secant,symmetric_int8,802816,210112,3.8208955223880596,2.0,0.16665302217006683,0.7808043956756592,0.025695547461509705,0.015065048821270466,0.3648758828639984
vsi_question_3132,73,13,flat_contiguous_4,centroid,fp32,802816,401408,2.0,4.0,0.6908621788024902,0.8693663477897644,0.04534698650240898,0.30588117241859436,0.750637412071228
vsi_question_3132,73,13,flat_contiguous_4,centroid,symmetric_int8,802816,101920,7.876923076923077,4.0,0.6897972226142883,0.8673790097236633,0.04532898962497711,0.3063463568687439,0.7506542801856995
vsi_question_3132,73,13,flat_contiguous_4,key_secant,fp32,802816,805952,0.9961089494163424,2.0,0.2498939484357834,0.3862457871437073,0.01873963512480259,0.20545759797096252,0.5427930951118469
vsi_question_3132,73,13,flat_contiguous_4,key_secant,symmetric_int8,802816,206976,3.878787878787879,2.0,0.2512730360031128,0.3934386670589447,0.01841331273317337,0.2061607986688614,0.5428293943405151
vsi_question_3132,73,13,flat_contiguous_4,joint_secant,fp32,802816,805952,0.9961089494163424,2.0,0.26825788617134094,0.42444828152656555,0.024060344323515892,0.20853358507156372,0.5233094692230225
vsi_question_3132,73,13,flat_contiguous_4,joint_secant,symmetric_int8,802816,206976,3.878787878787879,2.0,0.269110769033432,0.4342459738254547,0.023784736171364784,0.2092258185148239,0.5233479738235474
vsi_question_3132,73,13,flat_contiguous_4,independent_secant,fp32,802816,809088,0.9922480620155039,2.0,0.3280576765537262,0.4235256612300873,0.022803794592618942,0.20545759797096252,0.5148736834526062
vsi_question_3132,73,13,flat_contiguous_4,independent_secant,symmetric_int8,802816,210112,3.8208955223880596,2.0,0.3292900621891022,0.42253315448760986,0.02256210707128048,0.2061607986688614,0.5149132013320923
vsi_question_3132,73,27,flat_contiguous_4,centroid,fp32,802816,401408,2.0,4.0,0.6903612613677979,0.9261997938156128,0.10223448276519775,0.01972704567015171,0.8224390149116516
vsi_question_3132,73,27,flat_contiguous_4,centroid,symmetric_int8,802816,101920,7.876923076923077,4.0,0.6940679550170898,0.9179065823554993,0.10241404175758362,0.022954002022743225,0.82244873046875
vsi_question_3132,73,27,flat_contiguous_4,key_secant,fp32,802816,805952,0.9961089494163424,2.0,0.29275602102279663,0.6852788329124451,0.05756644532084465,0.013275602832436562,0.62413090467453
vsi_question_3132,73,27,flat_contiguous_4,key_secant,symmetric_int8,802816,206976,3.878787878787879,2.0,0.33798304200172424,1.0871652364730835,0.05802982673048973,0.017719794064760208,0.6241536140441895
vsi_question_3132,73,27,flat_contiguous_4,joint_secant,fp32,802816,805952,0.9961089494163424,2.0,0.29885345697402954,0.6532683372497559,0.05326780304312706,0.013677095994353294,0.5812870264053345
vsi_question_3132,73,27,flat_contiguous_4,joint_secant,symmetric_int8,802816,206976,3.878787878787879,2.0,0.3095828890800476,0.5904512405395508,0.053910672664642334,0.018022511154413223,0.58131343126297
vsi_question_3132,73,27,flat_contiguous_4,independent_secant,fp32,802816,809088,0.9922480620155039,2.0,0.3922044038772583,0.6561698317527771,0.06327684223651886,0.013275602832436562,0.5631699562072754
vsi_question_3132,73,27,flat_contiguous_4,independent_secant,symmetric_int8,802816,210112,3.8208955223880596,2.0,0.41632720828056335,0.8954557180404663,0.06382085382938385,0.017719794064760208,0.5631980895996094
vsi_question_3132,73,0,spatial_2x2,centroid,fp32,802816,401408,2.0,4.0,0.20963142812252045,0.4597929120063782,0.031596340239048004,0.02142929658293724,0.5393311977386475
vsi_question_3132,73,0,spatial_2x2,centroid,symmetric_int8,802816,101920,7.876923076923077,4.0,0.22709687054157257,0.46961721777915955,0.0371902734041214,0.023943008854985237,0.5395423173904419
vsi_question_3132,73,0,spatial_2x2,key_secant,fp32,802816,805952,0.9961089494163424,2.0,0.1085379496216774,0.2348746806383133,0.01705055497586727,0.011353055015206337,0.4291272759437561
vsi_question_3132,73,0,spatial_2x2,key_secant,symmetric_int8,802816,206976,3.878787878787879,2.0,0.181990846991539,0.39135822653770447,0.02621610276401043,0.015588401816785336,0.429399698972702
vsi_question_3132,73,0,spatial_2x2,joint_secant,fp32,802816,805952,0.9961089494163424,2.0,0.2246546596288681,0.5662633776664734,0.01304607093334198,0.01229163259267807,0.3878016173839569
vsi_question_3132,73,0,spatial_2x2,joint_secant,symmetric_int8,802816,206976,3.878787878787879,2.0,0.1878199726343155,0.43716537952423096,0.023562051355838776,0.016284536570310593,0.38810691237449646
vsi_question_3132,73,0,spatial_2x2,independent_secant,fp32,802816,809088,0.9922480620155039,2.0,0.11489301919937134,0.2628961205482483,0.01776905730366707,0.011353055015206337,0.34827691316604614
vsi_question_3132,73,0,spatial_2x2,independent_secant,symmetric_int8,802816,210112,3.8208955223880596,2.0,0.19611327350139618,0.4276953935623169,0.02703479491174221,0.015588401816785336,0.34861981868743896
vsi_question_3132,73,13,spatial_2x2,centroid,fp32,802816,401408,2.0,4.0,0.6275526881217957,0.7681569457054138,0.04488544911146164,0.31255653500556946,0.7239046096801758
vsi_question_3132,73,13,spatial_2x2,centroid,symmetric_int8,802816,101920,7.876923076923077,4.0,0.6225064396858215,0.7574743628501892,0.044879864901304245,0.31301116943359375,0.7239238023757935
vsi_question_3132,73,13,spatial_2x2,key_secant,fp32,802816,805952,0.9961089494163424,2.0,0.2634841203689575,0.39896753430366516,0.021394070237874985,0.2071308046579361,0.5261487364768982
vsi_question_3132,73,13,spatial_2x2,key_secant,symmetric_int8,802816,206976,3.878787878787879,2.0,0.26227816939353943,0.391839861869812,0.021563353016972542,0.20782716572284698,0.5261871218681335
vsi_question_3132,73,13,spatial_2x2,joint_secant,fp32,802816,805952,0.9961089494163424,2.0,0.28950369358062744,0.4411002993583679,0.02379719167947769,0.21175849437713623,0.49986428022384644
vsi_question_3132,73,13,spatial_2x2,joint_secant,symmetric_int8,802816,206976,3.878787878787879,2.0,0.28924691677093506,0.4373658001422882,0.024004878476262093,0.21243903040885925,0.49990612268447876
vsi_question_3132,73,13,spatial_2x2,independent_secant,fp32,802816,809088,0.9922480620155039,2.0,0.31872278451919556,0.45242562890052795,0.023390566930174828,0.2071308046579361,0.48875218629837036
vsi_question_3132,73,13,spatial_2x2,independent_secant,symmetric_int8,802816,210112,3.8208955223880596,2.0,0.318210631608963,0.45164939761161804,0.02356303483247757,0.20782716572284698,0.48879554867744446
vsi_question_3132,73,27,spatial_2x2,centroid,fp32,802816,401408,2.0,4.0,0.6514130234718323,0.9235525727272034,0.09988176077604294,0.019777001813054085,0.7980374693870544
vsi_question_3132,73,27,spatial_2x2,centroid,symmetric_int8,802816,101920,7.876923076923077,4.0,0.723821759223938,0.9898577928543091,0.09996607154607773,0.022881822660565376,0.7980482578277588
