model_variant,split,route,rank,records,content_output_relative_l2,post_adaptive_rank16_output_relative_l2,post_adaptive_rank16_worst_record_relative_l2,post_adaptive_rank16_p95_record_relative_l2,post_adaptive_rank16_worst_tile_relative_l2,rank_required_for_1pct_record_gate_mean,rank_required_for_1pct_record_gate_max,oracle_aggregate_gate,oracle_worst_gate
calibration_frozen,calibration,oracle_trajectory_width_family,64,24,0.07442029254135485,0.016432112930264586,0.03530891223994792,0.03166511433798415,0.03324604123540903,24.583333333333332,56,False,False
calibration_frozen,calibration,oracle_trajectory_width_fixed64,64,24,0.09149467912861901,0.02615493002412252,0.053406646816047565,0.0498010557854721,0.04441597205256435,38.083333333333336,73,False,False
calibration_frozen,calibration,oracle_trajectory_width_semantic64,64,24,0.0689798922729521,0.017810985619240324,0.037366777922742025,0.0311119733669782,0.03324604123540903,26.583333333333332,56,False,False
calibration_frozen,calibration,oracle_trajectory_width_value64,64,24,0.06456744260828438,0.018036710640441787,0.03793564505077993,0.03275430866399552,0.0360298222227532,27.333333333333332,57,False,False
calibration_frozen,calibration,proxy_fixed64_qk,64,24,0.09149467912861901,0.02615493002412252,0.053406646816047565,0.0498010557854721,0.04441597205256435,38.083333333333336,73,False,False
calibration_frozen,calibration,proxy_svg2_style_semantic64,64,24,0.0689798922729521,0.017810985619240324,0.037366777922742025,0.0311119733669782,0.03324604123540903,26.583333333333332,56,False,False
calibration_frozen,calibration,proxy_value_aware_semantic64,64,24,0.06456744260828438,0.018036710640441787,0.03793564505077993,0.03275430866399552,0.0360298222227532,27.333333333333332,57,False,False
calibration_frozen,test,oracle_trajectory_width_family,64,12,0.09896550710444288,0.02079002592368323,0.03407207677368895,0.03407207677368895,0.03233793764407113,32.583333333333336,54,False,False
calibration_frozen,test,oracle_trajectory_width_fixed64,64,12,0.09395429882830747,0.02966121873157888,0.05331976824438529,0.05331976824438529,0.04029120900417578,46.666666666666664,66,False,False
calibration_frozen,test,oracle_trajectory_width_semantic64,64,12,0.10979121691262372,0.02161871488554385,0.03364723116663189,0.03364723116663189,0.032469783438040994,32.666666666666664,52,False,False
calibration_frozen,test,oracle_trajectory_width_value64,64,12,0.10012939525990719,0.023161052603205504,0.03746385880900945,0.03746385880900945,0.03631635591523004,34.583333333333336,57,False,False
calibration_frozen,test,proxy_fixed64_qk,64,12,0.09395429882830747,0.02966121873157888,0.05331976824438529,0.05331976824438529,0.04029120900417578,46.666666666666664,66,False,False
calibration_frozen,test,proxy_svg2_style_semantic64,64,12,0.10979121691262372,0.02161871488554385,0.03364723116663189,0.03364723116663189,0.032469783438040994,32.666666666666664,52,False,False
calibration_frozen,test,proxy_value_aware_semantic64,64,12,0.10012939525990719,0.023161052603205504,0.03746385880900945,0.03746385880900945,0.03631635591523004,34.583333333333336,57,False,False
calibration_frozen,validation,oracle_trajectory_width_family,64,12,0.0867299545083565,0.02083910420327692,0.040579762620971974,0.040579762620971974,0.035191642092827005,30.166666666666668,61,False,False
calibration_frozen,validation,oracle_trajectory_width_fixed64,64,12,0.09450737312540534,0.02680838996460389,0.05682184727844209,0.05682184727844209,0.04195386066008233,41.5,69,False,False
calibration_frozen,validation,oracle_trajectory_width_semantic64,64,12,0.12798040893643547,0.02777197404526452,0.05575872852917026,0.05575872852917026,0.054356754651475755,33.083333333333336,65,False,False
calibration_frozen,validation,oracle_trajectory_width_value64,64,12,0.10418277797327163,0.025990269558695506,0.05368115711043407,0.05368115711043407,0.05318056335337309,33.083333333333336,67,False,False
calibration_frozen,validation,proxy_fixed64_qk,64,12,0.09450737312540534,0.02680838996460389,0.05682184727844209,0.05682184727844209,0.04195386066008233,41.5,69,False,False
calibration_frozen,validation,proxy_svg2_style_semantic64,64,12,0.12798040893643547,0.02777197404526452,0.05575872852917026,0.05575872852917026,0.054356754651475755,33.083333333333336,65,False,False
calibration_frozen,validation,proxy_value_aware_semantic64,64,12,0.10418277797327163,0.025990269558695506,0.05368115711043407,0.05368115711043407,0.05318056335337309,33.083333333333336,67,False,False
transductive_capacity,transductive_fit,oracle_trajectory_width_family,64,48,0.08399113142369846,0.018505247721152907,0.03828087425918443,0.03474466919037615,0.03384895157078648,28.0,59,False,False
transductive_capacity,transductive_fit,oracle_trajectory_width_fixed64,64,48,0.0925077020215566,0.02703400917441729,0.05612462995072341,0.051711981579315246,0.046316027457199524,40.770833333333336,74,False,False
transductive_capacity,transductive_fit,oracle_trajectory_width_semantic64,64,48,0.09462594214734382,0.02110020070911679,0.054573969871795996,0.035519034441969265,0.054329361080233944,29.5625,64,False,False
transductive_capacity,transductive_fit,oracle_trajectory_width_value64,64,48,0.08307468703746673,0.02109381937675143,0.052787664461432994,0.03673766458794877,0.05292003111683835,30.25,66,False,False
transductive_capacity,transductive_fit,proxy_fixed64_qk,64,48,0.0925077020215566,0.02703400917441729,0.05612462995072341,0.051711981579315246,0.046316027457199524,40.770833333333336,74,False,False
transductive_capacity,transductive_fit,proxy_svg2_style_semantic64,64,48,0.09462594214734382,0.02110020070911679,0.054573969871795996,0.035519034441969265,0.054329361080233944,29.5625,64,False,False
transductive_capacity,transductive_fit,proxy_value_aware_semantic64,64,48,0.08307468703746673,0.02109381937675143,0.052787664461432994,0.03673766458794877,0.05292003111683835,30.25,66,False,False
