stage,step,sample_id,tile_index,post_rank_objective,learning_rate,loss,objective_loss,raw_output_loss,partition_loss,gradient_norm,kernel_scale_min,kernel_scale_max,best_full_training_objective
calibration_frozen_proxy_support,1,s00_p00_seed20260740,0,0,0.002,0.05723119527101517,0.057076092809438705,0.057076092809438705,0.155103862285614,0.04022496938705444,0.9980019927024841,1.0020020008087158,0.029235562309622765
calibration_frozen_proxy_support,50,s00_p00_seed20260740,1,0,0.002,0.019294017925858498,0.019218504428863525,0.019218504428863525,0.0755138099193573,0.0007469216361641884,0.9626597166061401,1.1017873287200928,0.015533032827079296
calibration_frozen_proxy_support,100,s01_p01_seed20260740,0,0,0.002,0.017515262588858604,0.017467563971877098,0.017467563971877098,0.047697704285383224,0.0004889933043159544,0.9594640135765076,1.2594372034072876,0.01395909022539854
calibration_frozen_proxy_support,150,s01_p01_seed20260740,2,0,0.002,0.005409713834524155,0.005401588976383209,0.005401588976383209,0.00812499225139618,0.0007100031361915171,0.959046483039856,1.3719545602798462,0.01292616780847311
calibration_frozen_proxy_support,200,s00_p00_seed20260740,1,0,0.002,0.016220567747950554,0.01615823619067669,0.01615823619067669,0.062331415712833405,0.0005135583924129605,0.9588925838470459,1.4219146966934204,0.012440653517842293
calibration_frozen_proxy_support,250,s01_p01_seed20260740,0,0,0.002,0.015530011616647243,0.015487028285861015,0.015487028285861015,0.04298337921500206,0.00032039187499321997,0.9576166272163391,1.4686214923858643,0.01205430831760168
calibration_frozen_proxy_support,300,s01_p01_seed20260740,2,0,0.002,0.004816596861928701,0.004809705540537834,0.004809705540537834,0.006891245022416115,0.00036203014315105975,0.9563188552856445,1.511987566947937,0.011660100892186165
calibration_frozen_trajectory_support,1,s00_p00_seed20260740,0,16,0.0002,0.000412381807109341,0.0003651278675533831,0.0108578409999609,0.04725394770503044,4.1041574149858207e-05,0.9561284780502319,1.512289047241211,0.0004065401735715568
calibration_frozen_trajectory_support,50,s00_p00_seed20260740,1,16,0.0002,0.0005000050878152251,0.000443226977949962,0.015179276466369629,0.05677812546491623,2.5960247512557544e-05,0.9573280811309814,1.5202219486236572,0.00039973302045837045
calibration_frozen_trajectory_support,100,s01_p01_seed20260740,0,16,0.0002,0.0003933846019208431,0.00035438500344753265,0.01524827629327774,0.038999609649181366,3.1363593734567985e-05,0.9578454494476318,1.5293269157409668,0.0003943702613469213
calibration_frozen_trajectory_support,150,s01_p01_seed20260740,2,16,0.0002,0.00012035246618324891,0.00011442728282418102,0.0048486036248505116,0.005925183650106192,8.062267625064123e-06,0.9582697749137878,1.5392124652862549,0.0003890704538207501
transductive_capacity_proxy_support,1,s00_p00_seed20260740,0,0,0.002,0.05652870237827301,0.056374989449977875,0.056374989449977875,0.15371231734752655,0.04047458618879318,0.9980019927024841,1.0020020008087158,0.02892780862748623
transductive_capacity_proxy_support,50,s00_p00_seed20260740,1,0,0.002,0.019609710201621056,0.019536036998033524,0.019536036998033524,0.07367243617773056,0.0009576238226145506,0.9616166949272156,1.086653709411621,0.015093319118022919
transductive_capacity_proxy_support,100,s01_p01_seed20260740,0,0,0.002,0.01816125586628914,0.01811332069337368,0.01811332069337368,0.047935109585523605,0.0006504913326352835,0.9579718708992004,1.1924399137496948,0.01371808536350727
transductive_capacity_proxy_support,150,s01_p01_seed20260740,2,0,0.002,0.005500384606420994,0.005491960793733597,0.005491960793733597,0.00842362828552723,0.0008764325175434351,0.9571513533592224,1.3427077531814575,0.012851327657699585
transductive_capacity_proxy_support,200,s02_p00_seed20260741,1,0,0.002,0.013373695313930511,0.013305338099598885,0.013305338099598885,0.06835749745368958,0.0008576911641284823,0.9569501280784607,1.448913812637329,0.012370055541396141
transductive_capacity_proxy_support,250,s03_p01_seed20260741,0,0,0.002,0.010129832662642002,0.010084758512675762,0.010084758512675762,0.04507453367114067,0.0007458142354153097,0.9567325115203857,1.4973461627960205,0.012036951258778572
transductive_capacity_proxy_support,300,s03_p01_seed20260741,2,0,0.002,0.00901868287473917,0.009011308662593365,0.009011308662593365,0.007373903878033161,0.0004963983665220439,0.9561622142791748,1.5369384288787842,0.011687079444527626
transductive_capacity_trajectory_support,1,s00_p00_seed20260740,0,16,0.0002,0.00041707450873218477,0.00036765396362170577,0.01165095530450344,0.0494205504655838,4.1008952393895015e-05,0.9559715390205383,1.5372443199157715,0.00041763484477996826
transductive_capacity_trajectory_support,50,s00_p00_seed20260740,1,16,0.0002,0.0005145766772329807,0.00045601854799315333,0.016090406104922295,0.058558136224746704,3.251222369726747e-05,0.9589611887931824,1.5391230583190918,0.0004118026699870825
transductive_capacity_trajectory_support,100,s01_p01_seed20260740,0,16,0.0002,0.0003987779200542718,0.0003596422611735761,0.016272030770778656,0.039135660976171494,3.155612284899689e-05,0.9603745341300964,1.541687250137329,0.0004076460318174213
transductive_capacity_trajectory_support,150,s01_p01_seed20260740,2,16,0.0002,0.0001228348701260984,0.00011664960766211152,0.005006012506783009,0.006185263395309448,6.548125838889973e-06,0.9614754915237427,1.544684648513794,0.0004038654442410916
