variant,requested_density,exact_topk_recall
k_lowpass,0.015625,0.37057749430338544
k_lowpass,0.0625,0.4592336018880208
k_lowpass,0.125,0.47648874918619794
k_lowpass,0.25,0.5159403483072916
q_lowpass,0.015625,0.7391484578450521
q_lowpass,0.0625,0.8417638142903646
q_lowpass,0.125,0.8576914469401041
q_lowpass,0.25,0.8799591064453125
qk_lowpass,0.015625,0.37975311279296875
qk_lowpass,0.0625,0.4414876302083333
qk_lowpass,0.125,0.45911916097005206
qk_lowpass,0.25,0.4967193603515625
