metric,value,unit
f81_q_centered_thw_energy_density_12p5,0.919408917427063,ratio
f81_k_centered_thw_energy_density_12p5,0.9459295868873596,ratio
f81_v_centered_thw_energy_density_12p5,0.1255630254745483,ratio
f81_q_lowpass_attention_output_error_density_12p5,0.14688403842349843,ratio
f81_k_lowpass_attention_output_error_density_12p5,0.4476584618290265,ratio
f81_q_lowpass_top128_recall_density_12p5,0.8576914469401041,ratio
int4_groupwise_ffn_output_error,0.07533026603050524,ratio
spectral_r16_plus_int4_ffn_output_error,0.06890740664675828,ratio
f81_q_fft_latency_vs_fa3,0.2097157438317767,ratio
f81_q_pool2_latency_vs_fa3,0.0076244962801617,ratio
