variant,requested_density,output_relative_l2
k_lowpass,0.015625,0.5342876687645912
k_lowpass,0.0625,0.47235337396462757
k_lowpass,0.125,0.4476584618290265
k_lowpass,0.25,0.37594111760457355
q_lowpass,0.015625,0.2535062457124392
q_lowpass,0.0625,0.1685725366696715
q_lowpass,0.125,0.14688403842349843
q_lowpass,0.25,0.11562238416324055
qk_lowpass,0.015625,0.5141633227467537
qk_lowpass,0.0625,0.4744684733450413
qk_lowpass,0.125,0.4532598406076431
qk_lowpass,0.25,0.392035882299145
