method,rank,stored_bits_ratio_vs_bf16,activation_output_relative_l2
fp8_tensor,0,0.5,0.015398039540741561
int4_groupwise,0,0.2578125,0.07533026603050524
random_fp16_plus_int4,8,0.2639136904761904,0.07515321974642569
random_fp16_plus_int4,16,0.2700148809523809,0.07489274046383794
random_fp16_plus_int4,32,0.2822172619047619,0.07427870878018433
random_fp16_plus_int4,64,0.3066220238095238,0.07349312235601241
spectral_fp16_plus_int4,8,0.2639136904761904,0.07084095641039305
spectral_fp16_plus_int4,16,0.2700148809523809,0.06890740664675828
spectral_fp16_plus_int4,32,0.2822172619047619,0.06610757042653854
spectral_fp16_plus_int4,64,0.3066220238095238,0.06224679271690541
