method,denoiser_output_relative_l2,defect_residual_relative_l2,captured_defect_energy,p95_call_relative_l2,parameter_count,macs_per_sample,mac_fraction_of_denoiser
w4_plain,0.022226503774991205,0.9999999999998725,1.6209256159527285e-14,0.05081733241677284,0,0,0.0
bucket_mean,0.02107393417437279,0.9481443589919011,0.1010222745116226,0.04792239759117356,200,0,0.0
channel_affine,0.020265871573478377,0.9117885466214678,0.16864164624971312,0.047668278217315674,40,20,2.542204664965898e-07
circulant_r2,0.019243731034097135,0.8658010827482155,0.25038848511183887,0.04509919025003908,420,400,5.084409329931796e-06
toeplitz_r2,0.019043771670534032,0.8568046447304618,0.26588580076813206,0.043775608204305136,420,400,5.084409329931796e-06
reduced_rank_r4,0.020992526555072194,0.9444817218032227,0.1079542771794072,0.04742136951535929,4200,400,5.084409329931796e-06
toeplitz_r2_rank4,0.020186370373589883,0.9082117425258751,0.17515143073791684,0.04685332309454674,4620,800,1.0168818659863592e-05
dense_ridge_ceiling,0.020461143197523915,0.9205740769964801,0.15254336876187646,0.047802352532744403,16200,1600,2.0337637319727183e-05
