method,bucket,sample_count,denoiser_output_relative_l2,defect_residual_relative_l2
w4_plain,0,640,0.010698490456351748,0.9999999999992223
w4_plain,1,640,0.010162774123604763,0.9999999999991545
w4_plain,2,640,0.011826249817944924,0.9999999999992509
w4_plain,3,640,0.012220260419937458,0.999999999999274
w4_plain,4,640,0.013059979578323905,0.9999999999993191
w4_plain,5,640,0.016188046849853834,0.9999999999994446
w4_plain,6,640,0.018403467759610256,0.9999999999995133
w4_plain,7,640,0.0221238866940242,0.9999999999995904
w4_plain,8,640,0.032229598969753324,0.9999999999997109
w4_plain,9,640,0.05202535266230044,0.9999999999998087
bucket_mean,0,640,0.007755837207367752,0.724946919839054
bucket_mean,1,640,0.008853433513193688,0.8711630707822783
bucket_mean,2,640,0.009915955652591379,0.8384699079782969
bucket_mean,3,640,0.01116296519475697,0.9134801396324085
bucket_mean,4,640,0.012227091589376482,0.9362259348140083
bucket_mean,5,640,0.014997170525985511,0.926434769630327
bucket_mean,6,640,0.01753912865450261,0.9530339001102209
bucket_mean,7,640,0.020685363880989665,0.9349788455894117
bucket_mean,8,640,0.031219486917916088,0.9686588699786731
bucket_mean,9,640,0.0504228986694469,0.969198594322564
channel_affine,0,640,0.007492574383747103,0.7003393996853917
channel_affine,1,640,0.007590893659470742,0.746931257857359
channel_affine,2,640,0.008136312857963934,0.6879875686045422
channel_affine,3,640,0.010313563874387055,0.8439725112202111
channel_affine,4,640,0.010404567037064208,0.7966755977418171
channel_affine,5,640,0.012714735014360516,0.7854397218073443
channel_affine,6,640,0.015408811110668276,0.837277588763907
channel_affine,7,640,0.019591000247604684,0.8855134958220661
channel_affine,8,640,0.030395418273391105,0.9430901793692085
channel_affine,9,640,0.05053542775191565,0.9713615605824789
circulant_r2,0,640,0.006988396875560109,0.6532134042614977
circulant_r2,1,640,0.00709408692693654,0.6980463555295454
circulant_r2,2,640,0.0072642320524209545,0.6142463678882877
circulant_r2,3,640,0.008861224973214633,0.7251257067117028
circulant_r2,4,640,0.009718902397244506,0.7441743946804237
circulant_r2,5,640,0.011909935862168588,0.7357240791695331
circulant_r2,6,640,0.014852962723946941,0.8070741296125304
circulant_r2,7,640,0.01890843220361812,0.854661410317097
circulant_r2,8,640,0.029870430690942938,0.926801190389212
circulant_r2,9,640,0.047511833229004825,0.9132438474256538
toeplitz_r2,0,640,0.006988871449941571,0.6532576705612531
toeplitz_r2,1,640,0.007087753005343311,0.6974230074397778
toeplitz_r2,2,640,0.0072555532891377,0.6135126459213205
toeplitz_r2,3,640,0.008922082750097912,0.7301057787226025
toeplitz_r2,4,640,0.009664743446017391,0.740027454717595
toeplitz_r2,5,640,0.011939911719930448,0.7375758070549212
toeplitz_r2,6,640,0.014807739216475815,0.8046167934157971
toeplitz_r2,7,640,0.018757859052280126,0.8478555016889983
toeplitz_r2,8,640,0.02962377865053787,0.9191482239146224
toeplitz_r2,9,640,0.04676969171159559,0.898978850084331
reduced_rank_r4,0,640,0.007384937244386342,0.6902784345614034
reduced_rank_r4,1,640,0.008319057530329663,0.8185813665778726
reduced_rank_r4,2,640,0.009166771985397674,0.7751207801716926
reduced_rank_r4,3,640,0.009779989820845717,0.8003094438873398
reduced_rank_r4,4,640,0.011694059515761442,0.8954116953716559
reduced_rank_r4,5,640,0.01444322490649183,0.8922154130418901
reduced_rank_r4,6,640,0.017389816652361625,0.9449206464511143
reduced_rank_r4,7,640,0.02107494234304411,0.9525877977343129
reduced_rank_r4,8,640,0.03225541482724951,1.0008009984086705
reduced_rank_r4,9,640,0.05022672368076861,0.9654278368237801
toeplitz_r2_rank4,0,640,0.006903048367494221,0.6452356900026474
toeplitz_r2_rank4,1,640,0.007279238394026825,0.7162649506531036
toeplitz_r2_rank4,2,640,0.007353320188485546,0.6217795414166079
toeplitz_r2_rank4,3,640,0.00904543939344509,0.7402002152655285
toeplitz_r2_rank4,4,640,0.009922138650307076,0.7597361535517585
toeplitz_r2_rank4,5,640,0.01251138988270564,0.7728782847457387
toeplitz_r2_rank4,6,640,0.015515556356928133,0.8430778676925379
toeplitz_r2_rank4,7,640,0.019829521685056667,0.8962945706215409
toeplitz_r2_rank4,8,640,0.031563239363137964,0.9793246075680355
toeplitz_r2_rank4,9,640,0.04999242688527802,0.9609242337041478
dense_ridge_ceiling,0,640,0.006928364456050146,0.6476020597776345
dense_ridge_ceiling,1,640,0.007743822427123291,0.76197929395812
dense_ridge_ceiling,2,640,0.007666563509222305,0.6482666186859851
dense_ridge_ceiling,3,640,0.00935851318265258,0.765819455645748
dense_ridge_ceiling,4,640,0.010398644776470664,0.7962221314436486
dense_ridge_ceiling,5,640,0.012718096392102817,0.7856473674716716
dense_ridge_ceiling,6,640,0.015920439746548148,0.8650781954069812
dense_ridge_ceiling,7,640,0.020010123060722182,0.9044578530642559
dense_ridge_ceiling,8,640,0.03190754481494247,0.9900074345935148
dense_ridge_ceiling,9,640,0.05046086863436003,0.9699284301231897
