case,token_rows,input_shape,layer,hidden_dim,ffn_dim,dtype,path,status,setup_ms,amortization_calls,amortized_latency_ms,notes,latency_ms_min,latency_ms_median,latency_ms_p95,latency_ms_max,latency_ms_mean,bitwise_equal,max_abs,relative_l2,peak_allocated_bytes,peak_reserved_bytes,incremental_peak_allocated_bytes
F81,32760,1x32760x1536,14,1536,8960,torch.bfloat16,cuda_graph_eager_static,ok,14.511408982798457,40,3.6159051700960845,static-address CUDA Graph replay of the complete eager FFN; input-copy and integration into a larger graph are excluded,2.9028160572052,3.253119945526123,3.2853344559669493,3.2876479625701904,3.2196467304229737,True,0.0,0.0,1735865856,3019898880,1420928000
F81,32760,1x32760x1536,14,1536,8960,torch.bfloat16,compile_default,ok,88.68873800383881,40,5.524258545425255,full FFN torch.compile path; backend fusion is implementation-dependent and no GEMM-epilogue fusion is claimed,3.0001919269561768,3.3070400953292847,3.406281507015228,3.6797759532928467,3.285795183181763,False,0.25,0.0038870037160149903,1249300992,1642070016,934363136
F81,32760,1x32760x1536,14,1536,8960,torch.bfloat16,compile_reduce-overhead,ok,86.85501501895487,40,5.577935319626704,full FFN torch.compile path; backend fusion is implementation-dependent and no GEMM-epilogue fusion is claimed,3.1708478927612305,3.406559944152832,3.454772782325745,3.573184013366699,3.348195834159851,False,0.25,0.0038870037160149903,1079481856,1981808640,764544000
F81,32760,1x32760x1536,14,1536,8960,torch.bfloat16,compile_max-autotune,ok,131.2765619950369,40,6.675306016695686,full FFN torch.compile path; backend fusion is implementation-dependent and no GEMM-epilogue fusion is claimed,3.125983953475952,3.393391966819763,3.4468223690986632,3.84553599357605,3.3713004779815674,False,0.25,0.0038870037160149903,1079481856,1876951040,764544000
F17,7800,1x7800x1536,29,1536,8960,torch.bfloat16,eager,ok,0.0,40,0.7205760180950165,checkpoint FFN eager reference,0.7085440158843994,0.7205760180950165,0.741801592707634,0.7442560195922852,0.7254675185680389,True,0.0,0.0,442577408,641728512,204316672
F17,7800,1x7800x1536,29,1536,8960,torch.bfloat16,cuda_graph_eager_static,ok,7.646323007065803,40,0.8875900994171388,static-address CUDA Graph replay of the complete eager FFN; input-copy and integration into a larger graph are excluded,0.693120002746582,0.6964320242404938,0.7483359962701797,0.7550719976425171,0.7113696014881135,True,0.0,0.0,535746048,851443712,297485312
F17,7800,1x7800x1536,29,1536,8960,torch.bfloat16,compile_default,ok,84.66633397620171,40,2.907826353679411,full FFN torch.compile path; backend fusion is implementation-dependent and no GEMM-epilogue fusion is claimed,0.7791039943695068,0.7911680042743683,0.8544272184371948,0.8939200043678284,0.8039123213291168,False,0.5,0.0023887479720896593,419197440,520093696,180936704
F17,7800,1x7800x1536,29,1536,8960,torch.bfloat16,compile_reduce-overhead,ok,86.66929003084078,40,2.987820266804192,full FFN torch.compile path; backend fusion is implementation-dependent and no GEMM-epilogue fusion is claimed,0.8107200264930725,0.8210880160331726,0.8400944054126739,1.0156160593032837,0.8274246406555176,False,0.5,0.0023887479720896593,326030848,631242752,87770112
F17,7800,1x7800x1536,29,1536,8960,torch.bfloat16,compile_max-autotune,ok,125.43959502363577,40,3.9498298774124123,full FFN torch.compile path; backend fusion is implementation-dependent and no GEMM-epilogue fusion is claimed,0.8075839877128601,0.8138400018215179,0.8445280164480209,0.8488960266113281,0.816798084974289,False,0.5,0.0023887479720896593,326030848,526385152,87770112
F81,32760,1x32760x1536,29,1536,8960,torch.bfloat16,eager,ok,0.0,40,3.28438401222229,checkpoint FFN eager reference,2.967168092727661,3.28438401222229,3.3081727623939514,3.3137919902801514,3.245280632972717,True,0.0,0.0,1566020096,1981808640,1251082240
F81,32760,1x32760x1536,29,1536,8960,torch.bfloat16,cuda_graph_eager_static,ok,14.303993026260287,40,3.625951857364271,static-address CUDA Graph replay of the complete eager FFN; input-copy and integration into a larger graph are excluded,2.8838720321655273,3.2683520317077637,3.3431568145751953,3.351680040359497,3.2666675233840943,True,0.0,0.0,1735865856,3019898880,1420928000
F81,32760,1x32760x1536,29,1536,8960,torch.bfloat16,compile_default,ok,84.5604159985669,40,5.511306351807434,full FFN torch.compile path; backend fusion is implementation-dependent and no GEMM-epilogue fusion is claimed,3.0175039768218994,3.3972959518432617,3.76939994096756,4.1479997634887695,3.3810086250305176,False,0.5,0.0023863558265216907,1249300992,1642070016,934363136
F81,32760,1x32760x1536,29,1536,8960,torch.bfloat16,compile_reduce-overhead,ok,86.2871219869703,40,5.5627139860298485,full FFN torch.compile path; backend fusion is implementation-dependent and no GEMM-epilogue fusion is claimed,3.1152000427246094,3.405535936355591,3.4889343976974487,3.5060160160064697,3.3804441690444946,False,0.5,0.0023863558265216907,1079481856,1981808640,764544000
F81,32760,1x32760x1536,29,1536,8960,torch.bfloat16,compile_max-autotune,ok,117.12193000130355,40,6.307472345186397,full FFN torch.compile path; backend fusion is implementation-dependent and no GEMM-epilogue fusion is claimed,3.2144320011138916,3.3794240951538086,3.5988768219947813,3.632352113723755,3.3838726472854614,False,0.5,0.0023863558265216907,1079481856,1876951040,764544000
