case,signal,control,axis,neighbor_cosine,normalized_difference_energy,axis_length
f17_l0_t1000,q,original,temporal,0.8679071664810181,0.36476463079452515,5
f17_l0_t1000,q,original,height,0.9608433246612549,0.10726545006036758,30
f17_l0_t1000,q,original,width,0.9614191055297852,0.10560537874698639,52
f17_l0_t1000,q,token_shuffled,temporal,0.6372659206390381,0.9919115304946899,5
f17_l0_t1000,q,token_shuffled,height,0.6374014019966125,0.9918134212493896,30
f17_l0_t1000,q,token_shuffled,width,0.6354236602783203,0.9970180988311768,52
f17_l0_t1000,q,matched_gaussian,temporal,0.016439512372016907,0.9978344440460205,5
f17_l0_t1000,q,matched_gaussian,height,0.01447517704218626,1.0016803741455078,30
f17_l0_t1000,q,matched_gaussian,width,0.01717393286526203,0.9984360933303833,52
f17_l0_t1000,k,original,temporal,0.7736209034919739,0.3071245849132538,5
f17_l0_t1000,k,original,height,0.9668649435043335,0.04478149488568306,30
f17_l0_t1000,k,original,width,0.958048403263092,0.056586410850286484,52
f17_l0_t1000,k,token_shuffled,temporal,0.2566690742969513,1.0023378133773804,5
f17_l0_t1000,k,token_shuffled,height,0.26183274388313293,0.9950377345085144,30
f17_l0_t1000,k,token_shuffled,width,0.25475695729255676,1.0046041011810303,52
f17_l0_t1000,k,matched_gaussian,temporal,0.0029534546192735434,1.000560998916626,5
f17_l0_t1000,k,matched_gaussian,height,0.005288736894726753,0.9980111718177795,30
f17_l0_t1000,k,matched_gaussian,width,0.00461768452078104,0.9987894296646118,52
f17_l0_t1000,v,original,temporal,0.013850150629878044,1.006211519241333,5
f17_l0_t1000,v,original,height,0.01848340593278408,0.9998751878738403,30
f17_l0_t1000,v,original,width,0.016137629747390747,1.0019937753677368,52
f17_l0_t1000,v,token_shuffled,temporal,0.016441361978650093,1.0016536712646484,5
f17_l0_t1000,v,token_shuffled,height,0.017821650952100754,1.0009422302246094,30
f17_l0_t1000,v,token_shuffled,width,0.015533024445176125,1.0029124021530151,52
f17_l0_t1000,v,matched_gaussian,temporal,-0.0008320922497659922,1.001585841178894,5
f17_l0_t1000,v,matched_gaussian,height,0.0010126515990123153,0.9990515112876892,30
f17_l0_t1000,v,matched_gaussian,width,7.771348464302719e-05,0.9999895095825195,52
f81_l0_t1000,q,original,temporal,0.8461301326751709,0.19957372546195984,21
f81_l0_t1000,q,original,height,0.9488011598587036,0.06704377382993698,30
f81_l0_t1000,q,original,width,0.9492100477218628,0.06643680483102798,52
f81_l0_t1000,q,token_shuffled,temporal,0.2367648035287857,0.9971641302108765,21
f81_l0_t1000,q,token_shuffled,height,0.23667798936367035,0.9973851442337036,30
f81_l0_t1000,q,token_shuffled,width,0.2348507195711136,0.9996920228004456,52
f81_l0_t1000,q,matched_gaussian,temporal,0.003580232849344611,1.000651478767395,21
f81_l0_t1000,q,matched_gaussian,height,0.004760476294904947,0.9994932413101196,30
f81_l0_t1000,q,matched_gaussian,width,0.005081521812826395,0.9991661310195923,52
f81_l0_t1000,k,original,temporal,0.8457868099212646,0.2111244797706604,21
f81_l0_t1000,k,original,height,0.9702100157737732,0.04071400314569473,30
f81_l0_t1000,k,original,width,0.9634508490562439,0.04987618699669838,52
f81_l0_t1000,k,token_shuffled,temporal,0.2671450674533844,0.9996947646141052,21
f81_l0_t1000,k,token_shuffled,height,0.2666041851043701,1.0003619194030762,30
f81_l0_t1000,k,token_shuffled,width,0.26808345317840576,0.9985119104385376,52
f81_l0_t1000,k,matched_gaussian,temporal,0.0008636887068860233,0.999808669090271,21
f81_l0_t1000,k,matched_gaussian,height,0.0010109555441886187,0.9995965957641602,30
f81_l0_t1000,k,matched_gaussian,width,0.00116233981680125,0.9994995594024658,52
f81_l0_t1000,v,original,temporal,0.021050207316875458,0.99781733751297,21
f81_l0_t1000,v,original,height,0.02057746797800064,0.9980856776237488,30
f81_l0_t1000,v,original,width,0.017427977174520493,1.001765489578247,52
f81_l0_t1000,v,token_shuffled,temporal,0.01702922023832798,1.0018306970596313,21
f81_l0_t1000,v,token_shuffled,height,0.017551317811012268,1.001049518585205,30
f81_l0_t1000,v,token_shuffled,width,0.020899539813399315,0.9978804588317871,52
f81_l0_t1000,v,matched_gaussian,temporal,0.0013723175507038832,0.9987530708312988,21
f81_l0_t1000,v,matched_gaussian,height,0.00045166522613726556,0.9999086856842041,30
f81_l0_t1000,v,matched_gaussian,width,0.0015058765420690179,0.9987198114395142,52
