case,signal,control,centering,requested_density,actual_lowpass_density,lowpass_retained_energy,lowpass_relative_l2,shared_frequency_topk_oracle_energy,dc_energy_ratio,tokens,channels_sampled
f17_l0_t1000,q,original,raw,0.015625,0.016025641025641024,0.8120437860488892,0.43353917233753037,0.9652618169784546,0.6343878507614136,7800,64
f17_l0_t1000,q,original,raw,0.0625,0.0632051282051282,0.954151451587677,0.2141227414646165,0.9677838087081909,0.6343878507614136,7800,64
f17_l0_t1000,q,original,raw,0.125,0.125,0.95660001039505,0.20832664161107659,0.9707172513008118,0.6343878507614136,7800,64
f17_l0_t1000,q,original,raw,0.25,0.25038461538461537,0.9612877368927002,0.1967543216991683,0.9760278463363647,0.6343878507614136,7800,64
f17_l0_t1000,q,original,centered,0.015625,0.016025641025641024,0.4859139323234558,0.7169979551411176,0.9050081968307495,1.204287134560578e-14,7800,64
f17_l0_t1000,q,original,centered,0.0625,0.0632051282051282,0.8745980858802795,0.3541213268354795,0.9119022488594055,1.204287134560578e-14,7800,64
f17_l0_t1000,q,original,centered,0.125,0.125,0.8812949657440186,0.34453596946615234,0.9199249148368835,1.204287134560578e-14,7800,64
f17_l0_t1000,q,original,centered,0.25,0.25038461538461537,0.894116997718811,0.3253966844963067,0.9344477653503418,1.204287134560578e-14,7800,64
f17_l0_t1000,q,token_shuffled,raw,0.015625,0.016025641025641024,0.639980673789978,0.6000161049588769,0.6482206583023071,0.6343879103660583,7800,64
f17_l0_t1000,q,token_shuffled,raw,0.0625,0.0632051282051282,0.6575084924697876,0.5852277398844081,0.6803621053695679,0.6343879103660583,7800,64
f17_l0_t1000,q,token_shuffled,raw,0.125,0.125,0.6801535487174988,0.565549689490235,0.7159278988838196,0.6343879103660583,7800,64
f17_l0_t1000,q,token_shuffled,raw,0.25,0.25038461538461537,0.7270439863204956,0.5224519247543303,0.7763246893882751,0.6343879103660583,7800,64
f17_l0_t1000,q,token_shuffled,centered,0.015625,0.016025641025641024,0.015296963043510914,0.9923220429661376,0.03810819238424301,1.177864280584159e-14,7800,64
f17_l0_t1000,q,token_shuffled,centered,0.0625,0.0632051282051282,0.06323800981044769,0.9678646548921767,0.12596340477466583,1.177864280584159e-14,7800,64
f17_l0_t1000,q,token_shuffled,centered,0.125,0.125,0.1251755803823471,0.9353204903227839,0.22321178019046783,1.177864280584159e-14,7800,64
f17_l0_t1000,q,token_shuffled,centered,0.25,0.25038461538461537,0.2534274160861969,0.8640443182579254,0.3883732259273529,1.177864280584159e-14,7800,64
f17_l0_t1000,q,frame_shuffled,raw,0.015625,0.016025641025641024,0.8120439648628235,0.43353896611167086,0.9652619957923889,0.6343879699707031,7800,64
f17_l0_t1000,q,frame_shuffled,raw,0.0625,0.0632051282051282,0.826297402381897,0.41677643601588493,0.9677839875221252,0.6343879699707031,7800,64
f17_l0_t1000,q,frame_shuffled,raw,0.125,0.125,0.8287672400474548,0.41380280321977664,0.9707174301147461,0.6343879699707031,7800,64
f17_l0_t1000,q,frame_shuffled,raw,0.25,0.25038461538461537,0.8334993720054626,0.4080448847792818,0.9760280251502991,0.6343879699707031,7800,64
f17_l0_t1000,q,frame_shuffled,centered,0.015625,0.016025641025641024,0.4859139323234558,0.7169979551411176,0.9050081968307495,1.1724288701616282e-14,7800,64
f17_l0_t1000,q,frame_shuffled,centered,0.0625,0.0632051282051282,0.5248991847038269,0.6892755728271336,0.9119022488594055,1.1724288701616282e-14,7800,64
f17_l0_t1000,q,frame_shuffled,centered,0.125,0.125,0.5316544771194458,0.6843577448093608,0.9199249148368835,1.1724288701616282e-14,7800,64
f17_l0_t1000,q,frame_shuffled,centered,0.25,0.25038461538461537,0.5445974469184875,0.674835204388088,0.9344477653503418,1.1724288701616282e-14,7800,64
f17_l0_t1000,q,spatial_shuffled,raw,0.015625,0.016025641025641024,0.6477923393249512,0.5934708591624772,0.8134319186210632,0.6343878507614136,7800,64
f17_l0_t1000,q,spatial_shuffled,raw,0.0625,0.0632051282051282,0.8087034821510315,0.43737457384828454,0.871326744556427,0.6343878507614136,7800,64
f17_l0_t1000,q,spatial_shuffled,raw,0.125,0.125,0.8302252292633057,0.41203734143484416,0.927886962890625,0.6343878507614136,7800,64
f17_l0_t1000,q,spatial_shuffled,raw,0.25,0.25038461538461537,0.8716241717338562,0.35829572739029947,0.9742236733436584,0.6343878507614136,7800,64
f17_l0_t1000,q,spatial_shuffled,centered,0.015625,0.016025641025641024,0.03666325658559799,0.9814971948071997,0.4902418851852417,1.1868691725497142e-14,7800,64
f17_l0_t1000,q,spatial_shuffled,centered,0.0625,0.0632051282051282,0.476777583360672,0.7233411481723738,0.648431658744812,1.1868691725497142e-14,7800,64
f17_l0_t1000,q,spatial_shuffled,centered,0.125,0.125,0.535642683506012,0.6814376835001041,0.8030305504798889,1.1868691725497142e-14,7800,64
