layer,split,predictor,clips,frames,mse,nmse,mean_cosine,p05_cosine,residual_top10_energy,residual_temporal_spectral_entropy,ops_per_scalar_proxy,selected_on_val
22,val,previous,5,40,0.0004689596087207951,0.4802146410449801,0.7598926794890632,-0.23846730844911584,0.5273728749241523,0.7769282277581324,0.0,False
22,test,previous,10,80,0.0003423624747037429,0.3505791741479032,0.8247104138104696,0.010728468957185329,0.5961472969566528,0.6820082172774746,0.0,False
22,val,ema_025,5,40,0.0004934612521381488,0.5053043239939476,0.6954452044185597,-0.3058957268249795,0.4119160420476109,0.7421113215222261,2.0,False
22,test,ema_025,10,80,0.0003884220829193486,0.39774421296758106,0.7574225266704835,-0.032009406179501355,0.4123319831792563,0.5949405592850889,2.0,False
22,val,ema_050,5,40,0.00043661430814020513,0.44709305313217607,0.7478964360436435,-0.23248342577301429,0.4844232873042955,0.7848477056229666,2.0,False
22,test,ema_050,10,80,0.00032372211451373555,0.3314914453105442,0.8097647751260173,0.026068673654178868,0.5220905544906576,0.6738380304373972,2.0,False
22,val,ema_075,5,40,0.00043421600372973746,0.4446371894070871,0.7625521269242026,-0.2417367888958355,0.5212306502270994,0.7900776698251748,2.0,True
22,test,ema_075,10,80,0.0003174022455750682,0.32501989951640237,0.824607554434549,0.022098541505632587,0.5827675412495331,0.6935337680636351,2.0,True
22,val,linear,5,40,0.0011236890031111246,1.1506575432948842,0.6984516911208669,-0.2346247490770855,0.428226567018524,0.6987367214637109,2.0,False
22,test,linear,10,80,0.0008640829180563643,0.8848209082191176,0.7785633662920536,0.017874346494973967,0.5046937092345444,0.5774815775191671,2.0,False
22,val,fourier_h4_k1,5,40,0.0023932958309629965,2.450734939657884,0.5686200801507784,-0.39602369669837806,0.42393581195942753,0.5925054726916599,32.0,False
22,test,fourier_h4_k1,10,80,0.0019650168588221653,2.012177263728168,0.6553190105636705,-0.2538135322243038,0.45725398832436787,0.506642238860582,32.0,False
22,val,fourier_h8_k2,5,40,0.0013705645479808399,1.403458102144244,0.6292994132195645,-0.2438551163600503,0.3737987669340368,0.6777669753855594,96.0,False
22,test,fourier_h8_k2,10,80,0.0012070957366695511,1.2360660345303889,0.7065342326773498,-0.06838189563703598,0.39906418571198904,0.5771503848095246,96.0,False
