layer,split,method,codec,predictor,selected_fraction,index_bits,group_dim,nominal_bps,codebook_static_bits,codebook_sha256,mse,nmse,mean_cosine,p05_cosine,payload_bits,metadata_bits,payload_bps,effective_bps,index_entropy,index_entropy_bps,residual_top10_energy
22,val,raw_pq,pq_0p5b_k16_d8,,1.0,4,8,0.5,2048,df04d7735f42084bb286b7a3c313084c60d150a5eaa824598ebbe7caff5d6286,0.0006135494057327911,0.6282745928938225,0.6092786957596614,0.5514260029780149,655360.0,0.0,0.5,0.5015625,3.953904578907765,0.4942380723634706,0.11654314579059052
22,val,residual_pq,pq_0p5b_k16_d8,ema_075,0.25,4,8,0.25,2048,67d9d3b278db38bb8468f22ac2800b04d8f7f6512c254b38c692bf74b9d7bf1d,0.0007247162710834383,0.742109463270794,0.611647919892991,-0.2534538331053114,481280.0,154880.0,0.4853515625,0.4869140625,3.204719257623704,0.22514747680074076,0.3185548532987575
22,val,residual_pq,pq_0p5b_k16_d8,ema_075,0.5,4,8,0.375,2048,67d9d3b278db38bb8468f22ac2800b04d8f7f6512c254b38c692bf74b9d7bf1d,0.0006110296876526473,0.6256944015739094,0.6685953897254624,-0.04338960752131952,634880.0,154880.0,0.6025390625,0.6041015625,3.024688191201106,0.3140430119500691,0.31615343074767255
22,val,residual_pq,pq_0p5b_k16_d8,ema_075,1.0,4,8,0.5,2048,67d9d3b278db38bb8468f22ac2800b04d8f7f6512c254b38c692bf74b9d7bf1d,0.0005254326279568449,0.5380430122468212,0.7182763530949169,0.13096748941035033,942080.0,1280.0,0.7197265625,0.7212890625,2.702242614272079,0.3377803267840099,0.30980107080896463
22,test,raw_pq,pq_0p5b_k16_d8,,1.0,4,8,0.5,2048,df04d7735f42084bb286b7a3c313084c60d150a5eaa824598ebbe7caff5d6286,0.0006298683999970132,0.6449852417645704,0.5953663938912989,0.520179289666106,1310720.0,0.0,0.5,0.50078125,3.9424419179182015,0.4928052397397752,0.12040881590812225
22,test,residual_pq,pq_0p5b_k16_d8,ema_075,0.25,4,8,0.25,2048,67d9d3b278db38bb8468f22ac2800b04d8f7f6512c254b38c692bf74b9d7bf1d,0.0007576246743087397,0.7758076666937787,0.5924845063577079,-0.14480111609020838,962560.0,309760.0,0.4853515625,0.4861328125,2.943256420873314,0.21697676315229106,0.2858322531815953
22,test,residual_pq,pq_0p5b_k16_d8,ema_075,0.5,4,8,0.375,2048,67d9d3b278db38bb8468f22ac2800b04d8f7f6512c254b38c692bf74b9d7bf1d,0.0006417664218394739,0.6571688161344167,0.6507314977113863,0.01289830527108218,1269760.0,309760.0,0.6025390625,0.6033203125,2.7711720872461676,0.2981982554528855,0.286809328167085
22,test,residual_pq,pq_0p5b_k16_d8,ema_075,1.0,4,8,0.5,2048,67d9d3b278db38bb8468f22ac2800b04d8f7f6512c254b38c692bf74b9d7bf1d,0.0005514320064660584,0.5646663747679982,0.7033107253002344,0.17656851546007524,1884160.0,2560.0,0.7197265625,0.7205078125,2.477561203686328,0.309695150460791,0.2857467070527054
22,val,raw_pq,pq_1b_k16_d4,,1.0,4,4,1.0,1024,c205c91d364834cabbc94bdf66c50a393189568531f63f9649a39cc657b5a495,0.0004027769151445138,0.41244356204243093,0.7660801306963912,0.7132703157809965,1310720.0,0.0,1.0,1.00078125,3.7345109708802893,0.9336277427200723,0.12796224809861456
22,val,residual_pq,pq_1b_k16_d4,ema_075,0.25,4,4,0.5,1024,5c941ec9c57ba8ce880a7bd358e5a2bd3b9bb26e244ad7a2bb2088221f54ca1e,0.000524341100787944,0.5369252884233343,0.6970805886202888,-0.11220556840160485,634880.0,308480.0,0.7197265625,0.7205078125,3.8516879024848896,0.4907304939053056,0.36265392019660714
22,val,residual_pq,pq_1b_k16_d4,ema_075,0.5,4,4,0.75,1024,5c941ec9c57ba8ce880a7bd358e5a2bd3b9bb26e244ad7a2bb2088221f54ca1e,0.0003772486385774358,0.3863026067785171,0.7815157617292504,0.14125479662975632,942080.0,308480.0,0.9541015625,0.9548828125,3.7667127693119244,0.7208390961639906,0.3898323444204045
22,val,residual_pq,pq_1b_k16_d4,ema_075,1.0,4,4,1.0,1024,5c941ec9c57ba8ce880a7bd358e5a2bd3b9bb26e244ad7a2bb2088221f54ca1e,0.00029270625155672434,0.29973120227316885,0.8332134069433735,0.3176078992513588,1556480.0,1280.0,1.1884765625,1.1892578125,3.536360522429179,0.8840901306072948,0.40345570406318887
22,test,raw_pq,pq_1b_k16_d4,,1.0,4,4,1.0,1024,c205c91d364834cabbc94bdf66c50a393189568531f63f9649a39cc657b5a495,0.0004168363712954954,0.42684044431752133,0.7561571288162993,0.6741524648194536,2621440.0,0.0,1.0,1.000390625,3.7291983479701947,0.9322995869925487,0.14056854173417505
22,test,residual_pq,pq_1b_k16_d4,ema_075,0.25,4,4,0.5,1024,5c941ec9c57ba8ce880a7bd358e5a2bd3b9bb26e244ad7a2bb2088221f54ca1e,0.0005431873115532183,0.5562238071750558,0.6858930139273738,-0.01940573445910765,1269760.0,616960.0,0.7197265625,0.7201171875,3.675630885244293,0.4797269303277683,0.32795841552825206
22,test,residual_pq,pq_1b_k16_d4,ema_075,0.5,4,4,0.75,1024,5c941ec9c57ba8ce880a7bd358e5a2bd3b9bb26e244ad7a2bb2088221f54ca1e,0.0003894833522082808,0.398830952764934,0.7752967408618721,0.22108283820797855,1884160.0,616960.0,0.9541015625,0.9544921875,3.5788160379758143,0.6973520047469768,0.35914218771243006
22,test,residual_pq,pq_1b_k16_d4,ema_075,1.0,4,4,1.0,1024,5c941ec9c57ba8ce880a7bd358e5a2bd3b9bb26e244ad7a2bb2088221f54ca1e,0.0003013896153681702,0.3086229662172161,0.8292277426083198,0.3851131481738117,3112960.0,2560.0,1.1884765625,1.1888671875,3.328319583329147,0.8320798958322867,0.3769982462576029
22,val,raw_pq,pq_1p5b_k64_d4,,1.0,6,4,1.5,4096,b6539a38a6ec54633e901edbb37cec355c6424d57834cdc8f5914c2d9c8e654b,0.00023118533901844612,0.23673378769124248,0.8729561280659375,0.8076254752630536,1966080.0,0.0,1.5,1.503125,5.847516305600633,1.4618790764001584,0.16394437670587364
