method,arithmetic_reduction,aggregate_av_error,worst_head_av_error
phasealigned_recency_g4_event_0p1,1.1618669314796413,0.015737169305564343,0.09706747531890869
phasealigned_recency_g4_event_0p05,1.1806256306760956,0.016819395338432568,0.09797585010528564
phasealigned_recency_g4_event_0,1.2000000000000057,0.018027790302864242,0.11324962973594666
phasealigned_recency_g3_event_0p1,1.2528490854857162,0.019755777841414773,0.11542075127363205
phasealigned_recency_g3_event_0p05,1.2875159693178913,0.020956461323227486,0.12071892619132996
phasealigned_recency_g3_event_0,1.3333333333333408,0.022799329858039702,0.13488593697547913
phasealigned_recency_g2_event_0p1,1.3939678742310369,0.02442361705938971,0.1386898010969162
phasealigned_recency_g2_event_0p05,1.440886699507386,0.02599166782252779,0.15759535133838654
phasealigned_recency_g2_event_0,1.5,0.028241855473542292,0.1683541089296341
phasealigned_recency_g1_event_0p1,1.5761131969662883,0.10332563285186377,0.30832427740097046
phasealigned_recency_g1_event_0p05,1.6375087473757952,0.11463667101508913,0.34130626916885376
phasealigned_recency_g1_event_0,1.7142857142856935,0.1381820093371794,0.3777238428592682
