residual_format,variant,aggregate_av_error,worst_head_av_error
INT2 symmetric,k_only,0.07774803182942253,0.18224382400512695
INT2 symmetric,v_only,0.2764540467396596,0.47062426805496216
INT2 symmetric,both,0.2857649075619673,0.48335355520248413
INT2 asymmetric,k_only,0.04737269996134031,0.1271289587020874
INT2 asymmetric,v_only,0.17365728307286735,0.30006927251815796
INT2 asymmetric,both,0.18012383661004008,0.3073880076408386
INT4 symmetric,k_only,0.013462258842128162,0.03195774927735329
INT4 symmetric,v_only,0.042088421664537336,0.07133518904447556
INT4 symmetric,both,0.04412643155471133,0.07347413897514343
