method,label,cache_compression,aggregate_av_error,worst_head_av_error
qvg_int2_s1_b64_sink_recent,QVG INT2 + exact 6F,1.7181109498597495,0.12968119800744926,0.3031452000141144
qvg_int4_s1_b64_all,QVG INT4,3.631161651674225,0.05386990186865253,0.09141978621482849
qvg_pro_int2_s4_b16_all,QVG-Pro INT2,4.41353294824944,0.21883476213938985,0.3292526602745056
qvg_int2_s1_b64_all,QVG INT2,6.649203036895621,0.3582994592839881,0.5359067916870117
rtn_int2_b64_all,RTN INT2,7.529411764705874,0.8325389641084249,1.8792881965637207
