layer,region,attention_mass,value_leverage
0,middle,0.20536452679767817,0.06281120497872207
0,recent,0.6331382502607236,0.8304148264030157
0,sink,0.16149721867057246,0.1067739686182621
14,middle,0.44762370972441407,0.42286172147219
14,recent,0.3980584787722264,0.4714875798507406
14,sink,0.1543178084086523,0.10565069867706957
29,middle,0.3075771170198885,0.24192559926846577
29,recent,0.592697002870437,0.7361394291789427
29,sink,0.09972588069397202,0.021934971552591494
