sample_id,sample_position,layout,refined_group_count,teacher_index,answer_index,approximate_index,candidate_kl,prediction_match,baseline_correct,approximate_correct,compressed_top1_margin,target_risk_mass_capture,reader_token_count,reader_token_retention,dense_equivalence_error
vsi_question_3132,73,compact_contiguous,0,0,1,3,0.22409528493881226,0,0,0,1.125,0.0,392,0.25,0.0
vsi_question_3132,73,compact_original_position,0,0,1,0,0.025021575391292572,1,0,0,0.375,0.0,392,0.25,0.0
vsi_question_3132,73,fixed_repeated,0,0,1,3,0.015254277735948563,0,0,0,0.125,0.0,1568,1.0,0.0
vsi_question_3132,73,compact_contiguous,49,0,1,0,0.022534698247909546,1,0,0,0.5,0.6672363877296448,539,0.34375,0.0
vsi_question_3132,73,compact_original_position,49,0,1,0,0.06162305176258087,1,0,0,0.625,0.6672363877296448,539,0.34375,0.0
vsi_question_3132,73,fixed_repeated,49,0,1,0,0.08466805517673492,1,0,0,0.375,0.6672363877296448,1568,1.0,0.0
vsi_question_3132,73,compact_contiguous,98,0,1,0,0.041789282113313675,1,0,0,0.25,0.871646523475647,686,0.4375,0.0
vsi_question_3132,73,compact_original_position,98,0,1,0,0.07116006314754486,1,0,0,0.5,0.871646523475647,686,0.4375,0.0
vsi_question_3132,73,fixed_repeated,98,0,1,0,0.03793047368526459,1,0,0,0.5,0.871646523475647,1568,1.0,0.0
vsi_question_3132,73,compact_contiguous,128,0,1,0,0.062428392469882965,1,0,0,0.375,0.9321726560592651,776,0.49489795918367346,0.0
vsi_question_3132,73,compact_original_position,128,0,1,0,0.10422283411026001,1,0,0,0.75,0.9321726560592651,776,0.49489795918367346,0.0
vsi_question_3132,73,fixed_repeated,128,0,1,0,0.014931991696357727,1,0,0,0.375,0.9321726560592651,1568,1.0,0.0
vsi_question_3132,73,compact_contiguous,160,0,1,0,0.049592867493629456,1,0,0,0.5,0.9641051888465881,872,0.5561224489795918,0.0
vsi_question_3132,73,compact_original_position,160,0,1,0,0.03135562688112259,1,0,0,0.5,0.9641051888465881,872,0.5561224489795918,0.0
vsi_question_3132,73,fixed_repeated,160,0,1,0,0.042458392679691315,1,0,0,0.625,0.9641051888465881,1568,1.0,0.0
vsi_question_3132,73,compact_contiguous,196,0,1,3,0.0073401108384132385,0,0,0,0.125,0.9836097359657288,980,0.625,0.0
vsi_question_3132,73,compact_original_position,196,0,1,0,0.016331635415554047,1,0,0,0.25,0.9836097359657288,980,0.625,0.0
vsi_question_3132,73,fixed_repeated,196,0,1,0,0.03850405663251877,1,0,0,0.625,0.9836097359657288,1568,1.0,0.0
vsi_question_3132,73,compact_contiguous,245,0,1,3,0.01653905212879181,0,0,0,0.125,0.9967263340950012,1127,0.71875,0.0
vsi_question_3132,73,compact_original_position,245,0,1,0,0.008220639079809189,1,0,0,0.125,0.9967263340950012,1127,0.71875,0.0
vsi_question_3132,73,fixed_repeated,245,0,1,0,0.016514301300048828,1,0,0,0.25,0.9967263340950012,1568,1.0,0.0
vsi_question_3132,73,compact_contiguous,294,0,1,3,0.01651429757475853,0,0,0,0.25,1.0,1274,0.8125,0.0
vsi_question_3132,73,compact_original_position,294,0,1,0,0.008220639079809189,1,0,0,0.125,1.0,1274,0.8125,0.0
vsi_question_3132,73,fixed_repeated,294,0,1,0,0.013673882931470871,1,0,0,0.125,1.0,1568,1.0,0.0
vsi_question_3132,73,compact_contiguous,343,0,1,3,0.02585415542125702,0,0,0,0.5,1.0,1421,0.90625,0.0
vsi_question_3132,73,compact_original_position,343,0,1,3,0.0019518136978149414,0,0,0,0.125,1.0,1421,0.90625,0.0
vsi_question_3132,73,fixed_repeated,343,0,1,3,0.0017747394740581512,0,0,0,0.125,1.0,1568,1.0,0.0
