0, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %, P8
1, NVIDIA GeForce RTX 4090, 15 MiB, 24564 MiB, 0 %, P8
2, NVIDIA H200 NVL, 14 MiB, 143771 MiB, 0 %, P0
3, NVIDIA H200 NVL, 14 MiB, 143771 MiB, 0 %, P0
