sequential_steps,devices,window,iterations_per_window,ideal_speedup
20,1,2,1,1.0
20,1,2,2,0.5
20,1,2,3,0.3333333333333333
20,1,2,4,0.25
20,1,2,6,0.16666666666666666
20,1,2,8,0.125
20,1,4,1,1.0
20,1,4,2,0.5
20,1,4,3,0.3333333333333333
20,1,4,4,0.25
20,1,4,6,0.16666666666666666
20,1,4,8,0.125
20,1,10,1,1.0
20,1,10,2,0.5
20,1,10,3,0.3333333333333333
20,1,10,4,0.25
20,1,10,6,0.16666666666666666
20,1,10,8,0.125
20,1,20,1,1.0
20,1,20,2,0.5
20,1,20,3,0.3333333333333333
20,1,20,4,0.25
20,1,20,6,0.16666666666666666
20,1,20,8,0.125
20,2,2,1,2.0
20,2,2,2,1.0
20,2,2,3,0.6666666666666666
20,2,2,4,0.5
20,2,2,6,0.3333333333333333
20,2,2,8,0.25
20,2,4,1,2.0
20,2,4,2,1.0
20,2,4,3,0.6666666666666666
20,2,4,4,0.5
20,2,4,6,0.3333333333333333
20,2,4,8,0.25
20,2,10,1,2.0
20,2,10,2,1.0
20,2,10,3,0.6666666666666666
20,2,10,4,0.5
20,2,10,6,0.3333333333333333
20,2,10,8,0.25
20,2,20,1,2.0
20,2,20,2,1.0
20,2,20,3,0.6666666666666666
20,2,20,4,0.5
20,2,20,6,0.3333333333333333
20,2,20,8,0.25
20,4,2,1,2.0
20,4,2,2,1.0
20,4,2,3,0.6666666666666666
20,4,2,4,0.5
20,4,2,6,0.3333333333333333
20,4,2,8,0.25
20,4,4,1,4.0
20,4,4,2,2.0
20,4,4,3,1.3333333333333333
20,4,4,4,1.0
20,4,4,6,0.6666666666666666
20,4,4,8,0.5
20,4,10,1,3.3333333333333335
20,4,10,2,1.6666666666666667
20,4,10,3,1.1111111111111112
20,4,10,4,0.8333333333333334
20,4,10,6,0.5555555555555556
20,4,10,8,0.4166666666666667
20,4,20,1,4.0
20,4,20,2,2.0
20,4,20,3,1.3333333333333333
20,4,20,4,1.0
20,4,20,6,0.6666666666666666
20,4,20,8,0.5
20,8,2,1,2.0
20,8,2,2,1.0
20,8,2,3,0.6666666666666666
20,8,2,4,0.5
20,8,2,6,0.3333333333333333
20,8,2,8,0.25
20,8,4,1,4.0
20,8,4,2,2.0
20,8,4,3,1.3333333333333333
20,8,4,4,1.0
20,8,4,6,0.6666666666666666
20,8,4,8,0.5
20,8,10,1,5.0
20,8,10,2,2.5
20,8,10,3,1.6666666666666667
20,8,10,4,1.25
20,8,10,6,0.8333333333333334
20,8,10,8,0.625
20,8,20,1,6.666666666666667
20,8,20,2,3.3333333333333335
20,8,20,3,2.2222222222222223
20,8,20,4,1.6666666666666667
20,8,20,6,1.1111111111111112
20,8,20,8,0.8333333333333334
20,20,2,1,2.0
20,20,2,2,1.0
20,20,2,3,0.6666666666666666
20,20,2,4,0.5
20,20,2,6,0.3333333333333333
20,20,2,8,0.25
20,20,4,1,4.0
20,20,4,2,2.0
20,20,4,3,1.3333333333333333
20,20,4,4,1.0
20,20,4,6,0.6666666666666666
20,20,4,8,0.5
20,20,10,1,10.0
20,20,10,2,5.0
20,20,10,3,3.3333333333333335
20,20,10,4,2.5
20,20,10,6,1.6666666666666667
20,20,10,8,1.25
20,20,20,1,20.0
20,20,20,2,10.0
20,20,20,3,6.666666666666667
20,20,20,4,5.0
20,20,20,6,3.3333333333333335
20,20,20,8,2.5
