case,block,accept_probability,verification_ratio_vs_batch1,draft_ratio,speedup_upper_bound,ratio_source,verification_scope
F17,2,0.0,2.0,0.0,0.5,linear_full_model_assumption,full Wan target forward only
F17,2,0.01,2.0,0.0,0.505,linear_full_model_assumption,full Wan target forward only
F17,2,0.02,2.0,0.0,0.51,linear_full_model_assumption,full Wan target forward only
F17,2,0.03,2.0,0.0,0.515,linear_full_model_assumption,full Wan target forward only
F17,2,0.04,2.0,0.0,0.52,linear_full_model_assumption,full Wan target forward only
F17,2,0.05,2.0,0.0,0.525,linear_full_model_assumption,full Wan target forward only
F17,2,0.06,2.0,0.0,0.53,linear_full_model_assumption,full Wan target forward only
F17,2,0.07,2.0,0.0,0.535,linear_full_model_assumption,full Wan target forward only
F17,2,0.08,2.0,0.0,0.54,linear_full_model_assumption,full Wan target forward only
F17,2,0.09,2.0,0.0,0.545,linear_full_model_assumption,full Wan target forward only
F17,2,0.1,2.0,0.0,0.55,linear_full_model_assumption,full Wan target forward only
F17,2,0.11,2.0,0.0,0.555,linear_full_model_assumption,full Wan target forward only
F17,2,0.12,2.0,0.0,0.56,linear_full_model_assumption,full Wan target forward only
F17,2,0.13,2.0,0.0,0.565,linear_full_model_assumption,full Wan target forward only
F17,2,0.14,2.0,0.0,0.5700000000000001,linear_full_model_assumption,full Wan target forward only
F17,2,0.15,2.0,0.0,0.575,linear_full_model_assumption,full Wan target forward only
F17,2,0.16,2.0,0.0,0.58,linear_full_model_assumption,full Wan target forward only
F17,2,0.17,2.0,0.0,0.585,linear_full_model_assumption,full Wan target forward only
F17,2,0.18,2.0,0.0,0.59,linear_full_model_assumption,full Wan target forward only
F17,2,0.19,2.0,0.0,0.595,linear_full_model_assumption,full Wan target forward only
F17,2,0.2,2.0,0.0,0.6,linear_full_model_assumption,full Wan target forward only
F17,2,0.21,2.0,0.0,0.605,linear_full_model_assumption,full Wan target forward only
F17,2,0.22,2.0,0.0,0.61,linear_full_model_assumption,full Wan target forward only
F17,2,0.23,2.0,0.0,0.615,linear_full_model_assumption,full Wan target forward only
F17,2,0.24,2.0,0.0,0.62,linear_full_model_assumption,full Wan target forward only
F17,2,0.25,2.0,0.0,0.625,linear_full_model_assumption,full Wan target forward only
F17,2,0.26,2.0,0.0,0.63,linear_full_model_assumption,full Wan target forward only
