case,block,accept_probability,verification_ratio_vs_batch1,draft_ratio,speedup_upper_bound,ratio_source,verification_scope
F17,2,0.48,1.9523943560054153,0.0,0.7580435763131733,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.49,1.9523943560054153,0.0,0.7631654923693434,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.5,1.9523943560054153,0.0,0.7682874084255136,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.51,1.9523943560054153,0.0,0.7734093244816836,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.52,1.9523943560054153,0.0,0.7785312405378537,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.53,1.9523943560054153,0.0,0.7836531565940238,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.54,1.9523943560054153,0.0,0.7887750726501939,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.55,1.9523943560054153,0.0,0.793896988706364,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.56,1.9523943560054153,0.0,0.7990189047625341,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.5700000000000001,1.9523943560054153,0.0,0.8041408208187042,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.58,1.9523943560054153,0.0,0.8092627368748743,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.59,1.9523943560054153,0.0,0.8143846529310442,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.6,1.9523943560054153,0.0,0.8195065689872145,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.61,1.9523943560054153,0.0,0.8246284850433845,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.62,1.9523943560054153,0.0,0.8297504010995547,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.63,1.9523943560054153,0.0,0.8348723171557246,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.64,1.9523943560054153,0.0,0.8399942332118948,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.65,1.9523943560054153,0.0,0.8451161492680649,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.66,1.9523943560054153,0.0,0.8502380653242351,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.67,1.9523943560054153,0.0,0.855359981380405,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.68,1.9523943560054153,0.0,0.8604818974365752,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.6900000000000001,1.9523943560054153,0.0,0.8656038134927452,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.7000000000000001,1.9523943560054153,0.0,0.8707257295489155,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.71,1.9523943560054153,0.0,0.8758476456050854,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.72,1.9523943560054153,0.0,0.8809695616612555,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.73,1.9523943560054153,0.0,0.8860914777174256,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.74,1.9523943560054153,0.0,0.8912133937735957,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.75,1.9523943560054153,0.0,0.8963353098297658,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.76,1.9523943560054153,0.0,0.9014572258859359,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.77,1.9523943560054153,0.0,0.906579141942106,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.78,1.9523943560054153,0.0,0.911701057998276,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.79,1.9523943560054153,0.0,0.9168229740544461,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.8,1.9523943560054153,0.0,0.9219448901106163,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.81,1.9523943560054153,0.0,0.9270668061667864,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.8200000000000001,1.9523943560054153,0.0,0.9321887222229565,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.8300000000000001,1.9523943560054153,0.0,0.9373106382791265,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.84,1.9523943560054153,0.0,0.9424325543352965,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.85,1.9523943560054153,0.0,0.9475544703914668,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.86,1.9523943560054153,0.0,0.9526763864476367,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.87,1.9523943560054153,0.0,0.9577983025038069,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.88,1.9523943560054153,0.0,0.9629202185599769,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.89,1.9523943560054153,0.0,0.9680421346161471,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.9,1.9523943560054153,0.0,0.9731640506723171,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.91,1.9523943560054153,0.0,0.9782859667284873,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.92,1.9523943560054153,0.0,0.9834078827846573,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.93,1.9523943560054153,0.0,0.9885297988408275,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.9400000000000001,1.9523943560054153,0.0,0.9936517148969974,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.9500000000000001,1.9523943560054153,0.0,0.9987736309531677,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.96,1.9523943560054153,0.0,1.0038955470093376,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.97,1.9523943560054153,0.0,1.0090174630655078,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.98,1.9523943560054153,0.0,1.014139379121678,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.99,1.9523943560054153,0.0,1.019261295177848,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,1.0,1.9523943560054153,0.0,1.024383211234018,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.0,3.8196734085805546,0.0,0.26180248755131513,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.01,3.8196734085805546,0.0,0.26444695447807093,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.02,3.8196734085805546,0.0,0.26714535271726236,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.03,3.8196734085805546,0.0,0.2698992530838146,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.04,3.8196734085805546,0.0,0.27271022639265313,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.05,3.8196734085805546,0.0,0.27557984345870307,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.06,3.8196734085805546,0.0,0.27850967509688984,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.07,3.8196734085805546,0.0,0.2815012921221387,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.08,3.8196734085805546,0.0,0.28455626534937506,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.09,3.8196734085805546,0.0,0.28767616559352405,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.1,3.8196734085805546,0.0,0.2908625636695111,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.11,3.8196734085805546,0.0,0.2941170303922615,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.12,3.8196734085805546,0.0,0.2974411365767005,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.13,3.8196734085805546,0.0,0.30083645303775347,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.14,3.8196734085805546,0.0,0.3043045505903459,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.15,3.8196734085805546,0.0,0.3078470000494026,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.16,3.8196734085805546,0.0,0.3114653722298494,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.17,3.8196734085805546,0.0,0.3151612379466112,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.18,3.8196734085805546,0.0,0.3189361680146137,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.19,3.8196734085805546,0.0,0.3227917332487819,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.2,3.8196734085805546,0.0,0.32672950446404125,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.21,3.8196734085805546,0.0,0.330751052475317,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.22,3.8196734085805546,0.0,0.3348579480975345,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.23,3.8196734085805546,0.0,0.339051762145619,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.24,3.8196734085805546,0.0,0.3433340654344959,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.25,3.8196734085805546,0.0,0.34770642877909036,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.26,3.8196734085805546,0.0,0.3521704229943279,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.27,3.8196734085805546,0.0,0.35672761889513355,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.28,3.8196734085805546,0.0,0.36137958729643294,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.29,3.8196734085805546,0.0,0.3661278990131511,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.3,3.8196734085805546,0.0,0.3709741248602135,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.31,3.8196734085805546,0.0,0.3759198356525454,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.32,3.8196734085805546,0.0,0.3809666022050721,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.33,3.8196734085805546,0.0,0.38611599533271895,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.34,3.8196734085805546,0.0,0.39136958585041115,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.35000000000000003,3.8196734085805546,0.0,0.39672894457307417,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.36,3.8196734085805546,0.0,0.4021956423156331,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.37,3.8196734085805546,0.0,0.40777124989301355,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.38,3.8196734085805546,0.0,0.4134573381201405,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.39,3.8196734085805546,0.0,0.41925547781193945,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.4,3.8196734085805546,0.0,0.42516723978333576,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.41000000000000003,3.8196734085805546,0.0,0.4311941948492546,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.42,3.8196734085805546,0.0,0.4373379138246212,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.43,3.8196734085805546,0.0,0.4435999675243612,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.44,3.8196734085805546,0.0,0.44998192676339954,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.45,3.8196734085805546,0.0,0.45648536235666176,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.46,3.8196734085805546,0.0,0.46311184511907316,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.47000000000000003,3.8196734085805546,0.0,0.46986294586555893,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.48,3.8196734085805546,0.0,0.4767402354110444,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.49,3.8196734085805546,0.0,0.4837452845704549,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.5,3.8196734085805546,0.0,0.4908796641587158,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.51,3.8196734085805546,0.0,0.4981449449907524,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.52,3.8196734085805546,0.0,0.5055426978814899,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.53,3.8196734085805546,0.0,0.5130744936458537,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.54,3.8196734085805546,0.0,0.5207419030987691,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.55,3.8196734085805546,0.0,0.5285464970551613,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.56,3.8196734085805546,0.0,0.5364898463299559,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.5700000000000001,3.8196734085805546,0.0,0.5445735217380777,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.58,3.8196734085805546,0.0,0.5527990940944525,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.59,3.8196734085805546,0.0,0.5611681342140054,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.6,3.8196734085805546,0.0,0.5696822129116618,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.61,3.8196734085805546,0.0,0.5783429010023466,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.62,3.8196734085805546,0.0,0.5871517693009859,measured_F17_full_wan_model_H200,full Wan target forward only
