encoder,layer,history_centered_rank32_energy,history_token_normalized_rank32_energy,causal_rank32_projection_error,identity_stable_centered_error,local_bttb_stable_centered_error,local_bccb_stable_centered_error,local_bttb_relative_improvement,local_bccb_relative_improvement,residual_top10_energy,pixel_change_proxy_recall,centered_top1_energy,centered_effective_rank,collapsed_representation
Qwen3-VL,0,0.815280930704605,0.8193446979962942,0.4316381549979361,0.22372746862602408,0.22480429884818623,0.224531440500074,-0.004813133714761449,-0.0035935322514814875,0.4052901157367716,0.3725030260744547,0.09151635172453283,47.054832517106,False
Qwen3-VL,8,0.6599797327974156,0.6530600352491573,0.5911393910071584,0.33858263580232145,0.33921642808640434,0.3390703596171462,-0.0018718983700420017,-0.0014404867918551855,0.331764334008258,0.3552907410050267,0.10454427103221697,73.93118837682424,False
Qwen3-VL,16,0.7517356106134789,0.7047885453238959,0.5117439262580601,0.44244954430683153,0.43416763379921824,0.43332401327284553,0.018718316278499587,0.02062502075413506,0.3947290833271347,0.3110558753415896,0.18254691815031623,44.0280782543013,False
Qwen3-VL,26,0.9974697645691677,0.98778469372132,0.05259494825581111,0.721080522994753,0.681393214195984,0.6784920968574166,0.05503866424507186,0.059061956021860644,0.40592811513242355,0.140586001300287,0.9921572082041306,1.0811535749697463,True
LLaVA-CLIP,0,0.7059709217772451,0.7297170164344279,0.5352317579425423,0.35369417787734747,0.34674799158387865,0.34667817061991624,0.019638961362484157,0.01983636626290245,0.4596562005781269,0.39525122167285565,0.1100519689126201,68.99620880609051,False
LLaVA-CLIP,7,0.6038295723542891,0.6061470436767927,0.6285061841142069,0.28960002489709125,0.28687550682767854,0.28683299464570217,0.009407865452984193,0.009554661648845985,0.4291258248714683,0.4261133061198585,0.07651761202328615,117.78147937129258,False
LLaVA-CLIP,15,0.8861697522851943,0.6809509878173957,0.33609575522740504,0.6394417200462539,0.6395503342830016,0.6391745095911494,-0.00016985791408766275,0.0004178808587671496,0.8432201085508004,0.24907660686018002,0.6789256899358106,8.13739886844254,False
LLaVA-CLIP,22,0.8850370989407698,0.8105306245002941,0.33717296399429153,0.6127340226993108,0.5756912151764558,0.5755552862711939,0.060454954597866505,0.06067679458100162,0.6131107104589194,0.11956913296902857,0.49212746671349555,12.960865215587168,False
LLaVA-CLIP,23,0.8743250521825532,0.7939150803164061,0.35244639638608455,0.6180323889173395,0.5805435688489988,0.5803037328964691,0.06065834208788481,0.06104640581533748,0.6110482936141377,0.12033541649393281,0.48012938725794685,14.061653085651926,False
