sample_id,sample_position,layer_index,method,exact_group_count,visual_token_retention,visual_relative_l2,visual_worst_head_relative_l2,full_relative_l2,full_worst_head_relative_l2,certificate_relative,certificate_valid_head_fraction,bound_violation
vsi_question_3132,73,0,analytic_remainder,0,0.25,0.2096327692270279,0.459796279668808,0.03159631788730621,0.16042885184288025,nan,0.3214285969734192,0
vsi_question_3132,73,0,analytic_remainder,49,0.34375,0.06128208711743355,0.25073057413101196,0.021186815574765205,0.11573594808578491,nan,0.3214285969734192,0
vsi_question_3132,73,0,analytic_remainder,98,0.4375,0.04608961567282677,0.19643518328666687,0.016049791127443314,0.09629426151514053,nan,0.3214285969734192,0
vsi_question_3132,73,0,analytic_remainder,147,0.53125,0.03811675310134888,0.171352818608284,0.013288332149386406,0.08009695261716843,nan,0.3214285969734192,0
vsi_question_3132,73,0,analytic_remainder,196,0.625,0.030865231528878212,0.15828217566013336,0.010391405783593655,0.05421633645892143,nan,0.3214285969734192,0
vsi_question_3132,73,0,analytic_remainder,392,1.0,0.0,0.0,0.0,0.0,nan,0.3214285969734192,0
vsi_question_3132,73,0,attention_mass,0,0.25,0.2096327692270279,0.459796279668808,0.03159631788730621,0.16042885184288025,nan,0.3214285969734192,0
vsi_question_3132,73,0,attention_mass,49,0.34375,0.05297897756099701,0.22423720359802246,0.017852285876870155,0.09355518966913223,nan,0.3214285969734192,0
vsi_question_3132,73,0,attention_mass,98,0.4375,0.03398905694484711,0.12830029428005219,0.012166928499937057,0.07344244420528412,nan,0.3214285969734192,0
vsi_question_3132,73,0,attention_mass,147,0.53125,0.02344897761940956,0.07475180923938751,0.008731807582080364,0.06161343678832054,nan,0.3214285969734192,0
vsi_question_3132,73,0,attention_mass,196,0.625,0.01501272339373827,0.055732857435941696,0.006149415858089924,0.04707011207938194,nan,0.3214285969734192,0
vsi_question_3132,73,0,attention_mass,392,1.0,0.0,0.0,0.0,0.0,nan,0.3214285969734192,0
vsi_question_3132,73,0,exact_local_score,0,0.25,0.2096327692270279,0.459796279668808,0.03159631788730621,0.16042885184288025,nan,0.3214285969734192,0
vsi_question_3132,73,0,exact_local_score,49,0.34375,0.20067565143108368,0.5057346820831299,0.015801705420017242,0.08673445135354996,nan,0.3214285969734192,0
vsi_question_3132,73,0,exact_local_score,98,0.4375,0.030700750648975372,0.09992921352386475,0.010838979855179787,0.06827779114246368,nan,0.3214285969734192,0
vsi_question_3132,73,0,exact_local_score,147,0.53125,0.019626539200544357,0.06434907019138336,0.0074251191690564156,0.04567001387476921,nan,0.3214285969734192,0
vsi_question_3132,73,0,exact_local_score,196,0.625,0.012749705463647842,0.04493136703968048,0.00500423414632678,0.030015714466571808,nan,0.3214285969734192,0
vsi_question_3132,73,0,exact_local_score,392,1.0,0.0,0.0,0.0,0.0,nan,0.3214285969734192,0
vsi_question_3132,73,0,exact_greedy_oracle,0,0.25,0.2096327692270279,0.459796279668808,0.03159631788730621,0.16042885184288025,nan,0.3214285969734192,0
vsi_question_3132,73,0,exact_greedy_oracle,49,0.34375,0.04228288680315018,0.1829088032245636,0.01850278303027153,0.07809983938932419,nan,0.3214285969734192,0
vsi_question_3132,73,0,exact_greedy_oracle,98,0.4375,0.03172791376709938,0.15449018776416779,0.014669555239379406,0.06515158712863922,nan,0.3214285969734192,0
vsi_question_3132,73,0,exact_greedy_oracle,147,0.53125,0.02123953402042389,0.06859827041625977,0.010782306082546711,0.0556313693523407,nan,0.3214285969734192,0
vsi_question_3132,73,0,exact_greedy_oracle,196,0.625,0.0185227207839489,0.06469521671533585,0.009077534079551697,0.050614193081855774,nan,0.3214285969734192,0
vsi_question_3132,73,0,exact_greedy_oracle,392,1.0,0.0,0.0,0.0,0.0,nan,0.3214285969734192,0
vsi_question_3132,73,0,fixed_random,0,0.25,0.2096327692270279,0.459796279668808,0.03159631788730621,0.16042885184288025,nan,0.3214285969734192,0
vsi_question_3132,73,0,fixed_random,49,0.34375,0.2282545566558838,0.5152670741081238,0.027805522084236145,0.1299165040254593,nan,0.3214285969734192,0
vsi_question_3132,73,0,fixed_random,98,0.4375,0.18261310458183289,0.42278698086738586,0.023059135302901268,0.10765140503644943,nan,0.3214285969734192,0
vsi_question_3132,73,0,fixed_random,147,0.53125,0.1670139729976654,0.391751766204834,0.019182709977030754,0.09270061552524567,nan,0.3214285969734192,0
vsi_question_3132,73,0,fixed_random,196,0.625,0.165534108877182,0.39495185017585754,0.016351230442523956,0.07405955344438553,nan,0.3214285969734192,0
vsi_question_3132,73,0,fixed_random,392,1.0,0.0,0.0,0.0,0.0,nan,0.3214285969734192,0
vsi_question_3132,73,13,analytic_remainder,0,0.25,0.6275526881217957,0.7681570053100586,0.04488544911146164,0.12096819281578064,nan,0.0,0
vsi_question_3132,73,13,analytic_remainder,49,0.34375,0.17276868224143982,0.4601365029811859,0.014510770328342915,0.03747406601905823,nan,0.0,0
vsi_question_3132,73,13,analytic_remainder,98,0.4375,0.10088295489549637,0.1633252650499344,0.007648905739188194,0.026797857135534286,nan,0.0,0
vsi_question_3132,73,13,analytic_remainder,147,0.53125,0.061464451253414154,0.1144048422574997,0.004831819329410791,0.01877805031836033,nan,0.0,0
