prompt_index,seed_index,prompt,method,mode,cache_method,method_order_index,seed,status,seconds_including_text_and_vae,self_attention_calls,cross_attention_calls,peak_allocated_mib,video_file,video_sha256,teacache_threshold,model_forwards,computed_model_forwards,cached_model_forwards,computed_call_indices,cached_call_indices,cached_model_forward_fraction,precision_refresh_interval,precision_middle_steps,precision_boundary_steps,precision_model_forwards,precision_dense_model_forwards,precision_approximate_model_forwards,precision_approximate_fraction,hybrid_linear_count,hybrid_dense_calls,hybrid_fp8_calls,hybrid_residual_calls,static_scale_min,static_scale_max
0,0,A red panda runs through a bamboo forest while the camera tracks smoothly.,dense,dense,fa3_bf16,0,20260723,ok,6.00174718501512,1200,1200,21533.6728515625,p00_dense_seed20260723.mp4,05e9c5f36db0801e12f5ceae616a122ee3aa3964ab365ae740b677128d7d5742,,40,40,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39,,0.0,0,0,2,40,40,0,0.0,60,2400,0,0,0.0075439452193677425,0.05654297024011612
0,0,A red panda runs through a bamboo forest while the camera tracks smoothly.,fp8_middle1,fp8,fa3_bf16,1,20260723,ok,5.9611164609959815,1200,1200,21533.6728515625,p00_fp8_middle1_seed20260723.mp4,461376b63de52b9e1702d541766d0742783e50d3df44d60ce34e701f4d428358,,40,40,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39,,0.0,0,1,2,40,38,2,0.05,60,2280,120,0,0.0075439452193677425,0.05654297024011612
0,0,A red panda runs through a bamboo forest while the camera tracks smoothly.,hybrid_middle1,hybrid,fa3_bf16,2,20260723,ok,5.908147276000818,1200,1200,21532.7978515625,p00_hybrid_middle1_seed20260723.mp4,01d0fe908b9c69f55b78c00218d3d2ff7184bad5a712382cb854f35cf37138ba,,40,40,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39,,0.0,0,1,2,40,38,2,0.05,60,2280,120,120,0.0075439452193677425,0.05654297024011612
1,0,"A dancer in a flowing red dress spins in the rain on a reflective city street, cinematic slow camera orbit.",fp8_middle1,fp8,fa3_bf16,0,20260723,ok,5.9577832039794885,1200,1200,21533.6728515625,p01_fp8_middle1_seed20260723.mp4,b4cf1f446b82cf633dd65c02a916fa0e0cf78cb457664c4a30a6e215a79a4c90,,40,40,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39,,0.0,0,1,2,40,38,2,0.05,60,2280,120,0,0.0075439452193677425,0.05654297024011612
1,0,"A dancer in a flowing red dress spins in the rain on a reflective city street, cinematic slow camera orbit.",hybrid_middle1,hybrid,fa3_bf16,1,20260723,ok,5.977287482994143,1200,1200,21532.7978515625,p01_hybrid_middle1_seed20260723.mp4,62d37df2f0f41f2920db63b65f25a79ee11b3617362a34a914a1c38787815a77,,40,40,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39,,0.0,0,1,2,40,38,2,0.05,60,2280,120,120,0.0075439452193677425,0.05654297024011612
1,0,"A dancer in a flowing red dress spins in the rain on a reflective city street, cinematic slow camera orbit.",dense,dense,fa3_bf16,2,20260723,ok,6.096583982987795,1200,1200,21533.6728515625,p01_dense_seed20260723.mp4,b503aaa3ce94ca5cb9a7bc70f8e8009dbdb3c0764802969449ec7d1ee6e589a0,,40,40,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39,,0.0,0,0,2,40,40,0,0.0,60,2400,0,0,0.0075439452193677425,0.05654297024011612
