sample_id,method,teacher_index,competitor_index,baseline_margin,exact_shift,exact_final_margin,normalized_adverse_shift
vsi_question_5065,source_pca_r456,0,1,0.0,0.0,0.0,0.0
vsi_question_5065,source_pca_r456,0,2,0.25,-0.125,0.125,0.5
vsi_question_5065,source_pca_r456,0,3,0.125,-0.125,0.0,1.0
vsi_question_5065,target_pca_r456,0,1,0.0,0.0,0.0,0.0
vsi_question_5065,target_pca_r456,0,2,0.25,-0.125,0.125,0.5
vsi_question_5065,target_pca_r456,0,3,0.125,0.0,0.125,0.0
vsi_question_5065,vsi_pca_train96_r456,0,1,0.0,0.0,0.0,0.0
vsi_question_5065,vsi_pca_train96_r456,0,2,0.25,-0.125,0.125,0.5
vsi_question_5065,vsi_pca_train96_r456,0,3,0.125,0.0,0.125,0.0
vsi_question_5065,pooled3_pca_r456,0,1,0.0,0.0,0.0,0.0
vsi_question_5065,pooled3_pca_r456,0,2,0.25,-0.125,0.125,0.5
vsi_question_5065,pooled3_pca_r456,0,3,0.125,0.0,0.125,0.0
vsi_question_5065,cmrq_risk_atoms32_r456,0,1,0.0,0.0,0.0,0.0
vsi_question_5065,cmrq_risk_atoms32_r456,0,2,0.25,0.0,0.25,0.0
vsi_question_5065,cmrq_risk_atoms32_r456,0,3,0.125,0.0,0.125,0.0
vsi_question_5065,feature_only_null_atoms32_r456,0,1,0.0,0.125,0.125,0.0
vsi_question_5065,feature_only_null_atoms32_r456,0,2,0.25,0.0,0.25,0.0
vsi_question_5065,feature_only_null_atoms32_r456,0,3,0.125,0.0,0.125,0.0
vsi_question_5065,random_null_atoms32_r456,0,1,0.0,0.0,0.0,0.0
vsi_question_5065,random_null_atoms32_r456,0,2,0.25,-0.125,0.125,0.5
vsi_question_5065,random_null_atoms32_r456,0,3,0.125,0.0,0.125,0.0
vsi_question_5065,permuted_risk_null_atoms32_r456,0,1,0.0,0.0,0.0,0.0
vsi_question_5065,permuted_risk_null_atoms32_r456,0,2,0.25,-0.125,0.125,0.5
vsi_question_5065,permuted_risk_null_atoms32_r456,0,3,0.125,-0.125,0.0,1.0
vsi_question_5065,cmrq_mix_g32_w0p0003_r456,0,1,0.0,0.0,0.0,0.0
vsi_question_5065,cmrq_mix_g32_w0p0003_r456,0,2,0.25,-0.125,0.125,0.5
vsi_question_5065,cmrq_mix_g32_w0p0003_r456,0,3,0.125,0.0,0.125,0.0
vsi_question_5065,permuted_mix_g32_w0p0003_r456,0,1,0.0,0.125,0.125,0.0
vsi_question_5065,permuted_mix_g32_w0p0003_r456,0,2,0.25,0.0,0.25,0.0
vsi_question_5065,permuted_mix_g32_w0p0003_r456,0,3,0.125,0.0,0.125,0.0
vsi_question_5065,cmrq_mix_g32_w0p001_r456,0,1,0.0,0.0,0.0,0.0
vsi_question_5065,cmrq_mix_g32_w0p001_r456,0,2,0.25,-0.125,0.125,0.5
vsi_question_5065,cmrq_mix_g32_w0p001_r456,0,3,0.125,0.0,0.125,0.0
vsi_question_5065,permuted_mix_g32_w0p001_r456,0,1,0.0,0.125,0.125,0.0
vsi_question_5065,permuted_mix_g32_w0p001_r456,0,2,0.25,0.0,0.25,0.0
vsi_question_5065,permuted_mix_g32_w0p001_r456,0,3,0.125,0.0,0.125,0.0
vsi_question_5065,cmrq_mix_g32_w0p003_r456,0,1,0.0,0.0,0.0,0.0
vsi_question_5065,cmrq_mix_g32_w0p003_r456,0,2,0.25,-0.125,0.125,0.5
vsi_question_5065,cmrq_mix_g32_w0p003_r456,0,3,0.125,0.0,0.125,0.0
vsi_question_5065,permuted_mix_g32_w0p003_r456,0,1,0.0,-0.125,-0.125,2.5
vsi_question_5065,permuted_mix_g32_w0p003_r456,0,2,0.25,-0.125,0.125,0.5
vsi_question_5065,permuted_mix_g32_w0p003_r456,0,3,0.125,-0.125,0.0,1.0
vsi_question_5065,cmrq_mix_g32_w0p01_r456,0,1,0.0,0.0,0.0,0.0
vsi_question_5065,cmrq_mix_g32_w0p01_r456,0,2,0.25,0.0,0.25,0.0
vsi_question_5065,cmrq_mix_g32_w0p01_r456,0,3,0.125,0.0,0.125,0.0
