head,tokens,head_dim,query_samples,geometry_mask,geometry_mass_mean,geometry_mass_p05,geometry_mass_p50,geometry_mass_p95,actual_normalized_entropy_mean,actual_normalized_entropy_p05,actual_normalized_entropy_p50,actual_normalized_entropy_p95,actual_entropy_support_fraction_mean,actual_entropy_support_fraction_p05,actual_entropy_support_fraction_p50,actual_entropy_support_fraction_p95,actual_participation_support_fraction_mean,actual_participation_support_fraction_p05,actual_participation_support_fraction_p50,actual_participation_support_fraction_p95,actual_max_probability_mean,actual_max_probability_p05,actual_max_probability_p50,actual_max_probability_p95,actual_top64_mass_mean,actual_top64_mass_p05,actual_top64_mass_p50,actual_top64_mass_p95,actual_top128_mass_mean,actual_top128_mass_p05,actual_top128_mass_p50,actual_top128_mass_p95,actual_top256_mass_mean,actual_top256_mass_p05,actual_top256_mass_p50,actual_top256_mass_p95,actual_top512_mass_mean,actual_top512_mass_p05,actual_top512_mass_p50,actual_top512_mass_p95,actual_top1024_mass_mean,actual_top1024_mass_p05,actual_top1024_mass_p50,actual_top1024_mass_p95,actual_top2048_mass_mean,actual_top2048_mass_p05,actual_top2048_mass_p50,actual_top2048_mass_p95,actual_top4096_mass_mean,actual_top4096_mass_p05,actual_top4096_mass_p50,actual_top4096_mass_p95,gaussian_normalized_entropy_mean,gaussian_normalized_entropy_p05,gaussian_normalized_entropy_p50,gaussian_normalized_entropy_p95,gaussian_entropy_support_fraction_mean,gaussian_entropy_support_fraction_p05,gaussian_entropy_support_fraction_p50,gaussian_entropy_support_fraction_p95,gaussian_participation_support_fraction_mean,gaussian_participation_support_fraction_p05,gaussian_participation_support_fraction_p50,gaussian_participation_support_fraction_p95,gaussian_max_probability_mean,gaussian_max_probability_p05,gaussian_max_probability_p50,gaussian_max_probability_p95,gaussian_top64_mass_mean,gaussian_top64_mass_p05,gaussian_top64_mass_p50,gaussian_top64_mass_p95,gaussian_top128_mass_mean,gaussian_top128_mass_p05,gaussian_top128_mass_p50,gaussian_top128_mass_p95,gaussian_top256_mass_mean,gaussian_top256_mass_p05,gaussian_top256_mass_p50,gaussian_top256_mass_p95,gaussian_top512_mass_mean,gaussian_top512_mass_p05,gaussian_top512_mass_p50,gaussian_top512_mass_p95,gaussian_top1024_mass_mean,gaussian_top1024_mass_p05,gaussian_top1024_mass_p50,gaussian_top1024_mass_p95,gaussian_top2048_mass_mean,gaussian_top2048_mass_p05,gaussian_top2048_mass_p50,gaussian_top2048_mass_p95,gaussian_top4096_mass_mean,gaussian_top4096_mass_p05,gaussian_top4096_mass_p50,gaussian_top4096_mass_p95,q_mp_lower,q_mp_upper,q_eigen_max,q_stable_rank,q_outliers_above_mp,q_top8_energy,k_mp_lower,k_mp_upper,k_eigen_max,k_stable_rank,k_outliers_above_mp,k_top8_energy
0,32760,128,128,s3_temporal_pm2,0.17064540047431365,0.09507803805172443,0.16507567465305328,0.2506635919213294,0.9547617570497096,0.940208089351654,0.9550558030605316,0.9653037905693054,0.6271687461994588,0.537064677476883,0.6267023086547852,0.6971639961004257,0.45338738919235766,0.35837176740169524,0.45543067157268524,0.5235896736383439,0.0003409573238286612,0.00025166160048684105,0.0003315173671580851,0.0004521568480413407,0.01422632065077778,0.011867263400927187,0.013801244553178549,0.018180874083191155,0.02601843242882751,0.02198568806052208,0.025278843939304352,0.03303077798336744,0.04730284452671185,0.04018685817718506,0.04580443911254406,0.05963575094938277,0.08520246151601896,0.07248687893152236,0.08294952288269997,0.10679133795201776,0.1513269796851091,0.13000580295920372,0.1475907489657402,0.1883976832032203,0.2622360304230824,0.22962351962924005,0.2569974958896637,0.31981761455535884,0.43240960291586816,0.38660350590944287,0.4257306456565857,0.5070657819509506,0.9519071034155786,0.9352189272642135,0.9515847265720367,0.9663888812065125,0.6100521690677851,0.5099074333906174,0.6044893562793732,0.7050739079713821,0.37692869175225496,0.2654561400413513,0.361854612827301,0.4988018870353699,0.0012847369398514275,0.0005480613239342348,0.0011692832340486348,0.002515881473664194,0.029864184725738596,0.01967606581747532,0.029913336969912052,0.04201435111463069,0.0486997088737553,0.0335935328155756,0.04876204580068588,0.06606799736618994,0.07839768889243715,0.0564169367775321,0.07875031605362892,0.10266731381416319,0.12442272319458425,0.09309248402714729,0.12478094920516014,0.15890328809618948,0.1939573553390801,0.1512972243130207,0.19412600249052048,0.2407527483999729,0.29578869056422263,0.24158750772476195,0.2968439757823944,0.3550721570849419,0.438367917900905,0.3764285251498223,0.44146083295345306,0.5055872172117233,0.8788919423236052,1.1289224654908026,19.831928253173828,6.454436496274829,30,0.44924542831479586,0.8788919423236052,1.1289224654908026,15.247112274169922,8.395289495286267,31,0.36638359301288076
1,32760,128,128,s3_temporal_pm2,0.7284659799188375,0.6522730439901352,0.7282216846942902,0.8076134920120239,0.6179240993224084,0.5674297779798507,0.6234008371829987,0.6543230772018432,0.019569219988625264,0.011138201504945756,0.019931260496377945,0.0274884526617825,0.007774834579322487,0.004083910956978798,0.007968944031745195,0.011239591054618359,0.016358147411665414,0.009731823205947876,0.01472473843023181,0.024430551845580337,0.43443420133553445,0.3406542956829071,0.4127938598394394,0.5674322247505188,0.5919162763748318,0.49847659915685655,0.5792240500450134,0.7199160724878311,0.732553563080728,0.6572321712970733,0.72562575340271,0.824085322022438,0.8390775262378156,0.7797900140285492,0.8371462821960449,0.9006167322397232,0.9130296558141708,0.8778492152690887,0.9132097661495209,0.9491718649864196,0.9605338079854846,0.9430331140756607,0.9607899487018585,0.9772690892219544,0.9862131550908089,0.9790055185556412,0.9865841865539551,0.9930843114852905,0.5572748188860714,0.42269087582826614,0.5708847939968109,0.6575183272361755,0.012573384527513554,0.0024736626888625327,0.011545085348188877,0.028440178185701354,0.0019292837098419113,0.00024407906676060523,0.0014365537790581584,0.005142085393890736,0.13142693195550237,0.03700210805982351,0.10033980756998062,0.3177173689007759,0.5740854397881776,0.41911092549562456,0.5689833462238312,0.7519026637077328,0.663858670508489,0.519496887922287,0.6594904959201813,0.8130184471607207,0.7496836106292903,0.6273943394422531,0.7518165111541748,0.8658909618854522,0.8273382997140288,0.7299288392066956,0.8322679102420807,0.9124698966741561,0.8923038891516626,0.8227378875017166,0.8968932330608368,0.9492688715457915,0.9415793078951538,0.8967727243900299,0.9446786940097809,0.974260014295578,0.9744932018220425,0.9503487795591354,0.9762715399265289,0.990053516626358,0.8788919423236052,1.1289224654908026,7.057223320007324,18.137996374341473,40,0.27319158150514555,0.8788919423236052,1.1289224654908026,5.896248817443848,21.709380016546262,41,0.29834757721665295
2,32760,128,128,s3_temporal_pm2,0.07192584038421046,0.03595511242747307,0.07088366895914078,0.10902367047965525,0.9923748099245131,0.9913065671920777,0.9923422336578369,0.993654990196228,0.9238058570772409,0.9135787427425384,0.9234691560268402,0.9361597776412963,0.8553710277192295,0.8374763935804367,0.8537241220474243,0.8775170743465424,0.0001617163304672431,0.00012872818551841193,0.00015634614101145416,0.00022405445197364314,0.006461688197305193,0.00583291770890355,0.006498617120087147,0.007032471592538059,0.011796091515861917,0.010767472721636296,0.01187952235341072,0.012695545610040425,0.021453850087709725,0.01978757120668888,0.021490540355443954,0.023028887063264846,0.03887203658814542,0.03619050849229097,0.038964204490184784,0.041338009387254716,0.07014030794380233,0.0658262498676777,0.0704168751835823,0.0736627746373415,0.12572180421557277,0.1190072663128376,0.12621501088142395,0.13111179172992707,0.22304909187369049,0.21317645907402039,0.2238759621977806,0.23091948553919792,0.9920584219507873,0.9909160792827607,0.9920471906661987,0.9934109926223755,0.9207744500599802,0.9098774909973144,0.9206407368183136,0.9337879121303558,0.8478945759125054,0.8277805984020233,0.8474702835083008,0.8718640893697738,0.00014894925220687583,0.00012378109313431195,0.0001477818877901882,0.00017761230847099794,0.006573819049663143,0.005981108359992504,0.00662904535420239,0.007134279096499085,0.012097317376174033,0.011013799393549562,0.012178305070847273,0.01300699389539659,0.02214175064000301,0.020290607307106256,0.022244654595851898,0.02369402516633272,0.040264237934025005,0.03726406656205654,0.04039949178695679,0.04282698892056942,0.07264152204152197,0.06802897416055204,0.07273100316524506,0.0766834694892168,0.12970220722490922,0.12252901569008827,0.12972746044397354,0.13575850427150726,0.2284070923924446,0.21795538142323495,0.22865114361047745,0.23714582175016402,0.8788919423236052,1.1289224654908026,16.623493194580078,7.700180987936662,29,0.4465997124282859,0.8788919423236052,1.1289224654908026,21.01927947998047,6.089833211072511,32,0.3804546718125362
3,32760,128,128,s3_temporal_pm2,0.059069244598504156,0.028750398848205804,0.05637070909142494,0.09056245721876621,0.9960662978701293,0.995635062456131,0.9960536658763885,0.9964538305997848,0.9599296622909606,0.9556318491697312,0.9598000049591064,0.9638015151023864,0.920528148766607,0.9122431427240372,0.9203424453735352,0.9280475705862046,0.00011642437272030293,9.487168135819958e-05,0.00011363889279891737,0.00014268898157752117,0.005133612827194156,0.004820689372718334,0.005148321622982621,0.005459710583090782,0.009506974049145356,0.009007971780374645,0.00952935079112649,0.009968185191974043,0.017535727689391933,0.01676461212337017,0.0175842409953475,0.018236085399985315,0.032225264119915664,0.030954185873270035,0.03232165612280369,0.033355876244604586,0.05898663858533837,0.057020874693989754,0.05916753225028515,0.060779130458831786,0.10746564768487588,0.10458574220538139,0.10756760835647583,0.11032536551356315,0.19443000270985067,0.19049445539712906,0.19453565031290054,0.19845742136240005,0.9961091079749167,0.995677039027214,0.9961146116256714,0.9965148329734802,0.9603569484315813,0.95604926943779,0.9604084491729736,0.9644130617380142,0.9223048062995076,0.9138445377349853,0.9224338233470917,0.9301348954439164,9.502611612788314e-05,8.434413066424896e-05,9.356764348922297e-05,0.00011140373608213848,0.004645156834158115,0.004419833375141024,0.004642915446311235,0.004888165602460503,0.008761848817812279,0.00838691759854555,0.008765926118940115,0.009159543365240098,0.016457158933917526,0.015829384326934814,0.016451001167297363,0.017140212841331957,0.030773979611694813,0.02967536710202694,0.030799971893429756,0.03191472124308348,0.05722914886428043,0.05542634036391973,0.057231731712818146,0.059144374914467335,0.10567931388504803,0.10280547104775906,0.1056419238448143,0.10869899541139602,0.19323902437463403,0.18915854319930075,0.1931881085038185,0.1976302459836006,0.8788919423236052,1.1289224654908026,7.799073219299316,16.412709293719026,34,0.3342383027978159,0.8788919423236052,1.1289224654908026,11.440471649169922,11.188692689787537,32,0.3254488539271999
4,32760,128,128,s3_temporal_pm2,0.9370511677116156,0.6497696489095688,0.9585464000701904,0.972345969080925,0.3780035926029086,0.31923839896917344,0.3804544508457184,0.4569537311792373,0.001719255859597979,0.0008436085394350813,0.0015942648169584572,0.0035319835296832016,0.0006393205499080068,0.0003329661863972433,0.0006352466007228941,0.0010039968998171382,0.13776285771746188,0.09063242860138417,0.13242875039577484,0.20993211269378653,0.8822905677370727,0.7512793898582459,0.8920657336711884,0.9356575012207031,0.9323651730082929,0.8604810178279876,0.9396881759166718,0.9639449298381806,0.9661113889887929,0.9310264557600021,0.9700121283531189,0.9837038040161132,0.986270465888083,0.9706871271133424,0.9881325960159302,0.9944361239671706,0.9955366556532681,0.9883686125278472,0.9964146614074707,0.9983548372983932,0.9988294802606106,0.9962982952594758,0.9991395771503448,0.9995849817991257,0.9997852379456162,0.9993887901306153,0.9998478591442108,0.9999422252178192,0.28883215900714276,0.06360035408288241,0.29743702709674835,0.44976287186145775,0.001003491082911978,5.925130881223595e-05,0.0006725204002577811,0.003281475347466764,0.00030640569517004224,3.8160689473443196e-05,0.0002039447208517231,0.0008792103442829101,0.3689875155687332,0.11067586168646812,0.31336982548236847,0.8916799128055573,0.9104878082871437,0.7796939671039582,0.9292448461055756,0.9907797187566758,0.9466426875442266,0.8612685799598694,0.9604431390762329,0.9947823762893676,0.9708163691684604,0.918339091539383,0.9781800210475922,0.99725082218647,0.9857664802111685,0.9571569830179214,0.9897574782371521,0.9987747848033905,0.9939600615762174,0.9805877327919006,0.9956958293914795,0.9995108664035797,0.9979093293659389,0.9929226040840149,0.9985790252685547,0.9998535662889481,0.9994611837901175,0.9980783432722091,0.9996601641178131,0.999972915649414,0.8788919423236052,1.1289224654908026,6.413156986236572,19.95957786854621,40,0.26632858155764594,0.8788919423236052,1.1289224654908026,6.343022346496582,20.180272828376363,38,0.3053151707650558
5,32760,128,128,s3_temporal_pm2,0.9396314970217645,0.8063314080238342,0.9531795680522919,0.9736751765012741,0.49207892268896103,0.4408710539340973,0.4963819086551666,0.5394952744245529,0.005337877664715052,0.002987767895683646,0.005321053555235267,0.008330357959493995,0.002277796354974271,0.0012796902272384613,0.0023607925977557898,0.003174046112690121,0.041993025442934595,0.027696204558014872,0.03711794875562191,0.06794170513749116,0.7241728873923421,0.6097267955541611,0.7154422402381897,0.8354329407215118,0.8391964859329164,0.746071743965149,0.8448021411895752,0.9073891490697861,0.9123982498422265,0.8476624041795731,0.9178629517555237,0.9516567051410675,0.9580072951503098,0.9181858330965043,0.9617841243743896,0.979020282626152,0.985102747566998,0.9678064256906509,0.9870475828647614,0.9940624833106995,0.9962387052364647,0.9907380431890487,0.9971259534358978,0.9987255007028579,0.9992649625055492,0.9979179501533508,0.9995208382606506,0.9998211920261383,0.31818075921182754,0.1238590806722641,0.3181356340646744,0.4618865072727203,0.0013534963114807397,0.00011080137628596276,0.0008339694759342819,0.003720266511663792,0.00034085059564858966,4.888652492809342e-05,0.00022525621170643717,0.0008811230276478451,0.34285886446014047,0.10316619277000427,0.29199109971523285,0.7873589932918548,0.8813358969055116,0.7390209019184113,0.9024521708488464,0.9749261260032653,0.9248954746872187,0.8273880749940872,0.93982994556427,0.985153529047966,0.9562466782517731,0.8930022567510605,0.966906875371933,0.9925271898508072,0.9771594782359898,0.9424688935279846,0.9845926761627197,0.9966365993022919,0.9895290811546147,0.9701992273330688,0.993403971195221,0.9986652374267577,0.9960046233609319,0.9870061486959458,0.9976735711097717,0.9995877772569656,0.9988383897580206,0.9957196325063705,0.9994129836559296,0.9999122232198716,0.8788919423236052,1.1289224654908026,4.792985439300537,26.70650847390853,41,0.2535755139194055,0.8788919423236052,1.1289224654908026,7.247874736785889,17.660890420624614,37,0.32922731501818187
6,32760,128,128,s3_temporal_pm2,0.653630010318011,0.526945099234581,0.6535357236862183,0.7671317696571349,0.7225266238674521,0.6900274246931075,0.723196417093277,0.7574464023113251,0.05719009712629486,0.03985088262706995,0.05625186860561371,0.0803140815347433,0.029075220176309813,0.017597333434969185,0.028628804720938206,0.042568125389516355,0.005281349343931652,0.00308769476832822,0.005107273580506444,0.008776499982923267,0.1780877963756211,0.12309621982276439,0.17219042778015137,0.2521228320896625,0.2866981460247189,0.20876867324113846,0.2804657816886902,0.3841856196522712,0.4342983865644783,0.33764654994010923,0.429797500371933,0.5401313900947569,0.608228380093351,0.5063118636608124,0.6077479720115662,0.6914727419614791,0.7769709280692041,0.6964177638292313,0.7805113792419434,0.8350583374500273,0.9051557257771492,0.855403584241867,0.9126625955104828,0.9397868454456328,0.9719124548137188,0.9494170993566513,0.9757008850574493,0.9856746107339858,0.5515096075832844,0.39848265349864964,0.5564965903759003,0.6722256302833557,0.01321060855389078,0.001923169696237892,0.009941472206264734,0.033113649301230896,0.002109498316144709,0.00021599247411359103,0.0013828199589625,0.006663255975581699,0.13318795900704572,0.026363479904830456,0.1022200845181942,0.3729508623480794,0.5834623004775494,0.3929850116372109,0.5924115478992462,0.7815319836139678,0.6694807640742511,0.49731408059597015,0.6850874125957489,0.8396222680807113,0.7525021331384778,0.60126533806324,0.7698908746242523,0.8918337494134903,0.8277337392792106,0.7041729450225831,0.8430899977684021,0.9323497354984283,0.8913256651721895,0.7957124829292297,0.9032877385616302,0.9624585181474685,0.9401945457793772,0.8758962690830231,0.9477238953113556,0.9827549576759339,0.9732754873111844,0.9384850829839706,0.977592796087265,0.9938226103782652,0.8788919423236052,1.1289224654908026,8.53858757019043,14.991228989168086,32,0.35392511382648306,0.8788919423236052,1.1289224654908026,6.219742298126221,20.58025881370726,38,0.29989817453233236
7,32760,128,128,s3_temporal_pm2,0.679533799411729,0.5815780282020568,0.6978950202465057,0.7696142137050629,0.7182780709117651,0.6767715275287628,0.716518223285675,0.7581756621599197,0.05554072117956821,0.03471499960869551,0.052478598430752754,0.08097172453999514,0.020098206208785996,0.01075207656249404,0.020021341741085052,0.029546408727765074,0.007836189477529842,0.004907296528108418,0.006916354643180966,0.014193301554769274,0.2515706631820649,0.1859383061528206,0.23765094578266144,0.35866711288690556,0.3763927922118455,0.2862945914268494,0.36407458782196045,0.48966535627841945,0.5153751319739968,0.4186450347304344,0.5151133835315704,0.6127817571163178,0.6491495028603822,0.5606253564357757,0.6569828987121582,0.723298504948616,0.7687136381864548,0.6906191736459732,0.7759989202022552,0.8233723372220993,0.8686586613766849,0.8118409961462021,0.8761751055717468,0.9086123347282409,0.9395995116792619,0.9050281703472137,0.9434552490711212,0.9610327959060669,0.6940815781708807,0.6180613219738007,0.6935121119022369,0.7662847340106964,0.04701137896608998,0.018872006330639124,0.041316231712698936,0.08809503056108946,0.006936259061603778,0.0011626093648374081,0.0056959958747029305,0.01695487760007381,0.06088716742669931,0.0151331071741879,0.04189187474548817,0.15025598406791682,0.35945779422763735,0.24711818471550942,0.3623950481414795,0.4805276021361351,0.44623851077631116,0.3247319579124451,0.45395612716674805,0.5548301428556441,0.5420232247561216,0.4162358283996582,0.554994136095047,0.6399677395820617,0.6429048322606832,0.5220528483390808,0.655186802148819,0.7284564793109893,0.7436725660227239,0.6384858369827271,0.7555674910545349,0.8115152448415757,0.8364944108761847,0.7553835660219193,0.8461124897003174,0.888068288564682,0.9129656031727791,0.8608104616403579,0.9198523759841919,0.9452270686626434,0.8788919423236052,1.1289224654908026,11.620527267456055,11.0153281828503,35,0.36626498340359515,0.8788919423236052,1.1289224654908026,6.591400146484375,19.419833138105535,36,0.3184154098117945
8,32760,128,128,s3_temporal_pm2,0.06417940217943396,0.03137309420853853,0.06125470995903015,0.09828013107180594,0.9965886012651026,0.9960991561412812,0.9965929687023163,0.9971122056245804,0.9651586255058646,0.9602540284395218,0.9651968479156494,0.970421451330185,0.930971662979573,0.9215639501810075,0.9307237267494202,0.9411664664745332,0.00010486939316933785,8.755316521273925e-05,0.00010250179911963642,0.00013008774767513386,0.004797072564542759,0.0044354734709486365,0.004796553170308471,0.0052039585774764415,0.008919617663195822,0.008357661496847867,0.008931546937674284,0.00961393378674984,0.016538033298274968,0.015574909653514622,0.016559870913624763,0.017610585130751134,0.03057286013790872,0.0289796213619411,0.03060782141983509,0.03216855246573687,0.056339176691835746,0.053955473378300665,0.05639491602778435,0.058850144222378734,0.1034053869661875,0.0998523335903883,0.10352504253387451,0.10698174312710762,0.18863444332964718,0.18364571034908295,0.18885468691587448,0.19390189200639724,0.9966108212247491,0.9960335314273834,0.9966311454772949,0.9971742659807206,0.9653821680694818,0.9595992416143417,0.9655798375606537,0.9710479974746704,0.9319790974259377,0.9208270996809005,0.932373434305191,0.942905530333519,8.879069008571605e-05,7.792260221322067e-05,8.835519474814646e-05,0.00010365673588239587,0.004390378137031803,0.004095028364099562,0.00438918243162334,0.004651437466964126,0.008313253441883717,0.007796934852376581,0.008310345467180014,0.008766492223367095,0.015686557853769045,0.014773234352469446,0.01567593589425087,0.01653128219768405,0.029473435730324127,0.02793453251942992,0.02947783377021551,0.030966924130916593,0.0550824603124056,0.05257411636412144,0.055064305663108826,0.057535553723573676,0.10224326862953603,0.0982433196157217,0.10217412188649178,0.10618679039180279,0.1880652168765664,0.18202948719263076,0.18786360323429108,0.1940560698509216,0.8788919423236052,1.1289224654908026,9.786073684692383,13.080210754005138,33,0.35696490013427323,0.8788919423236052,1.1289224654908026,8.127043724060059,15.750365150742981,32,0.3066478071405139
9,32760,128,128,s3_temporal_pm2,0.08780624404607806,0.04293931294232607,0.08306267857551575,0.13979501128196714,0.982674662489444,0.978145533800125,0.9818276166915894,0.9877979606389999,0.8356845309026539,0.7967452645301819,0.8278379738330841,0.8808528780937195,0.7002365803346038,0.626391738653183,0.6896992027759552,0.7734962373971939,0.00032371433565003827,0.0002200531947892159,0.00031352328369393945,0.0004626605630619451,0.011295879958197474,0.009299421636387705,0.011101598385721445,0.013876357628032566,0.019746778038097546,0.01644795332103968,0.01935163512825966,0.02380165960639715,0.03436662629246712,0.028856994491070508,0.03393930941820145,0.04072736892849207,0.05938778890413232,0.05037213675677776,0.05870122276246548,0.06981707140803337,0.1018301528529264,0.08757358901202679,0.10106585547327995,0.11837262548506258,0.17290172900538892,0.1506883606314659,0.17218993604183197,0.19822935611009596,0.28920183214358985,0.2567944765090942,0.2900049686431885,0.3241343259811401,0.9827818567864597,0.9791996747255326,0.9821418523788452,0.9875059485435487,0.8364525977522135,0.8055253624916077,0.8305469751358032,0.8781827688217163,0.7003748216666281,0.6497317790985107,0.6902381181716919,0.7707413405179977,0.0003045320867158807,0.000211336027859943,0.00029674716643057764,0.00043871949455933637,0.011093566565250512,0.008757753390818834,0.011391698382794857,0.013187786610797048,0.01962617652316112,0.015789165813475847,0.020162442699074745,0.02284046281129122,0.03444876738649327,0.028285098075866696,0.03528675250709057,0.03923345841467381,0.059890661272220314,0.050247832760214814,0.06119631975889206,0.0669755544513464,0.10295947885606438,0.08807590752840042,0.1049019880592823,0.11392829678952694,0.17446405568625778,0.15270911529660225,0.17751239985227585,0.18995848968625068,0.2900182658340782,0.26083164662122726,0.2941933870315552,0.3112512677907944,0.8788919423236052,1.1289224654908026,16.549015045166016,7.734835330117733,30,0.4413497763225152,0.8788919423236052,1.1289224654908026,18.255603790283203,7.011760497175169,31,0.3734439343105414
