block,projection,bits,method,rank,clip,sparse_ratio,validation_relative_l2,test_relative_l2,defect_energy_captured_test,subspace_overlap,correction_vs_quant_error_cosine,residual_vs_correction_cosine,estimated_stored_bits,estimated_extra_ops,lowrank_values,sparse_values,sparse_blocks,local_error_2pct_go,subspace_overlap_07_go,rank_energy_07_go,combined_gate,weight_error_rank_energy,alternating_iterations,calibration_defect_rank_energy
0,down,4,ptq_only,0,0.65,0.0,0.0310834813863039,0.030287127941846848,0.0,,,,55050240,0,0,0,0,False,False,False,False,,,
0,down,4,ptq_weight_svd,32,0.65,0.0,,0.029227903112769127,0.06872722711658974,,-0.2621847093105316,0.0022693276405334473,60424192,429916160,335872,0,0,False,False,False,False,0.06773411908284856,,
0,down,4,joint_residual_shaped_ptq_lr,32,0.65,0.0,0.003893161891028285,0.02474816143512726,0.7625882283241026,0.575476884841919,-0.8733037114143372,-0.009880580008029938,60424192,429916160,335872,0,0,False,False,True,False,,2,0.9986642726391808
0,down,4,ptq_activation_lr,32,0.65,0.0,,0.02504379115998745,0.31626660697387343,0.280983030796051,-0.5624181628227234,-0.0061562685295939445,60424192,429916160,335872,0,0,False,False,False,False,,,0.9903350952411102
0,down,4,joint_shaped_ptq_lr,32,0.65,0.0,0.00396661227568984,0.025040844455361366,0.3164298617958672,0.2833682596683502,-0.56256502866745,-0.006434816401451826,60424192,429916160,335872,0,0,False,False,False,False,,,0.9906658812629562
0,down,4,joint_shaped_ptq_lr_block_sparse,32,0.65,0.02,0.0038970415480434895,0.02467651292681694,0.3117403824291646,0.2800767421722412,-0.5583709478378296,-0.00514069851487875,64881728,786432000,335872,278528,34,False,False,False,False,,,0.990514924552763
0,down,4,joint_residual_shaped_ptq_lr_block_sparse,32,0.65,0.02,0.0038205713499337435,0.024399850517511368,0.762076792237844,0.5765193700790405,-0.8730040192604065,-0.009016799740493298,64881728,786432000,335872,278528,34,False,False,True,False,,2,0.9986600850755101
0,down,4,joint_shaped_ptq_lr_block_sparse,32,0.65,0.05,0.0037900409661233425,0.024156223982572556,0.31126408795331173,0.27679452300071716,-0.5579463839530945,-0.00560615723952651,71436928,1310720000,335872,688128,84,False,False,False,False,,,0.9905446175928243
0,down,4,joint_residual_shaped_ptq_lr_block_sparse,32,0.65,0.05,0.003724995767697692,0.023959418758749962,0.7603464328040872,0.5735700130462646,-0.8720130324363708,-0.00817892886698246,71436928,1310720000,335872,688128,84,False,False,True,False,,2,0.9986801786087913
0,down,4,ptq_weight_svd,64,0.65,0.0,,0.028274018317461014,0.12852537274879106,,-0.35852715373039246,-0.0005274440045468509,65798144,859832320,671744,0,0,False,False,False,False,0.12000109040677272,,
0,down,4,joint_residual_shaped_ptq_lr,64,0.65,0.0,0.001823817496187985,0.023287806659936905,0.7978130460067732,0.57847660779953,-0.8932987451553345,-0.0248186644166708,65798144,859832320,671744,0,0,False,False,True,False,,2,0.9999014305718354
0,down,4,ptq_activation_lr,64,0.65,0.0,,0.023797810077667236,0.3826067950434283,0.32181233167648315,-0.6186385750770569,-0.011516328901052475,65798144,859832320,671744,0,0,False,False,False,False,,,0.9993344388855436
0,down,4,joint_shaped_ptq_lr,64,0.65,0.0,0.0018900253344327211,0.023801710456609726,0.38240576652252634,0.32196536660194397,-0.6184799671173096,-0.011858736164867878,65798144,859832320,671744,0,0,False,False,False,False,,,0.9993397576465628
0,down,4,joint_shaped_ptq_lr_block_sparse,64,0.65,0.02,0.001864735851995647,0.02345144934952259,0.378376261395303,0.3176019787788391,-0.6152061820030212,-0.011154284700751305,70255680,1216348160,671744,278528,34,False,False,False,False,,,0.9993261015128638
0,down,4,joint_residual_shaped_ptq_lr_block_sparse,64,0.65,0.02,0.0017986249877139926,0.02299581840634346,0.7970746388557041,0.5776482820510864,-0.8928722739219666,-0.021945742890238762,70255680,1216348160,671744,278528,34,False,False,True,False,,2,0.999900369543327
0,down,4,joint_shaped_ptq_lr_block_sparse,64,0.65,0.05,0.001827067113481462,0.022982170805335045,0.3765872039898104,0.31338149309158325,-0.6137483716011047,-0.011096316389739513,76810880,1740636160,671744,688128,84,False,False,False,False,,,0.9993238538244574
0,down,4,joint_residual_shaped_ptq_lr_block_sparse,64,0.65,0.05,0.0017577946418896317,0.022668756544589996,0.7963524708947987,0.5785514116287231,-0.892472505569458,-0.02327819913625717,76810880,1740636160,671744,688128,84,False,False,True,False,,2,0.999902085904042
24,down,4,ptq_only,0,0.55,0.0,0.12133006006479263,0.11950286477804184,0.0,,,,55050240,0,0,0,0,False,False,False,False,,,
24,down,4,ptq_weight_svd,32,0.55,0.0,,0.11512497812509537,0.0719272298572573,,-0.2682311236858368,-0.0041647376492619514,60424192,429916160,335872,0,0,False,False,False,False,0.0626266864746241,,
24,down,4,joint_residual_shaped_ptq_lr,32,0.55,0.0,0.03978573903441429,0.07692880183458328,0.9034937605947349,0.64495849609375,-0.9505482912063599,0.003513323375955224,60424192,429916160,335872,0,0,False,False,True,False,,2,0.9877101229980548
24,down,4,ptq_activation_lr,32,0.55,0.0,,0.07790876179933548,0.5749754599343886,0.3503151535987854,-0.7582891583442688,0.0006041548331268132,60424192,429916160,335872,0,0,False,False,False,False,,,0.9204504994010765
24,down,4,joint_shaped_ptq_lr,32,0.55,0.0,0.04017291218042374,0.07784190773963928,0.5757062746770953,0.34781667590141296,-0.7587708830833435,0.00037180783692747355,60424192,429916160,335872,0,0,False,False,False,False,,,0.9207971476850589
24,down,4,joint_shaped_ptq_lr_block_sparse,32,0.55,0.02,0.039675671607255936,0.07695978134870529,0.5635627795114153,0.3431960940361023,-0.7507283687591553,0.0030898479744791985,64881728,786432000,335872,278528,34,False,False,False,False,,,0.9184251865190375
24,down,4,joint_residual_shaped_ptq_lr_block_sparse,32,0.55,0.02,0.03910103067755699,0.07592140138149261,0.9034238981947362,0.6457741260528564,-0.9505115151405334,0.006480074487626553,64881728,786432000,335872,278528,34,False,False,True,False,,2,0.9877376810852386
24,down,4,joint_shaped_ptq_lr_block_sparse,32,0.55,0.05,0.03850121051073074,0.07537685334682465,0.5601376010338777,0.3336627781391144,-0.7484527826309204,0.006583111360669136,71436928,1310720000,335872,688128,84,False,False,False,False,,,0.9177746005238993
24,down,4,joint_residual_shaped_ptq_lr_block_sparse,32,0.55,0.05,0.03805675357580185,0.07444252073764801,0.9030019194020259,0.6438400745391846,-0.9502921104431152,0.007399860769510269,71436928,1310720000,335872,688128,84,False,False,True,False,,2,0.9877647687006702
24,down,4,ptq_weight_svd,64,0.55,0.0,,0.11271082609891891,0.11044069384960498,,-0.33234378695487976,-0.0025374784599989653,65798144,859832320,671744,0,0,False,False,False,False,0.102366127156613,,
24,down,4,joint_residual_shaped_ptq_lr,64,0.65,0.0,0.029102258384227753,0.07392650842666626,0.9138495924053758,0.6075923442840576,-0.9559797048568726,0.0016908303368836641,65798144,859832320,671744,0,0,False,False,True,False,,2,0.9957028554246711
