sample_id,sample_position,layer_index,cluster_family,prototype_count,selector,active_token_budget,visual_relative_l2,visual_worst_head_relative_l2,full_relative_l2,active_token_count_mean,active_token_count_max,active_read_ratio,exact_token_fraction_mean,selected_visual_mass_mean
vsi_question_3132,73,0,key,128,oracle_reverse_greedy,392,0.023278644308447838,0.09759315848350525,0.012382689863443375,384.8214416503906,392,4.075257778167725,0.17982417345046997,0.5650689601898193
vsi_question_3132,73,13,key,128,oracle_reverse_greedy,392,0.06820379197597504,0.16398069262504578,0.0070557501167058945,383.5714416503906,392,4.089266300201416,0.17312772572040558,0.7517464756965637
vsi_question_3132,73,27,key,128,oracle_reverse_greedy,392,0.11025737971067429,0.24529290199279785,0.02382073365151882,382.64288330078125,392,4.099428176879883,0.1763165295124054,0.6346738338470459
vsi_question_5084,74,0,key,128,oracle_reverse_greedy,392,0.023770319297909737,0.10664749145507812,0.009532707743346691,385.0357360839844,392,4.0733232498168945,0.1791636347770691,0.5400190353393555
vsi_question_5084,74,13,key,128,oracle_reverse_greedy,392,0.06137680262327194,0.1557905673980713,0.004726616200059652,382.0000305175781,392,4.107049465179443,0.17376549541950226,0.7697646617889404
vsi_question_5084,74,27,key,128,oracle_reverse_greedy,392,0.10772856324911118,0.2306532859802246,0.012631411664187908,381.46429443359375,392,4.112868309020996,0.17608875036239624,0.5999811291694641
vsi_question_1569,75,0,key,128,oracle_reverse_greedy,392,0.026073584333062172,0.10109526664018631,0.012819100171327591,386.8214416503906,392,4.0543928146362305,0.18012027442455292,0.5473926067352295
vsi_question_1569,75,13,key,128,oracle_reverse_greedy,392,0.05961000546813011,0.12919612228870392,0.005416223779320717,383.7857360839844,392,4.086928367614746,0.17508655786514282,0.7959549427032471
vsi_question_1569,75,27,key,128,oracle_reverse_greedy,392,0.09157531708478928,0.22701358795166016,0.008213783614337444,383.39288330078125,392,4.09248685836792,0.1767948418855667,0.5969014167785645
vsi_question_3722,76,0,key,128,oracle_reverse_greedy,392,0.025428136810660362,0.09591012448072433,0.01754091866314411,386.8214416503906,392,4.054002285003662,0.1807580292224884,0.5700865983963013
vsi_question_3722,76,13,key,128,oracle_reverse_greedy,392,0.07565844804048538,0.14412352442741394,0.005974885541945696,380.7857360839844,392,4.119932174682617,0.17194333672523499,0.7329946160316467
vsi_question_3722,76,27,key,128,oracle_reverse_greedy,392,0.06939937174320221,0.158683642745018,0.011106465011835098,381.64288330078125,392,4.110793590545654,0.17674928903579712,0.723091185092926
vsi_question_5105,77,0,key,128,oracle_reverse_greedy,392,0.023105362430214882,0.1061662957072258,0.008563841693103313,385.46429443359375,392,4.068387985229492,0.1797102987766266,0.5434128642082214
vsi_question_5105,77,13,key,128,oracle_reverse_greedy,392,0.06538960337638855,0.16253674030303955,0.005290002562105656,380.5714416503906,392,4.123893737792969,0.17212554812431335,0.7798787355422974
vsi_question_5105,77,27,key,128,oracle_reverse_greedy,392,0.09148409962654114,0.24056227505207062,0.009036310017108917,381.46429443359375,392,4.112768173217773,0.17397049069404602,0.5878452062606812
vsi_question_2957,78,0,key,128,oracle_reverse_greedy,392,0.023317020386457443,0.10912463814020157,0.012592965736985207,385.5714416503906,390,4.067228317260742,0.1797102987766266,0.5634173154830933
vsi_question_2957,78,13,key,128,oracle_reverse_greedy,392,0.0744868740439415,0.18271800875663757,0.007070714142173529,383.2857360839844,392,4.092440128326416,0.17472213506698608,0.7569260001182556
vsi_question_2957,78,27,key,128,oracle_reverse_greedy,392,0.10698656737804413,0.21870771050453186,0.024394255131483078,379.7500305175781,392,4.132564067840576,0.1741071492433548,0.6330284476280212
vsi_question_1880,79,0,key,128,oracle_reverse_greedy,392,0.022978467866778374,0.1008308082818985,0.010565812699496746,385.96429443359375,392,4.06307315826416,0.17925474047660828,0.5504519939422607
vsi_question_1880,79,13,key,128,oracle_reverse_greedy,392,0.06904011964797974,0.18606337904930115,0.005533220246434212,383.1785888671875,391,4.0930986404418945,0.17326441407203674,0.7769935131072998
