sample_id,split,block,target_step,branch,horizon,target_visible,base_renderer,residual_target_sq,output_target_sq,defect_total_energy,tokens,channels,estimated_exact_block_macs,base_renderer_macs,base_fit_and_rollout_ms,rank,error_sq,residual_relative_l2,output_relative_l2,defect_remaining_energy,state_factor_values,state_factor_bytes_fp16,render_macs,render_to_exact_macs,base_plus_render_macs,base_plus_render_to_exact_macs,svd_ms
p05_seed2026082206,selection,20,4,0,1,True,causal_current_input_channel_diagonal,564040.54900457,5350443.151089687,83847.58286160455,7800,1536,475206451200,47923200,2.2473749704658985,0,83847.58286160455,0.38555834763619495,0.12518445319823282,1.0,0,0,0,0.0,47923200,0.0001008471157724889,0.0
p05_seed2026082206,selection,20,4,0,1,True,causal_current_input_channel_diagonal,564040.54900457,5350443.151089687,83847.58286160455,7800,1536,475206451200,47923200,2.2473749704658985,8,37184.53035909867,0.2567591841454527,0.08336548350705572,0.44347766574184705,74688,149376,191692800,0.0004033884630899556,239616000,0.0005042355788624445,9.632738772779703
p05_seed2026082206,selection,20,4,0,1,True,causal_current_input_channel_diagonal,564040.54900457,5350443.151089687,83847.58286160455,7800,1536,475206451200,47923200,2.2473749704658985,16,33045.16066161226,0.24204647961353856,0.07858851036359595,0.39410987775700757,149376,298752,383385600,0.0008067769261799112,431308800,0.0009076240419524002,9.632738772779703
p05_seed2026082206,selection,20,4,0,1,True,causal_current_input_channel_diagonal,564040.54900457,5350443.151089687,83847.58286160455,7800,1536,475206451200,47923200,2.2473749704658985,32,28124.149856845674,0.22329784837147892,0.07250113820671773,0.3354199235283859,298752,597504,766771200,0.0016135538523598225,814694400,0.0017144009681323113,9.632738772779703
p05_seed2026082206,selection,20,4,0,1,True,causal_current_input_channel_diagonal,564040.54900457,5350443.151089687,83847.58286160455,7800,1536,475206451200,47923200,2.2473749704658985,64,22389.73542959686,0.19923668978730957,0.06468887581078761,0.26702899052389234,597504,1195008,1533542400,0.003227107704719645,1581465600,0.003327954820492134,9.632738772779703
p05_seed2026082206,selection,20,4,0,1,True,causal_current_input_channel_diagonal,564040.54900457,5350443.151089687,83847.58286160455,7800,1536,475206451200,47923200,2.2473749704658985,96,18931.909934949537,0.18320699506798238,0.05948429761743196,0.2257895728386393,896256,1792512,2300313600,0.004840661557079467,2348236800,0.004941508672851956,9.632738772779703
p05_seed2026082206,selection,20,4,0,2,True,causal_current_input_channel_diagonal,564040.54900457,5350443.151089687,180546.89151632617,7800,1536,475206451200,95846400,2.1191053092479706,0,180546.89151632617,0.5657699078066163,0.18369618237812207,1.0,0,0,0,0.0,95846400,0.0002016942315449778,0.0
p05_seed2026082206,selection,20,4,0,2,True,causal_current_input_channel_diagonal,564040.54900457,5350443.151089687,180546.89151632617,7800,1536,475206451200,95846400,2.1191053092479706,8,66472.09756822599,0.34329266837400413,0.11146148239516847,0.3681708222497037,74688,149376,191692800,0.0004033884630899556,287539200,0.0006050826946349334,9.122006129473448
p05_seed2026082206,selection,20,4,0,2,True,causal_current_input_channel_diagonal,564040.54900457,5350443.151089687,180546.89151632617,7800,1536,475206451200,95846400,2.1191053092479706,16,58421.609358361995,0.3218337568507589,0.10449412681400627,0.32358136333132054,149376,298752,383385600,0.0008067769261799112,479232000,0.001008471157724889,9.122006129473448
p05_seed2026082206,selection,20,4,0,2,True,causal_current_input_channel_diagonal,564040.54900457,5350443.151089687,180546.89151632617,7800,1536,475206451200,95846400,2.1191053092479706,32,49115.25550160892,0.29508901348063693,0.09581054858196417,0.27203600705501607,298752,597504,766771200,0.0016135538523598225,862617600,0.0018152480839048004,9.122006129473448
