case,method,topk,rank,heads,attention_rel_fro_mean,attention_rel_fro_median,attention_rel_fro_min,attention_rel_fro_max,output_rel_l2_mean,output_rel_l2_median,output_rel_l2_min,output_rel_l2_max,output_cosine_mean,output_cosine_median,output_cosine_min,output_cosine_max,mass_retained_mean,mass_retained_median,mass_retained_min,mass_retained_max,representation_ratio_mean,representation_ratio_median,representation_ratio_min,representation_ratio_max
f17,lowrank,0,8,12,0.4965505364040534,0.13668428361415863,0.0642353966832161,0.9847519397735596,0.3456592420116067,0.11626897752285004,0.047654494643211365,0.9838758111000061,0.8308161050081253,0.9445692300796509,0.1788530945777893,0.9988638162612915,1.0,1.0,1.0,1.0,0.016650641025641025,0.016650641025641025,0.016650641025641025,0.016650641025641025
f17,lowrank,0,16,12,0.45089915425827104,0.08377775549888611,0.03993897885084152,0.9721786975860596,0.3100929344072938,0.06146576628088951,0.02828807942569256,0.9638649225234985,0.8564346979061762,0.9504974484443665,0.2663916349411011,0.999599814414978,1.0,1.0,1.0,1.0,0.03330128205128205,0.03330128205128205,0.03330128205128205,0.03330128205128205
f17,lowrank,0,32,12,0.4017160946192841,0.05371595174074173,0.022903328761458397,0.9488135576248169,0.27649937143238884,0.03385954722762108,0.01257311087101698,0.9312547445297241,0.8841169774532318,0.9607416391372681,0.36436891555786133,0.9999209046363831,1.0,1.0,1.0,1.0,0.0666025641025641,0.0666025641025641,0.0666025641025641,0.0666025641025641
f17,lowrank,0,64,12,0.3448021092141668,0.0310171190649271,0.011242485605180264,0.9043138027191162,0.23831036467648423,0.015976063907146454,0.0034430332016199827,0.857679009437561,0.9150561441977819,0.9739258289337158,0.5141854286193848,0.999994158744812,1.0,1.0,1.0,1.0,0.1332051282051282,0.1332051282051282,0.1332051282051282,0.1332051282051282
f17,topk_plus_lowrank,32,8,12,0.23052277881652117,0.16749991476535797,0.030313558876514435,0.5804170966148376,0.10839459579437971,0.0759417861700058,0.03140302374958992,0.23551733791828156,0.9915586511294047,0.9967784881591797,0.971872866153717,0.9995191097259521,0.2588118157194306,0.03865350782871246,0.009162292815744877,0.897948145866394,0.020753205128205127,0.020753205128205127,0.020753205128205127,0.020753205128205127
f17,topk_plus_lowrank,32,16,12,0.20222020195797086,0.14113932847976685,0.028835082426667213,0.49304038286209106,0.08812626699606578,0.05293339118361473,0.027328796684741974,0.19968010485172272,0.9939441780249277,0.9981529712677002,0.9799189567565918,0.9996300935745239,0.2588118157194306,0.03865350782871246,0.009162292815744877,0.897948145866394,0.037403846153846156,0.037403846153846156,0.037403846153846156,0.037403846153846156
f17,topk_plus_lowrank,32,32,12,0.1757319951429963,0.12014526128768921,0.026899293065071106,0.41838338971138,0.07649916146571438,0.04281335696578026,0.02273845113813877,0.1881548911333084,0.995212530096372,0.9990174770355225,0.9822343587875366,0.9997413754463196,0.2588118157194306,0.03865350782871246,0.009162292815744877,0.897948145866394,0.07070512820512821,0.07070512820512821,0.07070512820512821,0.07070512820512821
f17,topk_plus_lowrank,32,64,12,0.15108297330637774,0.09847601503133774,0.02447245642542839,0.3616381883621216,0.06485732605991264,0.029373977333307266,0.015314777381718159,0.17507195472717285,0.9962401191393534,0.9995500445365906,0.984620988368988,0.999882698059082,0.2588118157194306,0.03865350782871246,0.009162292815744877,0.897948145866394,0.1373076923076923,0.1373076923076923,0.1373076923076923,0.1373076923076923
f17,topk_plus_lowrank,64,8,12,0.19464788593662283,0.14504073560237885,0.013866840861737728,0.502333402633667,0.08254580362699926,0.07065416872501373,0.01295726653188467,0.1837007999420166,0.9952383687098821,0.9968630075454712,0.9829846620559692,0.9999167323112488,0.31945648215090233,0.06712377816438675,0.017041854560375214,0.9421818852424622,0.024855769230769226,0.02485576923076923,0.02485576923076923,0.02485576923076923
f17,topk_plus_lowrank,64,16,12,0.17186800809577107,0.12648777663707733,0.013188585638999939,0.43509575724601746,0.06660388425613444,0.057263266295194626,0.011514279991388321,0.16038227081298828,0.9966576248407364,0.9983278512954712,0.9871669411659241,0.9999338388442993,0.31945648215090233,0.06712377816438675,0.017041854560375214,0.9421818852424622,0.041506410256410255,0.041506410256410255,0.041506410256410255,0.041506410256410255
f17,topk_plus_lowrank,64,32,12,0.15223942852268615,0.11145192384719849,0.012310467660427094,0.38369521498680115,0.058500269117454685,0.04433995485305786,0.01034143939614296,0.15074072778224945,0.9972979426383972,0.9989976286888123,0.988655149936676,0.9999465346336365,0.31945648215090233,0.06712377816438675,0.017041854560375214,0.9421818852424622,0.07480769230769231,0.07480769230769231,0.07480769230769231,0.07480769230769231
f17,topk_plus_lowrank,64,64,12,0.1335161260018746,0.10207905620336533,0.011208588257431984,0.3458952307701111,0.04953521303832531,0.030609145760536194,0.009159652516245842,0.14057311415672302,0.997856209675471,0.999526858329773,0.9901256561279297,0.9999582171440125,0.31945648215090233,0.06712377816438675,0.017041854560375214,0.9421818852424622,0.14141025641025642,0.14141025641025642,0.14141025641025642,0.14141025641025642
f17,topk_plus_lowrank,128,8,12,0.167387607623823,0.15366245806217194,0.005536795128136873,0.403247594833374,0.05974475965679934,0.04828522354364395,0.00496338726952672,0.12853291630744934,0.9975404540697733,0.9980373978614807,0.9917951822280884,0.9999877214431763,0.3837236299489935,0.11571186035871506,0.03153670206665993,0.9719782471656799,0.033060897435897435,0.033060897435897435,0.033060897435897435,0.033060897435897435
f17,topk_plus_lowrank,128,16,12,0.14989827565538386,0.13374122977256775,0.005285586230456829,0.3622605502605438,0.04906327902184179,0.03972950950264931,0.004736039321869612,0.12036936730146408,0.9982308795054754,0.9986653923988342,0.992789626121521,0.9999887943267822,0.3837236299489935,0.11571186035871506,0.03153670206665993,0.9719782471656799,0.04971153846153845,0.04971153846153846,0.04971153846153846,0.04971153846153846
f17,topk_plus_lowrank,128,32,12,0.13446469189754376,0.1225951761007309,0.004941603634506464,0.33267828822135925,0.0436208516281719,0.03446910157799721,0.0040984186343848705,0.11430288106203079,0.9985372324784597,0.9990295171737671,0.9934908151626587,0.9999916553497314,0.3837236299489935,0.11571186035871506,0.03153670206665993,0.9719782471656799,0.08301282051282051,0.08301282051282051,0.08301282051282051,0.08301282051282051
f17,topk_plus_lowrank,128,64,12,0.118071964631478,0.11109430342912674,0.004498948343098164,0.30327507853507996,0.03688610141398385,0.026968209072947502,0.00371184921823442,0.10710235685110092,0.9988614469766617,0.9994637966156006,0.9942876100540161,0.9999931454658508,0.3837236299489935,0.11571186035871506,0.03153670206665993,0.9719782471656799,0.14961538461538462,0.14961538461538462,0.14961538461538462,0.14961538461538462
f17,topk_plus_lowrank,256,8,12,0.15140791846594462,0.17922569811344147,0.0017709042876958847,0.2915412187576294,0.04409505358004632,0.039485737681388855,0.0015721932286396623,0.08359348773956299,0.9986205001672109,0.9991605281829834,0.9965313673019409,0.9999988079071045,0.45044720607499283,0.19626784324645996,0.058125488460063934,0.989100456237793,0.04947115384615384,0.049471153846153845,0.049471153846153845,0.049471153846153845
f17,topk_plus_lowrank,256,16,12,0.1367179103738939,0.1581004559993744,0.0016946624964475632,0.27186423540115356,0.036103273033707715,0.030645616352558136,0.00147668004501611,0.0801079049706459,0.9990571091572443,0.9993977546691895,0.9968153238296509,0.999998927116394,0.45044720607499283,0.19626784324645996,0.058125488460063934,0.989100456237793,0.06612179487179487,0.06612179487179487,0.06612179487179487,0.06612179487179487
f17,topk_plus_lowrank,256,32,12,0.1221559821763852,0.13923905789852142,0.0015878003323450685,0.250546395778656,0.030874627593827125,0.024533038958907127,0.00130897865165025,0.07569348067045212,0.9992837160825729,0.9995806217193604,0.9971568584442139,0.9999991655349731,0.45044720607499283,0.19626784324645996,0.058125488460063934,0.989100456237793,0.0994230769230769,0.09942307692307692,0.09942307692307692,0.09942307692307692
f17,topk_plus_lowrank,256,64,12,0.10678694483552438,0.12129915505647659,0.0014389060670509934,0.22658447921276093,0.026489797193789855,0.0198703370988369,0.0011852601310238242,0.069698765873909,0.9994562168916067,0.9996994137763977,0.9975932240486145,0.9999992847442627,0.45044720607499283,0.19626784324645996,0.058125488460063934,0.989100456237793,0.16602564102564102,0.16602564102564102,0.16602564102564102,0.16602564102564102
f17,topk_plus_lowrank,512,8,12,0.14293408183342157,0.18190370500087738,0.0004048933042213321,0.2962692081928253,0.03183613317863395,0.031559888273477554,0.00036754203028976917,0.07694551348686218,0.9992153694232305,0.9994710683822632,0.9970378875732422,0.9999999403953552,0.523372499893109,0.3237162232398987,0.10669896006584167,0.9967007040977478,0.08229166666666667,0.08229166666666667,0.08229166666666667,0.08229166666666667
f17,topk_plus_lowrank,512,16,12,0.12880359382203702,0.17107436060905457,0.0003855954564642161,0.2651134133338928,0.025745962159514118,0.024482034146785736,0.00032084144186228514,0.055399373173713684,0.9995053311189016,0.9996178150177002,0.9984647035598755,1.0,0.523372499893109,0.3237162232398987,0.10669896006584167,0.9967007040977478,0.09894230769230768,0.09894230769230769,0.09894230769230769,0.09894230769230769
f17,topk_plus_lowrank,512,32,12,0.11489554013678571,0.1577787697315216,0.0003579749318305403,0.23208606243133545,0.0221262961543592,0.02112388424575329,0.0002972024667542428,0.04314082860946655,0.9996387114127477,0.9997175931930542,0.9990787506103516,0.9999999403953552,0.523372499893109,0.3237162232398987,0.10669896006584167,0.9967007040977478,0.13224358974358974,0.13224358974358974,0.13224358974358974,0.13224358974358974
f17,topk_plus_lowrank,512,64,12,0.10078347240778385,0.14164617657661438,0.00032023739186115563,0.2009793370962143,0.018964917086123023,0.018002687022089958,0.00026305197388865054,0.03938055783510208,0.9997338453928629,0.9997943639755249,0.9992327690124512,1.0,0.523372499893109,0.3237162232398987,0.10669896006584167,0.9967007040977478,0.1988461538461538,0.19884615384615384,0.19884615384615384,0.19884615384615384
f17,topk_sparse,32,0,12,0.6836829039578637,0.8156070709228516,0.0323522575199604,0.9902719259262085,0.7198618495215973,0.865154504776001,0.06733884662389755,0.9942572116851807,0.5990507826209068,0.5345989465713501,0.10706104338169098,0.9982215762138367,0.2588118157194306,0.03865350782871246,0.009162292815744877,0.897948145866394,0.0041025641025641026,0.0041025641025641026,0.0041025641025641026,0.0041025641025641026
f17,topk_sparse,64,0,12,0.6238009343699863,0.714216411113739,0.014981103129684925,0.9830921292304993,0.6605827892199159,0.7842748165130615,0.03725540265440941,0.9924536347389221,0.6426621663073698,0.5536437034606934,0.13179297745227814,0.9994754791259766,0.31945648215090233,0.06712377816438675,0.017041854560375214,0.9421818852424622,0.008205128205128205,0.008205128205128205,0.008205128205128205,0.008205128205128205
f17,topk_sparse,128,0,12,0.5649094161732743,0.5778457522392273,0.006009863689541817,0.9708273410797119,0.5999945010989904,0.6677162647247314,0.017888333648443222,0.9946249723434448,0.680063230295976,0.5783068537712097,0.16234645247459412,0.9998821020126343,0.3837236299489935,0.11571186035871506,0.03153670206665993,0.9719782471656799,0.01641025641025641,0.01641025641025641,0.01641025641025641,0.01641025641025641
