case,tokens,sampled_queries,head,method,topk,rank,attention_rel_fro,output_rel_l2,output_cosine,mass_retained,representation_ratio
f17,7800,512,0,lowrank,0,8,0.13668428361415863,0.11626897752285004,0.9932177662849426,1.0,0.016650641025641025
f17,7800,512,0,lowrank,0,16,0.08377775549888611,0.05828538164496422,0.9983001351356506,1.0,0.03330128205128205
f17,7800,512,0,lowrank,0,32,0.05371595174074173,0.03385954722762108,0.9994266629219055,1.0,0.0666025641025641
f17,7800,512,0,lowrank,0,64,0.0310171190649271,0.015976063907146454,0.9998725056648254,1.0,0.1332051282051282
f17,7800,512,0,topk_sparse,32,0,0.9817352890968323,0.9857834577560425,0.2399044781923294,0.013951791450381279,0.0041025641025641026
f17,7800,512,0,topk_plus_lowrank,32,8,0.1746797114610672,0.10125138610601425,0.9948616027832031,0.013951791450381279,0.020753205128205127
f17,7800,512,0,topk_plus_lowrank,32,16,0.14536307752132416,0.05293339118361473,0.9985980987548828,0.013951791450381279,0.037403846153846156
f17,7800,512,0,topk_plus_lowrank,32,32,0.1256406009197235,0.04186515137553215,0.9991233348846436,0.013951791450381279,0.07070512820512821
f17,7800,512,0,topk_plus_lowrank,32,64,0.10562431067228317,0.029373977333307266,0.9995685815811157,0.013951791450381279,0.1373076923076923
f17,7800,512,0,topk_sparse,64,0,0.9688689708709717,0.9741439819335938,0.2938653230667114,0.025659289211034775,0.008205128205128205
f17,7800,512,0,topk_plus_lowrank,64,8,0.19680018723011017,0.09175602346658707,0.9957829713821411,0.025659289211034775,0.02485576923076923
f17,7800,512,0,topk_plus_lowrank,64,16,0.17254109680652618,0.057263266295194626,0.998359203338623,0.025659289211034775,0.041506410256410255
f17,7800,512,0,topk_plus_lowrank,64,32,0.15097446739673615,0.04433995485305786,0.9990165829658508,0.025659289211034775,0.07480769230769231
f17,7800,512,0,topk_plus_lowrank,64,64,0.12881092727184296,0.03237883001565933,0.9994757175445557,0.025659289211034775,0.14141025641025642
f17,7800,512,0,topk_sparse,128,0,0.947210431098938,0.9538657069206238,0.36321595311164856,0.04695826768875122,0.01641025641025641
f17,7800,512,0,topk_plus_lowrank,128,8,0.22760021686553955,0.07796663790941238,0.9969582557678223,0.04695826768875122,0.033060897435897435
f17,7800,512,0,topk_plus_lowrank,128,16,0.20496946573257446,0.05780023708939552,0.9983285665512085,0.04695826768875122,0.04971153846153846
f17,7800,512,0,topk_plus_lowrank,128,32,0.1798197478055954,0.04404966160655022,0.9990295171737671,0.04695826768875122,0.08301282051282051
f17,7800,512,0,topk_plus_lowrank,128,64,0.15421722829341888,0.03392011299729347,0.9994246363639832,0.04695826768875122,0.14961538461538462
f17,7800,512,0,topk_sparse,256,0,0.9108867645263672,0.9186820983886719,0.4554370641708374,0.0853966474533081,0.03282051282051282
f17,7800,512,0,topk_plus_lowrank,256,8,0.2636867165565491,0.08028920739889145,0.9967755675315857,0.0853966474533081,0.049471153846153845
f17,7800,512,0,topk_plus_lowrank,256,16,0.23838622868061066,0.05756017938256264,0.998343288898468,0.0853966474533081,0.06612179487179487
f17,7800,512,0,topk_plus_lowrank,256,32,0.2090059518814087,0.040892377495765686,0.9991635680198669,0.0853966474533081,0.09942307692307692
f17,7800,512,0,topk_plus_lowrank,256,64,0.17971369624137878,0.033150870352983475,0.9994504451751709,0.0853966474533081,0.16602564102564102
f17,7800,512,0,topk_sparse,512,0,0.8503621220588684,0.8552152514457703,0.5801004767417908,0.15375018119812012,0.06564102564102564
f17,7800,512,0,topk_plus_lowrank,512,8,0.2962692081928253,0.07694551348686218,0.9970378875732422,0.15375018119812012,0.08229166666666667
f17,7800,512,0,topk_plus_lowrank,512,16,0.2651134133338928,0.055399373173713684,0.9984647035598755,0.15375018119812012,0.09894230769230769
f17,7800,512,0,topk_plus_lowrank,512,32,0.23208606243133545,0.040318526327610016,0.9991869926452637,0.15375018119812012,0.13224358974358974
f17,7800,512,0,topk_plus_lowrank,512,64,0.2009793370962143,0.030969468876719475,0.9995206594467163,0.15375018119812012,0.19884615384615384
f17,7800,512,1,lowrank,0,8,0.9266550540924072,0.38105231523513794,0.9245535731315613,1.0,0.016650641025641025
f17,7800,512,1,lowrank,0,16,0.8657842874526978,0.3466799557209015,0.9379834532737732,1.0,0.03330128205128205
f17,7800,512,1,lowrank,0,32,0.7676800489425659,0.29855862259864807,0.954391360282898,1.0,0.0666025641025641
f17,7800,512,1,lowrank,0,64,0.6306043863296509,0.24850942194461823,0.9686295390129089,1.0,0.1332051282051282
f17,7800,512,1,topk_sparse,32,0,0.5073209404945374,0.615058183670044,0.8866755962371826,0.3765994608402252,0.0041025641025641026
f17,7800,512,1,topk_plus_lowrank,32,8,0.4561624526977539,0.19178606569766998,0.9814378023147583,0.3765994608402252,0.020753205128205127
f17,7800,512,1,topk_plus_lowrank,32,16,0.41925182938575745,0.16417992115020752,0.9864565134048462,0.3765994608402252,0.037403846153846156
f17,7800,512,1,topk_plus_lowrank,32,32,0.36980459094047546,0.1419309377670288,0.9899730682373047,0.3765994608402252,0.07070512820512821
f17,7800,512,1,topk_plus_lowrank,32,64,0.32394206523895264,0.12575751543045044,0.9922281503677368,0.3765994608402252,0.1373076923076923
f17,7800,512,1,topk_sparse,64,0,0.3247902989387512,0.43758490681648254,0.9587161540985107,0.5547387599945068,0.008205128205128205
f17,7800,512,1,topk_plus_lowrank,64,8,0.28662246465682983,0.12621761858463287,0.9920100569725037,0.5547387599945068,0.02485576923076923
f17,7800,512,1,topk_plus_lowrank,64,16,0.2630630433559418,0.10504150390625,0.9944816827774048,0.5547387599945068,0.041506410256410255
f17,7800,512,1,topk_plus_lowrank,64,32,0.2375161200761795,0.09157361835241318,0.9958605766296387,0.5547387599945068,0.07480769230769231
f17,7800,512,1,topk_plus_lowrank,64,64,0.21733710169792175,0.08396438509225845,0.9965373277664185,0.5547387599945068,0.14141025641025642
f17,7800,512,1,topk_sparse,128,0,0.16423211991786957,0.2615872025489807,0.9888370633125305,0.7325097322463989,0.01641025641025641
f17,7800,512,1,topk_plus_lowrank,128,8,0.14068228006362915,0.06320814788341522,0.998003363609314,0.7325097322463989,0.033060897435897435
f17,7800,512,1,topk_plus_lowrank,128,16,0.1305200457572937,0.05178630352020264,0.9986653923988342,0.7325097322463989,0.04971153846153846
f17,7800,512,1,topk_plus_lowrank,128,32,0.1225951761007309,0.047371380031108856,0.9988921880722046,0.7325097322463989,0.08301282051282051
f17,7800,512,1,topk_plus_lowrank,128,64,0.11109430342912674,0.04265715181827545,0.9990977048873901,0.7325097322463989,0.14961538461538462
f17,7800,512,1,topk_sparse,256,0,0.06499849259853363,0.1334526389837265,0.9976392388343811,0.8626968860626221,0.03282051282051282
f17,7800,512,1,topk_plus_lowrank,256,8,0.053676728159189224,0.021139217540621758,0.9997774362564087,0.8626968860626221,0.049471153846153845
f17,7800,512,1,topk_plus_lowrank,256,16,0.05080637335777283,0.019813502207398415,0.9998043775558472,0.8626968860626221,0.06612179487179487
f17,7800,512,1,topk_plus_lowrank,256,32,0.046869225800037384,0.01837434619665146,0.9998315572738647,0.8626968860626221,0.09942307692307692
f17,7800,512,1,topk_plus_lowrank,256,64,0.04153912141919136,0.01648113504052162,0.9998644590377808,0.8626968860626221,0.16602564102564102
f17,7800,512,1,topk_sparse,512,0,0.024522706866264343,0.0636206641793251,0.9995173215866089,0.9344614744186401,0.06564102564102564
f17,7800,512,1,topk_plus_lowrank,512,8,0.019882483407855034,0.008098066784441471,0.9999672174453735,0.9344614744186401,0.08229166666666667
f17,7800,512,1,topk_plus_lowrank,512,16,0.018439743667840958,0.007353038527071476,0.9999730587005615,0.9344614744186401,0.09894230769230769
f17,7800,512,1,topk_plus_lowrank,512,32,0.016828807070851326,0.006560004781931639,0.9999785423278809,0.9344614744186401,0.13224358974358974
f17,7800,512,1,topk_plus_lowrank,512,64,0.014877515845000744,0.005762381013482809,0.9999833703041077,0.9344614744186401,0.19884615384615384
f17,7800,512,2,lowrank,0,8,0.07748308777809143,0.052044931799173355,0.9986446499824524,1.0,0.016650641025641025
f17,7800,512,2,lowrank,0,16,0.05224985256791115,0.02828807942569256,0.999599814414978,1.0,0.03330128205128205
f17,7800,512,2,lowrank,0,32,0.03213183581829071,0.0162268728017807,0.9998682737350464,1.0,0.0666025641025641
f17,7800,512,2,lowrank,0,64,0.01686275191605091,0.00488329166546464,0.9999880194664001,1.0,0.1332051282051282
f17,7800,512,2,topk_sparse,32,0,0.9867362380027771,0.9844778776168823,0.3491489589214325,0.010990962386131287,0.0041025641025641026
f17,7800,512,2,topk_plus_lowrank,32,8,0.1250043660402298,0.05045377090573311,0.9987264275550842,0.010990962386131287,0.020753205128205127
f17,7800,512,2,topk_plus_lowrank,32,16,0.10693277418613434,0.028605150058865547,0.9995907545089722,0.010990962386131287,0.037403846153846156
f17,7800,512,2,topk_plus_lowrank,32,32,0.09184663742780685,0.02273845113813877,0.9997413754463196,0.010990962386131287,0.07070512820512821
f17,7800,512,2,topk_plus_lowrank,32,64,0.07545152306556702,0.015314777381718159,0.999882698059082,0.010990962386131287,0.1373076923076923
f17,7800,512,2,topk_sparse,64,0,0.9774670004844666,0.9725695848464966,0.3884517550468445,0.02020299807190895,0.008205128205128205
f17,7800,512,2,topk_plus_lowrank,64,8,0.14504073560237885,0.05219258368015289,0.9986370801925659,0.02020299807190895,0.02485576923076923
f17,7800,512,2,topk_plus_lowrank,64,16,0.12648777663707733,0.028375228866934776,0.999597430229187,0.02020299807190895,0.041506410256410255
f17,7800,512,2,topk_plus_lowrank,64,32,0.11021255701780319,0.023663494735956192,0.9997199773788452,0.02020299807190895,0.07480769230769231
f17,7800,512,2,topk_plus_lowrank,64,64,0.0934605821967125,0.0165597815066576,0.9998628497123718,0.02020299807190895,0.14141025641025642
