total_rank_budget,method,method_label,state_bytes,estimated_update_flops,threshold,calibration_false_trigger_rate,false_trigger_rate,camera_false_trigger_rate,periodic_false_trigger_rate,event_recall,rare_event_recall,object_change_recall,scene_cut_recall,mean_detection_delay,scene_cut_mean_delay,frame_auc,writes_per_100_frames,update_p50_us,update_p95_us,update_p99_us
16,causalmem_residual_proxy,CausalMem residual proxy,4160,524288,0.00012725318059130962,0.019642857142857142,0.007589285714285714,0.0,0.0,0.8,1.0,0.5,1.0,0.0,0.0,0.8637016369047619,4.5982142857142865,211.426,220.6021,251.282
16,dual_slow_residual,Dual-state residual only,4160,786432,0.019498155233640117,0.019642857142857142,0.023214285714285715,0.0,0.11607142857142858,0.85,1.0,0.625,1.0,0.0,0.0,0.9555877976190477,5.491071428571429,316.82550000000003,334.425,375.86598000000004
16,dual_spectral,Dual-timescale spectral,4160,794624,2.2474110290930835,0.019642857142857142,0.0026785714285714286,0.0,0.0,0.8,1.0,0.5,1.0,0.0,0.0,0.9074441964285714,5.334821428571428,316.82550000000003,334.425,375.86598000000004
16,frame_delta,Frame delta,16384,8192,0.972753824118275,0.019642857142857142,0.019642857142857142,0.049107142857142856,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.4835825892857143,1.3392857142857142,36.953,39.15325,45.75338000000001
16,single_oja_residual,Single Oja residual,4160,786432,0.00011964408440816539,0.019642857142857142,0.007142857142857143,0.0,0.0,0.8,1.0,0.5,1.0,0.0,0.0,0.9099962797619048,5.424107142857143,185.10649999999998,198.15470000000002,226.27972000000003
32,causalmem_residual_proxy,CausalMem residual proxy,8320,1048576,0.0001073954086528191,0.019642857142857142,0.008928571428571428,0.0,0.0,0.8,1.0,0.5,1.0,0.0,0.0,0.860874255952381,3.5044642857142856,244.108,256.8599,289.4372
32,dual_slow_residual,Dual-state residual only,8320,1572864,0.00011964408440816539,0.019642857142857142,0.007142857142857143,0.0,0.0,0.8,1.0,0.5,1.0,0.0,0.0,0.9099962797619048,5.424107142857143,382.3675,401.11265000000003,438.43418
32,dual_spectral,Dual-timescale spectral,8320,1605632,2.9523719853832127,0.019642857142857142,0.0035714285714285713,0.0,0.0,0.8,1.0,0.5,1.0,0.0,0.0,0.8797619047619047,5.111607142857142,382.3675,401.11265000000003,438.43418
32,frame_delta,Frame delta,16384,8192,0.972753824118275,0.019642857142857142,0.019642857142857142,0.049107142857142856,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.4835825892857143,1.3392857142857142,37.3565,39.5613,47.78747
32,single_oja_residual,Single Oja residual,8320,1572864,0.00010178092550071839,0.019642857142857142,0.009375,0.0,0.0,0.8,1.0,0.5,1.0,0.0,0.0,0.9088541666666666,5.602678571428572,274.7935,293.2675,333.43663000000004
64,causalmem_residual_proxy,CausalMem residual proxy,16640,2097152,6.999189446082556e-05,0.019642857142857142,0.008482142857142856,0.0,0.0,0.8,1.0,0.5,1.0,0.0,0.0,0.8495052083333333,3.9285714285714284,321.701,337.34164999999996,374.14099000000004
64,dual_slow_residual,Dual-state residual only,16640,3145728,0.00010178092550071839,0.019642857142857142,0.009375,0.0,0.0,0.8,1.0,0.5,1.0,0.0,0.0,0.9088541666666666,5.602678571428572,569.2370000000001,600.43005,675.1662300000002
64,dual_spectral,Dual-timescale spectral,16640,3276800,2.8988792421908185,0.019642857142857142,0.003125,0.0,0.0,0.8,1.0,0.5,1.0,0.0,0.0,0.8985342261904762,5.535714285714286,569.2370000000001,600.43005,675.1662300000002
64,frame_delta,Frame delta,16384,8192,0.972753824118275,0.019642857142857142,0.019642857142857142,0.049107142857142856,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.4835825892857143,1.3392857142857142,37.8335,39.795500000000004,44.8835
64,single_oja_residual,Single Oja residual,16640,3145728,6.7797031526288e-05,0.019642857142857142,0.008928571428571428,0.0,0.0,0.8,1.0,0.5,1.0,0.0,0.0,0.9121875,5.535714285714286,595.931,623.1342,707.7905600000001
