protocol_id,candidate_protocol_id,prompt_id,split,seed,layer,current_start_frame,denoising_call_index,denoising_timestep,head_index,method,kernel_source,spatial_structure,query_groups,temporal_sharing,exact_policy,event_fraction,correction,rank,coefficient_scope,deployable,representation_only,relative_av_l2,numerator_sq,denominator_sq,dense_reference_parity,arithmetic_reduction,kernel_construction_cost_accounted
ar-video-residual-memory-longlive-v1,ar-video-causal-bccb-longlive-v1,calib_fluid_s1,calibration,1,0,15,1,1000,0,dynamic_tile_bccb_hybrid_event_0p05,record_qk_projection,periodic_bccb,capture_tiles,frame_pair,sink_recent,0.05,none,0,runtime_qk_rule,False,True,0.09977597743272781,117.72850036621094,11825.775390625,0.0007484668749384582,1.734073762821743,False
ar-video-residual-memory-longlive-v1,ar-video-causal-bccb-longlive-v1,calib_fluid_s1,calibration,1,0,15,1,1000,1,dynamic_tile_bccb_hybrid_event_0p05,record_qk_projection,periodic_bccb,capture_tiles,frame_pair,sink_recent,0.05,none,0,runtime_qk_rule,False,True,0.13602909445762634,658.3314208984375,35577.953125,0.0013855071738362312,1.734073762821743,False
ar-video-residual-memory-longlive-v1,ar-video-causal-bccb-longlive-v1,calib_fluid_s1,calibration,1,0,15,1,1000,2,dynamic_tile_bccb_hybrid_event_0p05,record_qk_projection,periodic_bccb,capture_tiles,frame_pair,sink_recent,0.05,none,0,runtime_qk_rule,False,True,0.06802679598331451,58.68742370605469,12681.9208984375,0.0006151401321403682,1.734073762821743,False
ar-video-residual-memory-longlive-v1,ar-video-causal-bccb-longlive-v1,calib_fluid_s1,calibration,1,0,15,1,1000,3,dynamic_tile_bccb_hybrid_event_0p05,record_qk_projection,periodic_bccb,capture_tiles,frame_pair,sink_recent,0.05,none,0,runtime_qk_rule,False,True,0.05924283340573311,31.61292266845703,9007.2666015625,0.0005429477896541357,1.734073762821743,False
ar-video-residual-memory-longlive-v1,ar-video-causal-bccb-longlive-v1,calib_fluid_s1,calibration,1,0,15,1,1000,4,dynamic_tile_bccb_hybrid_event_0p05,record_qk_projection,periodic_bccb,capture_tiles,frame_pair,sink_recent,0.05,none,0,runtime_qk_rule,False,True,0.023350613191723824,19.423843383789062,35623.66796875,0.0018873019143939018,1.734073762821743,False
ar-video-residual-memory-longlive-v1,ar-video-causal-bccb-longlive-v1,calib_fluid_s1,calibration,1,0,15,1,1000,5,dynamic_tile_bccb_hybrid_event_0p05,record_qk_projection,periodic_bccb,capture_tiles,frame_pair,sink_recent,0.05,none,0,runtime_qk_rule,False,True,0.018478835001587868,8.482627868652344,24841.6953125,0.0016997777856886387,1.734073762821743,False
ar-video-residual-memory-longlive-v1,ar-video-causal-bccb-longlive-v1,calib_fluid_s1,calibration,1,0,15,1,1000,6,dynamic_tile_bccb_hybrid_event_0p05,record_qk_projection,periodic_bccb,capture_tiles,frame_pair,sink_recent,0.05,none,0,runtime_qk_rule,False,True,0.08126658946275711,138.8081512451172,21017.97265625,0.0010447273962199688,1.734073762821743,False
ar-video-residual-memory-longlive-v1,ar-video-causal-bccb-longlive-v1,calib_fluid_s1,calibration,1,0,15,1,1000,7,dynamic_tile_bccb_hybrid_event_0p05,record_qk_projection,periodic_bccb,capture_tiles,frame_pair,sink_recent,0.05,none,0,runtime_qk_rule,False,True,0.11567231267690659,137.92616271972656,10308.3173828125,0.0012594006257131696,1.734073762821743,False
ar-video-residual-memory-longlive-v1,ar-video-causal-bccb-longlive-v1,calib_fluid_s1,calibration,1,0,15,1,1000,8,dynamic_tile_bccb_hybrid_event_0p05,record_qk_projection,periodic_bccb,capture_tiles,frame_pair,sink_recent,0.05,none,0,runtime_qk_rule,False,True,0.09799498319625854,47.148189544677734,4909.72705078125,0.0006108018569648266,1.734073762821743,False
ar-video-residual-memory-longlive-v1,ar-video-causal-bccb-longlive-v1,calib_fluid_s1,calibration,1,0,15,1,1000,9,dynamic_tile_bccb_hybrid_event_0p05,record_qk_projection,periodic_bccb,capture_tiles,frame_pair,sink_recent,0.05,none,0,runtime_qk_rule,False,True,0.10907549411058426,42.71480178833008,3590.244384765625,0.0007717185653746128,1.734073762821743,False
ar-video-residual-memory-longlive-v1,ar-video-causal-bccb-longlive-v1,calib_fluid_s1,calibration,1,0,15,1,1000,10,dynamic_tile_bccb_hybrid_event_0p05,record_qk_projection,periodic_bccb,capture_tiles,frame_pair,sink_recent,0.05,none,0,runtime_qk_rule,False,True,0.008670078590512276,0.8971713185310364,11935.1884765625,0.0005638267030008137,1.734073762821743,False
ar-video-residual-memory-longlive-v1,ar-video-causal-bccb-longlive-v1,calib_fluid_s1,calibration,1,0,15,1,1000,11,dynamic_tile_bccb_hybrid_event_0p05,record_qk_projection,periodic_bccb,capture_tiles,frame_pair,sink_recent,0.05,none,0,runtime_qk_rule,False,True,0.043176937848329544,87.0003890991211,46667.82421875,0.001627221005037427,1.734073762821743,False
ar-video-residual-memory-longlive-v1,ar-video-causal-bccb-longlive-v1,calib_fluid_s1,calibration,1,0,15,1,1000,0,dynamic_tile_bccb_hybrid_event_0p05,record_qk_projection,periodic_bccb,capture_tiles,frame_pair,sink_recent,0.05,adaptive_rank_oracle,8,same_record_dense_defect,False,True,0.006246049422770739,0.4613606035709381,11825.775390625,0.0007484668749384582,1.734073762821743,False
ar-video-residual-memory-longlive-v1,ar-video-causal-bccb-longlive-v1,calib_fluid_s1,calibration,1,0,15,1,1000,1,dynamic_tile_bccb_hybrid_event_0p05,record_qk_projection,periodic_bccb,capture_tiles,frame_pair,sink_recent,0.05,adaptive_rank_oracle,8,same_record_dense_defect,False,True,0.020285239443182945,14.640005111694336,35577.953125,0.0013855071738362312,1.734073762821743,False
ar-video-residual-memory-longlive-v1,ar-video-causal-bccb-longlive-v1,calib_fluid_s1,calibration,1,0,15,1,1000,2,dynamic_tile_bccb_hybrid_event_0p05,record_qk_projection,periodic_bccb,capture_tiles,frame_pair,sink_recent,0.05,adaptive_rank_oracle,8,same_record_dense_defect,False,True,0.003604618599638343,0.1647796779870987,12681.9208984375,0.0006151401321403682,1.734073762821743,False
ar-video-residual-memory-longlive-v1,ar-video-causal-bccb-longlive-v1,calib_fluid_s1,calibration,1,0,15,1,1000,3,dynamic_tile_bccb_hybrid_event_0p05,record_qk_projection,periodic_bccb,capture_tiles,frame_pair,sink_recent,0.05,adaptive_rank_oracle,8,same_record_dense_defect,False,True,0.0034064999781548977,0.10452251136302948,9007.2666015625,0.0005429477896541357,1.734073762821743,False
ar-video-residual-memory-longlive-v1,ar-video-causal-bccb-longlive-v1,calib_fluid_s1,calibration,1,0,15,1,1000,4,dynamic_tile_bccb_hybrid_event_0p05,record_qk_projection,periodic_bccb,capture_tiles,frame_pair,sink_recent,0.05,adaptive_rank_oracle,8,same_record_dense_defect,False,True,0.0063056908547878265,1.4164588451385498,35623.66796875,0.0018873019143939018,1.734073762821743,False
