operator,group,records,sampled_rows,features,sample_energy_accumulated,covariance_trace,effective_rank_entropy,rank_at_90pct,rank_at_95pct,rank_at_99pct,energy_rank_1,relative_fro_after_rank_1,energy_rank_2,relative_fro_after_rank_2,energy_rank_4,relative_fro_after_rank_4,energy_rank_8,relative_fro_after_rank_8,energy_rank_16,relative_fro_after_rank_16,energy_rank_32,relative_fro_after_rank_32,energy_rank_64,relative_fro_after_rank_64,energy_rank_128,relative_fro_after_rank_128
C,all_blocks,72,18432,1536,94226.95606994629,94226.93941630423,68.50232772599973,556,781,1122,0.4650766157238392,0.7313845666105901,0.4727837188128119,0.7260966059603833,0.4869503298911042,0.7162748565382536,0.5076110327841862,0.7017043303385079,0.5293286447768237,0.6860549214335367,0.5617827761084812,0.6619797760441922,0.61032246781441,0.6242415655702446,0.6810544140487672,0.5647526767986433
C,block_06,24,6144,1536,11240.955856323242,11240.956114223227,343.86951989710116,468,648,1006,0.07707305936667254,0.960690866321382,0.13395651046673868,0.9306145762523073,0.1615151937815021,0.915688159920449,0.20268285135350775,0.8929261720021943,0.2618842995199381,0.8591366017578705,0.3469660937335219,0.8081051331766665,0.46354710953419614,0.7324294440188788,0.6113757895447335,0.6233973134809505
C,block_12,24,6144,1536,29181.56201171875,29181.561332695186,409.90644967432564,516,693,1006,0.06830948970654188,0.965241166907762,0.09220369868177604,0.9527834493305517,0.12957191271109472,0.9329673559610246,0.17449704032421026,0.9085719342329421,0.2297502843985641,0.877638715874269,0.31054577287918966,0.8303338046357082,0.4228579835277708,0.759698635297069,0.5705152869165425,0.6553508320613147
C,block_24,24,6144,1536,53804.4382019043,53804.32937303372,7.67497990816618,192,397,839,0.766397071560135,0.48332486842688427,0.7758051509833206,0.473492184747203,0.7806259671909296,0.46837381738208894,0.7865019589005003,0.462058482336922,0.7963541541690659,0.4512713660658453,0.8125676502810057,0.4329345790289732,0.8378504661254434,0.4026779530525064,0.8742423347997683,0.35462327222029816
C_FORECAST_0.5,all_blocks,72,18432,1536,106001.79363250732,106001.76552332938,27.36980213886935,443,685,1075,0.5996597866076138,0.6327244371702315,0.607787862482697,0.6262684228965268,0.6185000561757529,0.6176568171924011,0.6322537293155936,0.6064208692685356,0.6505978811520224,0.5911024605328399,0.6757314727009165,0.5694458071661285,0.7123937084624019,0.5362893729485958,0.7651963268785577,0.48456544771727417
C_FORECAST_0.5,block_06,24,6144,1536,6948.659446716309,6948.6589485146105,357.2934087740065,475,657,1034,0.07305504800255373,0.962779804523052,0.12766768058636901,0.933987322940537,0.1553892434050554,0.9190270706540393,0.1968188314011103,0.8962037539526877,0.2533975870514573,0.8640615793729881,0.3373199747566251,0.814051610921184,0.45472113936181324,0.738429997114274,0.604080263767033,0.6292215319209657
C_FORECAST_0.5,block_12,24,6144,1536,26730.794830322266,26730.792815059423,368.5716632386797,501,681,1002,0.08772250438163957,0.9551321875103783,0.11629874624138703,0.9400538568393904,0.15156515843638008,0.9211052282793861,0.19690098243138765,0.896157919994357,0.2552742044247395,0.8629749681046724,0.3365098028603164,0.814549075955331,0.446876666430141,0.743722618702604,0.5905621523213085,0.6398733059588371
C_FORECAST_0.5,block_24,24,6144,1536,72322.33935546875,72322.03093686327,4.19685062484141,87,282,748,0.8446705418965589,0.3941185838087835,0.8487718917424779,0.3888805835440002,0.8513886185070203,0.3855014675626796,0.8555281057095071,0.38009458597892826,0.8621985281623011,0.3712162063241567,0.8730773347378318,0.35626207384756553,0.8901162893342317,0.3314871199093085,0.9146610540026938,0.29212830399895556
C_FORECAST_0.75,all_blocks,72,18432,1536,144731.24383544922,144731.16388738155,15.737942330563053,356,607,1031,0.6755228141540845,0.5696289896466957,0.6841262003712703,0.5620265114998845,0.6936790452680845,0.553462694977643,0.7042620990605832,0.5438178931769502,0.7189692891912001,0.5301232977419498,0.73988867047748,0.5100111072540676,0.7700281136659808,0.4795538409125916,0.8128195075779261,0.4326436090156353
C_FORECAST_0.75,block_06,24,6144,1536,6324.203994750977,6324.204256622121,363.8510504903007,481,667,1055,0.07870346943412938,0.9598419299894492,0.12417600550853705,0.9358546866322052,0.15530022392790704,0.9190755007463167,0.19432328278364525,0.8975949627846375,0.2499013849594533,0.8660823373332045,0.3331466443656063,0.8166108961031524,0.45042173132692404,0.7413354629808802,0.5999285332017399,0.6325120289751494
