weight_file,layer_key,method,trainable_params,stored_params,estimated_bits_fp16,estimated_bits_int8,estimated_bits_int4_delta,bcm_direct_ops,bcm_fft_ops,lowrank_ops,total_ops,activation_memory,extra_latency_proxy,block_size,rank,num_bcm_basis,sparse_ratio,delta_mode,objective,relative_fro_error,spectral_error,activation_error
results/matrix_fit/subsets/qwen3_downproj_retry/model__layers__0__mlp__down_proj__weight.pt,model.layers.0.mlp.down_proj.weight,lowrank_svd,16384,16384,262144,131072,65536,0,0,16384,16384,4096,0.005208333333333333,16,4,1,0.0,horizontal,0.0,0.9916548728942871,0.8181209564208984,0.991809070110321
results/matrix_fit/subsets/qwen3_downproj_retry/model__layers__0__mlp__down_proj__weight.pt,model.layers.0.mlp.down_proj.weight,lowrank_svd,32768,32768,524288,262144,131072,0,0,32768,32768,4096,0.010416666666666666,16,8,1,0.0,horizontal,0.0,0.9853634238243103,0.7035804390907288,0.9857888221740723
results/matrix_fit/subsets/qwen3_downproj_retry/model__layers__0__mlp__down_proj__weight.pt,model.layers.0.mlp.down_proj.weight,lowrank_svd,65536,65536,1048576,524288,262144,0,0,65536,65536,4096,0.020833333333333332,16,16,1,0.0,horizontal,0.0,0.975366473197937,0.6339356899261475,0.9768846035003662
results/matrix_fit/subsets/qwen3_downproj_retry/model__layers__0__mlp__down_proj__weight.pt,model.layers.0.mlp.down_proj.weight,lowrank_svd,16384,16384,262144,131072,65536,0,0,16384,16384,4096,0.005208333333333333,32,4,1,0.0,horizontal,0.0,0.9907492399215698,0.7633854746818542,0.9908881783485413
results/matrix_fit/subsets/qwen3_downproj_retry/model__layers__0__mlp__down_proj__weight.pt,model.layers.0.mlp.down_proj.weight,lowrank_svd,32768,32768,524288,262144,131072,0,0,32768,32768,4096,0.010416666666666666,32,8,1,0.0,horizontal,0.0,0.9856764674186707,0.7040355205535889,0.9861029982566833
results/matrix_fit/subsets/qwen3_downproj_retry/model__layers__0__mlp__down_proj__weight.pt,model.layers.0.mlp.down_proj.weight,lowrank_svd,65536,65536,1048576,524288,262144,0,0,65536,65536,4096,0.020833333333333332,32,16,1,0.0,horizontal,0.0,0.9752680063247681,0.644408106803894,0.9761956930160522
results/matrix_fit/subsets/qwen3_downproj_retry/model__layers__0__mlp__down_proj__weight.pt,model.layers.0.mlp.down_proj.weight,lowrank_svd,16384,16384,262144,131072,65536,0,0,16384,16384,4096,0.005208333333333333,64,4,1,0.0,horizontal,0.0,0.9905829429626465,0.7400336265563965,0.9908602237701416
results/matrix_fit/subsets/qwen3_downproj_retry/model__layers__0__mlp__down_proj__weight.pt,model.layers.0.mlp.down_proj.weight,lowrank_svd,32768,32768,524288,262144,131072,0,0,32768,32768,4096,0.010416666666666666,64,8,1,0.0,horizontal,0.0,0.9852067828178406,0.7251590490341187,0.9856714010238647
results/matrix_fit/subsets/qwen3_downproj_retry/model__layers__0__mlp__down_proj__weight.pt,model.layers.0.mlp.down_proj.weight,lowrank_svd,65536,65536,1048576,524288,262144,0,0,65536,65536,4096,0.020833333333333332,64,16,1,0.0,horizontal,0.0,0.9751105308532715,0.6444634199142456,0.9757638573646545
results/matrix_fit/subsets/qwen3_downproj_retry/model__layers__0__mlp__down_proj__weight.pt,model.layers.0.mlp.down_proj.weight,bcm_only,196608,196608,3145728,1572864,786432,3145728,6291456,0,3145728,4096,1.0,16,0,1,0.0,horizontal,0.00078891112934798,1.0704044103622437,0.9640706777572632,1.06974458694458
