split,prediction,rank,records,local_mass_mean,basis_energy_mean,aggregate_full_output_relative_l2,aggregate_local_output_relative_l2,record_error_p95,record_error_max
calibration,oracle_linear,0,108,0.3879406376077828,0.0,0.13256849185356712,0.16162070120694277,0.42481220376413814,0.5685463487392914
calibration,oracle_linear,2,108,0.3879406376077828,0.5119652602545641,0.0830034650036012,0.101193564390142,0.26983138210092295,0.3704530520154783
calibration,oracle_linear,4,108,0.3879406376077828,0.6359538475948351,0.06679627997577073,0.08143459623591431,0.22883947317556683,0.33722640098112033
calibration,oracle_linear,8,108,0.3879406376077828,0.7563294718662897,0.047806570453656515,0.05828331703097046,0.15362685568759887,0.24684246441397864
calibration,oracle_nonnegative,0,108,0.3879406376077828,0.0,0.13256849185356712,0.16162070120694277,0.42481220376413814,0.5685463487392914
calibration,oracle_nonnegative,2,108,0.3879406376077828,0.5119652602545641,0.08305168326509756,0.10125234961976225,0.2725365084445373,0.371036598199032
calibration,oracle_nonnegative,4,108,0.3879406376077828,0.6359538475948351,0.06698696121547393,0.08166706501667016,0.22795958900382085,0.3395067908569878
calibration,oracle_nonnegative,8,108,0.3879406376077828,0.7563294718662897,0.0485322121981918,0.05916798220243795,0.15665810547869005,0.25381175915575144
calibration,ridge_linear,0,108,0.3879406376077828,0.0,0.13256849185356712,0.16162070120694277,0.42481220376413814,0.5685463487392914
calibration,ridge_linear,2,108,0.3879406376077828,0.5119652602545641,0.0831828356042654,0.1014122438202986,0.27021824963669905,0.3709282328813179
calibration,ridge_linear,4,108,0.3879406376077828,0.6359538475948351,0.06710287350508494,0.08180837933098044,0.22959283602326852,0.3380891649384458
calibration,ridge_linear,8,108,0.3879406376077828,0.7563294718662897,0.048283017795311335,0.05886417717631701,0.15439221261825972,0.24866242140435957
calibration,ridge_nonnegative,0,108,0.3879406376077828,0.0,0.13256849185356712,0.16162070120694277,0.42481220376413814,0.5685463487392914
calibration,ridge_nonnegative,2,108,0.3879406376077828,0.5119652602545641,0.08322928747259878,0.10146887555403446,0.2726912002333742,0.3714423110840735
calibration,ridge_nonnegative,4,108,0.3879406376077828,0.6359538475948351,0.06727817162850099,0.08202209380589547,0.22908728749502488,0.3400602284754338
calibration,ridge_nonnegative,8,108,0.3879406376077828,0.7563294718662897,0.04897219927189161,0.05970439186041235,0.15727943710685188,0.25511192154845314
test,oracle_linear,0,216,0.3843184019551026,0.0,0.16377705600694195,0.19667847079258466,0.411158615351404,0.5699615919022205
test,oracle_linear,2,216,0.3843184019551026,0.5119652602545641,0.10125350994664031,0.12159447717660082,0.3140647504204892,0.46426310408212373
test,oracle_linear,4,216,0.3843184019551026,0.6359538475948351,0.09051395316524145,0.10869743496413042,0.30192501134556937,0.3856546370249014
test,oracle_linear,8,216,0.3843184019551026,0.7563294718662897,0.07872614192390118,0.09454155290431261,0.2696361720169623,0.34807397693957287
test,oracle_nonnegative,0,216,0.3843184019551026,0.0,0.16377705600694195,0.19667847079258466,0.411158615351404,0.5699615919022205
test,oracle_nonnegative,2,216,0.3843184019551026,0.5119652602545641,0.10088981081021217,0.12115771398323728,0.3145468190055391,0.46439761808948105
test,oracle_nonnegative,4,216,0.3843184019551026,0.6359538475948351,0.09069453879954327,0.10891429871334864,0.30118355744358954,0.39153894381225063
test,oracle_nonnegative,8,216,0.3843184019551026,0.7563294718662897,0.0787111780629699,0.09452358293124757,0.26989318788250405,0.3477256742603677
test,ridge_linear,0,216,0.3843184019551026,0.0,0.16377705600694195,0.19667847079258466,0.411158615351404,0.5699615919022205
test,ridge_linear,2,216,0.3843184019551026,0.5119652602545641,0.13422194331948317,0.16118598784536695,0.36660609606772965,0.5220271001914046
test,ridge_linear,4,216,0.3843184019551026,0.6359538475948351,0.1341051120838105,0.16104568621012486,0.36530407182064834,0.5106484696515186
test,ridge_linear,8,216,0.3843184019551026,0.7563294718662897,0.13697889907733427,0.16449679251921565,0.3665367178594381,0.5274188009405838
test,ridge_nonnegative,0,216,0.3843184019551026,0.0,0.16377705600694195,0.19667847079258466,0.411158615351404,0.5699615919022205
test,ridge_nonnegative,2,216,0.3843184019551026,0.5119652602545641,0.13358572042184727,0.16042195318971317,0.3654209778913829,0.5116200741264546
test,ridge_nonnegative,4,216,0.3843184019551026,0.6359538475948351,0.132755451478478,0.15942489029146736,0.359167305770791,0.49672902623539483
test,ridge_nonnegative,8,216,0.3843184019551026,0.7563294718662897,0.13602360336007566,0.16334958603372865,0.3600022455008637,0.5199282741828086
validation,oracle_linear,0,108,0.39460713108052947,0.0,0.12598033346009252,0.15376821376061137,0.3447209823114069,0.47165096653975036
validation,oracle_linear,2,108,0.39460713108052947,0.5119652602545641,0.09146675331757621,0.111641864169073,0.2629711104091588,0.3556904482915323
validation,oracle_linear,4,108,0.39460713108052947,0.6359538475948351,0.07625992718913807,0.09308082034171361,0.23114517458776523,0.3121378242108947
validation,oracle_linear,8,108,0.39460713108052947,0.7563294718662897,0.05860553733469213,0.07153234592200143,0.19030667194486967,0.27346387439696607
