task,questions,oasis_correct,causalmem_correct,oasis_accuracy,causalmem_accuracy,delta_accuracy_pp,oasis_only_correct,causalmem_only_correct,mcnemar_exact_p,mcnemar_bonferroni_p
Action Perception,51,43,35,0.8431372549019608,0.6862745098039216,15.686274509803921,9,1,0.021484375,0.21484375
Attribute Perception,36,32,32,0.8888888888888888,0.8888888888888888,0.0,1,1,1.0,1.0
Causal Reasoning,9,9,9,1.0,1.0,0.0,0,0,1.0,1.0
Clips Summarize,2,2,2,1.0,1.0,0.0,0,0,1.0,1.0
Counting,2,1,0,0.5,0.0,50.0,1,0,1.0,1.0
Event Understanding,25,20,19,0.8,0.76,4.0,2,1,1.0,1.0
Object Perception,102,82,88,0.803921568627451,0.8627450980392157,-5.882352941176471,7,13,0.26317596435546875,1.0
Prospective Reasoning,2,2,1,1.0,0.5,50.0,1,0,1.0,1.0
Spatial Understanding,3,1,3,0.3333333333333333,1.0,-66.66666666666667,0,2,0.5,1.0
Text-Rich Understanding,18,17,17,0.9444444444444444,0.9444444444444444,0.0,1,1,1.0,1.0
