method,variant,role,benchmark,scope,status,evidence_tier,run_fingerprint,source_path,source_sha256,quality_accuracy,quality_correct,quality_scored,quality_expected,quality_coverage,whole_run_seconds,whole_run_semantics,tail_latency_available,stage_latency_available,peak_memory_value,peak_memory_unit,peak_memory_semantics,notes
StreamingTOM,streamingtom_ctr,core_latency,Pinned official StreamingTOM CUDA core microbenchmark,official_core_gpu_microbenchmark,complete,official_core_gpu_microbenchmark,sha256:9619e381044f41b1689282fbff69167c15a8f0d7190f5e99266a6405b9dbad93,/home/spco/online_video_state_decomposition/remote_results/official_streaming_kernels/streamingtom_core_formal_v1_20260719/ctr/summary.json,9619e381044f41b1689282fbff69167c15a8f0d7190f5e99266a6405b9dbad93,,,,,,,,False,True,140.30126953125,MiB,maximum torch peak allocated memory across timed core iterations,"CTR compression only over 64 frames; repeated core latency is not end-to-end Video-LLM latency, TTFT, decode, or quality."
StreamingTOM,streamingtom_oqm_select,core_latency,Pinned official StreamingTOM CUDA core microbenchmark,official_core_gpu_microbenchmark,complete,official_core_gpu_microbenchmark,sha256:023148bfecac3aa8b725399690db67932c18fce67d92b2ce89774aaf1e3675d7,/home/spco/online_video_state_decomposition/remote_results/official_streaming_kernels/streamingtom_core_formal_v1_20260719/oqm_select/summary.json,023148bfecac3aa8b725399690db67932c18fce67d92b2ce89774aaf1e3675d7,,,,,,,,False,True,439.400390625,MiB,maximum torch peak allocated memory across timed core iterations,"OQM select only over 256 frames; repeated core latency is not end-to-end Video-LLM latency, TTFT, decode, or quality."
StreamingTOM,streamingtom_oqm_write,core_latency,Pinned official StreamingTOM CUDA core microbenchmark,official_core_gpu_microbenchmark,complete,official_core_gpu_microbenchmark,sha256:d070d3183104e6b10ea94b47079125346aa0cbc22417ec7f63bb28b2fe338c31,/home/spco/online_video_state_decomposition/remote_results/official_streaming_kernels/streamingtom_core_formal_v1_20260719/oqm_write/summary.json,d070d3183104e6b10ea94b47079125346aa0cbc22417ec7f63bb28b2fe338c31,,,,,,,,False,True,74.85205078125,MiB,maximum torch peak allocated memory across timed core iterations,"OQM write only over 64 frames; repeated core latency is not end-to-end Video-LLM latency, TTFT, decode, or quality."
CausalMem,causal_mem,quality,StreamingBench RTU,formal_50x5,complete,official_model_level_rt_1_50,8c942bbf03144180b5d8f21a4c660f2f0fa74497fc72fcb7609cc02330aa51be,/home/spco/online_video_state_decomposition/remote_results/causalmem_streamingbench/causalmem_formal_50x5_v1_20260719/official/metrics.json,e7f47a637a1826c2d7454e3f33f8093dac633d16aa331ccbb8ad8d20cded18ac,0.824,206,250,250,1.0,9918.24162022397,evaluator process wall time; no per-sample tails,False,False,42894,MiB,sampled evaluator-process GPU memory,Not comparable to STC stage latency or OASIS request latency.
OASIS,event_archive,quality,StreamingBench RTU,formal_50x5,complete,official_model_level_rt_1_50,857a9145f3607fab49e656feef97c4500507ac945d0effb44a8d529dea60ca01,/home/spco/online_video_state_decomposition/remote_results/oasis_streamingbench/oasis_formal_50x5_v1_20260719/result.json,b2e9e1f510a8dacd88105f04f38511f0fd6b38b762ed80970a0b83f91d6fb0d1,0.836,209,250,250,1.0,54416.63779162103,whole official pace=0 evaluation; not request latency,False,False,28478,MiB,sampled evaluator-process GPU memory,Slow event-archive quality baseline; wall time is not TTFT or SLO latency.
STC ReKV,rekv,stage_latency,STC official LLaVA-OneVision ReKV benchmark,official_model_stage,complete,official_model_stage_latency,46b84fb8052694bca2318e94c8e22574ebbae9b0ddfa96cc87ea935c1506e881,/home/spco/online_video_state_decomposition/remote_results/stc_rekv_official/stc_rekv_pair_formal64_tf446_v2_20260722/rekv/result.json,6b730df02981d83750c6d87bfe6328e99feeef5796260ec0f019995edef59a82,,,,,,411.35749926790595,benchmark process wall time; not TTFT or request latency,False,True,18.41684865951538,GB (official field),official benchmark peak_mem_gb; sampled process peak is 19764 MiB,"Stage P50/P95/P99 cover ViT encode plus visual-token prefill only; not request-tail latency, TTFT, decode, or quality."
STC ReKV,stc,stage_latency,STC official LLaVA-OneVision ReKV benchmark,official_model_stage,complete,official_model_stage_latency,bd54a3b81ddae44c78748556fb5b50913d6cc4f7ca1cf6a21617a364d5d13910,/home/spco/online_video_state_decomposition/remote_results/stc_rekv_official/stc_rekv_pair_formal64_tf446_v2_20260722/rekv_stc/result.json,9d89943d92d4dd9cbff8318da0094fa2f344e7758f5360c4dc2e9d8534df8f48,,,,,,313.56374681415036,benchmark process wall time; not TTFT or request latency,False,True,16.461988925933838,GB (official field),official benchmark peak_mem_gb; sampled process peak is 17608 MiB,"Stage P50/P95/P99 cover ViT encode plus visual-token prefill only; not request-tail latency, TTFT, decode, or quality."
