weight_file,layer_key,method,trainable_params,stored_params,estimated_bits_fp16,estimated_bits_int8,estimated_bits_int4_delta,bcm_direct_ops,bcm_fft_ops,lowrank_ops,total_ops,activation_memory,extra_latency_proxy,block_size,rank,num_bcm_basis,sparse_ratio,delta_mode,objective,relative_fro_error,spectral_error,activation_error
results/matrix_fit/subsets/mistral_qproj_retry/model__layers__0__self_attn__q_proj__weight.pt,model.layers.0.self_attn.q_proj.weight,lowrank_svd,32768,32768,524288,262144,131072,0,0,32768,32768,8192,0.001953125,16,4,1,0.0,horizontal,0.0,0.7177222371101379,0.6709505319595337,0.7403182983398438
results/matrix_fit/subsets/mistral_qproj_retry/model__layers__0__self_attn__q_proj__weight.pt,model.layers.0.self_attn.q_proj.weight,lowrank_svd,65536,65536,1048576,524288,262144,0,0,65536,65536,8192,0.00390625,16,8,1,0.0,horizontal,0.0,0.5876755714416504,0.3483130931854248,0.6152463555335999
results/matrix_fit/subsets/mistral_qproj_retry/model__layers__0__self_attn__q_proj__weight.pt,model.layers.0.self_attn.q_proj.weight,lowrank_svd,32768,32768,524288,262144,131072,0,0,32768,32768,8192,0.001953125,32,4,1,0.0,horizontal,0.0,0.7045063972473145,0.5930213928222656,0.7313420176506042
results/matrix_fit/subsets/mistral_qproj_retry/model__layers__0__self_attn__q_proj__weight.pt,model.layers.0.self_attn.q_proj.weight,lowrank_svd,65536,65536,1048576,524288,262144,0,0,65536,65536,8192,0.00390625,32,8,1,0.0,horizontal,0.0,0.5853903293609619,0.34431400895118713,0.6141496896743774
results/matrix_fit/subsets/mistral_qproj_retry/model__layers__0__self_attn__q_proj__weight.pt,model.layers.0.self_attn.q_proj.weight,bcm_only,1048576,1048576,16777216,8388608,4194304,16777216,33554432,0,16777216,8192,1.0,16,0,1,0.0,horizontal,0.00014527559687849134,2.9381511211395264,0.950358510017395,3.105531930923462
results/matrix_fit/subsets/mistral_qproj_retry/model__layers__0__self_attn__q_proj__weight.pt,model.layers.0.self_attn.q_proj.weight,bcm_only,524288,524288,8388608,4194304,2097152,16777216,20971520,0,16777216,8192,1.0,32,0,1,0.0,horizontal,5.259730824036524e-05,1.767907738685608,0.9710931181907654,1.8516602516174316
results/matrix_fit/subsets/mistral_qproj_retry/model__layers__0__self_attn__q_proj__weight.pt,model.layers.0.self_attn.q_proj.weight,bcm_plus_lowrank,1081344,1081344,17301504,8650752,4325376,16777216,33554432,32768,16809984,8192,1.001953125,16,4,1,0.0,horizontal,0.00013825888163410127,2.8663177490234375,0.5541014075279236,3.0407817363739014
results/matrix_fit/subsets/mistral_qproj_retry/model__layers__0__self_attn__q_proj__weight.pt,model.layers.0.self_attn.q_proj.weight,bcm_plus_lowrank,1114112,1114112,17825792,8912896,4456448,16777216,33554432,65536,16842752,8192,1.00390625,16,8,1,0.0,horizontal,0.00013665093865711242,2.8496015071868896,0.50001060962677,3.0255355834960938
results/matrix_fit/subsets/mistral_qproj_retry/model__layers__0__self_attn__q_proj__weight.pt,model.layers.0.self_attn.q_proj.weight,bcm_plus_lowrank,557056,557056,8912896,4456448,2228224,16777216,20971520,32768,16809984,8192,1.001953125,32,4,1,0.0,horizontal,4.518959758570418e-05,1.6386909484863281,0.5480712652206421,1.7366082668304443
results/matrix_fit/subsets/mistral_qproj_retry/model__layers__0__self_attn__q_proj__weight.pt,model.layers.0.self_attn.q_proj.weight,bcm_plus_lowrank,589824,589824,9437184,4718592,2359296,16777216,20971520,65536,16842752,8192,1.00390625,32,8,1,0.0,horizontal,4.291590448701754e-05,1.5969340801239014,0.376873642206192,1.6907814741134644
results/matrix_fit/subsets/mistral_qproj_retry/model__layers__0__self_attn__q_proj__weight.pt,model.layers.0.self_attn.q_proj.weight,generator_delta_bcm,2097152,2097152,33554432,16777216,20971520,16777216,33554432,0,16777216,8192,1.0,16,0,1,0.0,horizontal,0.003999771550297737,15.416841506958008,9.087456703186035,15.787150382995605
results/matrix_fit/subsets/mistral_qproj_retry/model__layers__0__self_attn__q_proj__weight.pt,model.layers.0.self_attn.q_proj.weight,generator_delta_bcm,1048576,1048576,16777216,8388608,10485760,16777216,20971520,0,16777216,8192,1.0,32,0,1,0.0,horizontal,0.0010327196214348078,7.833737850189209,3.684537887573242,8.225944519042969
