family,sample_id,records,residual_sq,reference_sq,aggregate_output_relative_l2,record_error_max,selected_attention_mass_mean
lowrank_covariance,s00_p00_seed20260740,12,299.4480460085906,72517.22323608398,0.06425991676741453,0.16425709456451335,0.85431250764264
lowrank_covariance,s01_p01_seed20260740,12,318.9098192756064,77701.71490478516,0.06406467742408573,0.12431312064714381,0.8683109266890421
lowrank_covariance,s02_p00_seed20260741,12,315.30310175940394,59686.08093261719,0.07268212057559877,0.21937562344415149,0.8471073309580484
lowrank_covariance,s03_p01_seed20260741,12,334.7346333935857,71053.93524169922,0.06863667816083345,0.11385194492607585,0.8464054481850729
residual_tail_polynomial,s00_p00_seed20260740,12,143.66452600428602,72517.22323608398,0.044509651010136694,0.09099262123696741,0.85431250764264
residual_tail_polynomial,s01_p01_seed20260740,12,204.888017850928,77701.71490478516,0.05135029921110097,0.10133995719398393,0.8683109266890421
residual_tail_polynomial,s02_p00_seed20260741,12,137.5994523279369,59686.08093261719,0.04801443479742631,0.1005130351401404,0.8471073309580484
residual_tail_polynomial,s03_p01_seed20260741,12,202.83661506325006,71053.93524169922,0.05342925385975737,0.08098959793807367,0.8464054481850729
value_aware_coreset,s00_p00_seed20260740,12,200.69991757406387,72517.22323608398,0.05260814808384676,0.14616951476758797,0.85431250764264
value_aware_coreset,s01_p01_seed20260740,12,205.37995912507176,77701.71490478516,0.051411908930375845,0.12604092047071086,0.8683109266890421
value_aware_coreset,s02_p00_seed20260741,12,162.9397179596126,59686.08093261719,0.05224887554558689,0.13621195820216106,0.8471073309580484
value_aware_coreset,s03_p01_seed20260741,12,252.9347496777773,71053.93524169922,0.059663699927150565,0.1247001985061789,0.8464054481850729
