method,method_label,reproduction_tier,samples,micro_accuracy,macro_task_accuracy,mean_evidence_count,mean_active_state_bytes,mean_archive_bytes,mean_detailed_decode_bytes,mean_metadata_bytes,mean_total_retained_bytes,active_state_bounded,total_state_bounded,query_conditioned,mean_write_ms,p50_write_ms,p95_write_ms,p99_write_ms,mean_read_ms,p50_read_ms,p95_read_ms,p99_read_ms,mean_estimated_write_flops,mean_estimated_read_flops
exact_recent,Exact recent,project_native_control,200,0.5,0.5,8.0,12288.0,0.0,0.0,48.0,12336.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causalmem_feature_proxy,CausalMem proxy,official_mechanism_feature_proxy,200,0.49,0.49000000000000005,8.0,24576.0,0.0,0.0,88.0,24664.0,1,1,0,2.6972926047164947,2.6859580539166927,3.115738683845848,3.6635037534870114,0.0,0.0,0.0,0.0,5984256.0,0.0
streamingtom_feature_proxy,StreamingTOM proxy,official_mechanism_feature_group_proxy,200,0.475,0.475,8.0,12288.0,6144.0,0.0,256.0,18688.0,1,0,1,0.27193396585062146,0.2656358992680907,0.3296316950581967,0.36783631425350866,0.026048177387565374,0.02505152951925993,0.03349012695252894,0.03978976514190432,98304.0,24576.0
stc_feature_proxy,STC proxy,official_mechanism_feature_group_proxy,200,0.525,0.525,8.0,13824.0,0.0,0.0,88.0,13912.0,1,1,0,0.2333964384160936,0.22328458726406097,0.28517311438918114,0.3420175588689742,0.0,0.0,0.0,0.0,98304.0,0.0
selectstream_feature_proxy,SelectStream proxy,paper_mechanism_feature_proxy_untrained,200,0.49,0.48999999999999994,8.0,17126.4,0.0,0.0,503.14,17629.54,1,1,1,0.4051664168946445,0.4021846689283848,0.4836742649786173,0.5416657426394521,0.19723706296645105,0.1960000954568386,0.24359616218134758,0.2762525458820164,98304.0,37555.2
oasis_feature_proxy,OASIS proxy,official_structure_feature_proxy_no_mllm_summaries,200,0.515,0.515,8.0,24576.0,23040.0,0.0,1028.0,48644.0,1,0,1,1.557057888712734,1.558514079079032,1.811052532866597,1.9019451714120787,0.10541694005951285,0.10289403144270182,0.13044693041592834,0.13813860248774285,49152.0,19968.0
statekv_feature_proxy,StateKV proxy,paper_mechanism_feature_proxy,200,0.515,0.515,32.0,24576.0,0.0,49152.0,416.0,74144.0,1,0,0,0.6493240117561072,0.6625285604968667,0.7370780105702578,0.7718279841355978,0.0,0.0,0.0,0.0,626688.0,0.0
ours_learned_recent_selector,Ours: learned selector (dev-fitted),project_native_selector_feature_proxy,200,0.53,0.53,8.0,24576.0,0.0,0.0,144.0,24768.0,1,1,1,0.0,0.0,0.0,0.0,1.1364898923784494,1.1519169202074409,1.2365247006528077,1.5574761503376062,0.0,113177.6
