sample_id,role,method,teacher_index,answer_index,approximate_index,compressed_top1_margin,candidate_kl,prediction_match,baseline_correct,approximate_correct
vsi_question_5065,validation,residual_energy,0,2,0,0.125,0.001521422527730465,1,0,0
vsi_question_5065,validation,query_cosine,0,2,3,0.125,0.005533080548048019,0,0,0
vsi_question_5065,validation,tiny_controller,0,2,0,0.0,0.0,1,0,0
vsi_question_3680,validation,residual_energy,0,1,0,0.625,0.004466034471988678,1,0,0
vsi_question_3680,validation,query_cosine,0,1,0,0.625,0.01049799658358097,1,0,0
vsi_question_3680,validation,tiny_controller,0,1,0,0.5,0.005074247717857361,1,0,0
vsi_question_2070,validation,residual_energy,2,0,3,0.5,0.04652800410985947,0,0,0
vsi_question_2070,validation,query_cosine,2,0,3,1.0,0.10497099161148071,0,0,0
vsi_question_2070,validation,tiny_controller,2,0,3,0.375,0.11857680976390839,0,0,0
vsi_question_5142,validation,residual_energy,1,2,1,0.0,0.001880001276731491,1,0,0
vsi_question_5142,validation,query_cosine,1,2,2,0.125,0.006074879318475723,0,0,1
vsi_question_5142,validation,tiny_controller,1,2,2,0.125,0.006074879318475723,0,0,1
vsi_question_3168,validation,residual_energy,0,2,0,0.5,0.04528683423995972,1,0,0
vsi_question_3168,validation,query_cosine,0,2,0,0.25,0.07189595699310303,1,0,0
vsi_question_3168,validation,tiny_controller,0,2,0,0.625,0.04449786990880966,1,0,0
vsi_question_991,validation,residual_energy,2,2,2,0.375,0.010270591825246811,1,1,1
vsi_question_991,validation,query_cosine,2,2,2,0.25,0.023719865828752518,1,1,1
vsi_question_991,validation,tiny_controller,2,2,2,0.25,0.013588957488536835,1,1,1
vsi_question_3105,validation,residual_energy,3,0,0,1.375,0.6755478978157043,0,0,1
vsi_question_3105,validation,query_cosine,3,0,0,0.0,0.10389119386672974,0,0,1
vsi_question_3105,validation,tiny_controller,3,0,0,0.625,0.22491779923439026,0,0,1
vsi_question_1560,validation,residual_energy,0,2,0,0.875,0.0036851149052381516,1,0,0
vsi_question_1560,validation,query_cosine,0,2,0,0.5,0.006249912548810244,1,0,0
vsi_question_1560,validation,tiny_controller,0,2,0,1.0,0.006105240900069475,1,0,0
vsi_question_5090,validation,residual_energy,0,0,0,0.0,0.0,1,1,1
vsi_question_5090,validation,query_cosine,0,0,2,0.25,0.014302100986242294,0,1,0
vsi_question_5090,validation,tiny_controller,0,0,2,0.125,0.00353211909532547,0,1,0
vsi_question_5030,validation,residual_energy,0,2,0,0.0,0.005294479429721832,1,0,0
vsi_question_5030,validation,query_cosine,0,2,0,0.0,0.0036263111978769302,1,0,0
vsi_question_5030,validation,tiny_controller,0,2,0,0.0,0.005294479429721832,1,0,0
vsi_question_3012,validation,residual_energy,2,2,1,0.5,0.15175849199295044,0,1,0
vsi_question_3012,validation,query_cosine,2,2,2,0.125,0.059398338198661804,1,1,1
vsi_question_3012,validation,tiny_controller,2,2,1,0.625,0.23460187017917633,0,1,0
